month,ratio_quantity.01K,ratio_quantity.01T,ratio_quantity.01V,ratio_quantity.01W,ratio_quantity.01X,ratio_quantity.01Y,ratio_quantity.02A,ratio_quantity.02E,ratio_quantity.02G,ratio_quantity.02H,ratio_quantity.02M,ratio_quantity.02P,ratio_quantity.02Q,ratio_quantity.02T,ratio_quantity.02X
1514764800,157.6957218449904,168.4070773865754,150.56612864370027,169.47641845777727,147.488874761602,121.15248667341754,161.25392057617944,221.85730875308468,162.77218125800536,102.97763733592615,297.2190763810243,120.18440261237033,128.3143470364867,148.76242095754293,112.7275049492305
1517443200,128.10022127973446,144.01938281050755,138.71579517745872,155.61662658880107,147.3880968004932,106.66386458293532,144.94389482770066,166.94784580498865,117.99951511793024,105.65340529239444,249.12449933944256,118.78677995789991,112.76806334543056,107.13963354093329,103.81404610553729
1519862400,173.94810820775155,163.81617515866742,167.0931037596701,168.64390616059504,151.85295578738206,124.05010119524957,169.292057432152,224.27110530896422,157.885621254633,107.86707976429139,267.1706036745407,131.76033527271613,115.7526562396885,150.2961144012711,114.02680280791324
1522540800,149.95333402468114,158.8337241309002,149.68114546985922,165.06742244195073,156.50584214291388,122.20694396699896,155.06681052369493,192.3404563826509,139.37463208559853,107.85266533845186,269.4076391659492,118.38856599549143,114.67572290547001,139.16809528106106,111.77145772222931
1525132800,165.62982419759913,178.3940713576286,168.80226192624676,184.1222654165714,154.9094375595806,118.03447683408739,174.62080397845006,209.06175836518773,168.50197382090172,97.76326015154457,271.0698025722258,117.50915526408528,115.12497118582672,151.36655368861324,110.65954925916958
1527811200,154.7721905420195,162.26184722610842,146.1130848437406,147.49000444246997,165.932277400659,120.1068804275217,150.27915375822133,201.79948586118252,142.956088100845,119.16633305431205,272.17247236960765,117.80373188017566,103.0085346162718,128.4092956224104,112.26672098174502
1530403200,166.88551025109425,173.11650362088676,162.9495861550038,173.8810514564092,155.51939030683124,134.96259256431787,175.6049922203463,218.47948132855228,165.5516655689972,97.64232177941638,266.237443113898,122.31634962383023,117.66256880129197,140.15949307843243,120.74319165181979
1533081600,163.37489341107607,183.20203303684877,163.11736750285746,167.32840307992845,153.77439012286868,124.10346406226151,160.93398597698106,190.01068085953764,164.64958213406388,116.54746029821801,256.97879118115515,126.26833740831296,103.10501681060056,150.99161357664755,115.63337865484071
1535760000,147.43279662773818,155.69379205281194,154.89146774096565,152.3961742395413,139.777689559349,120.95790115924342,149.9133019568987,207.4567195499195,163.56129211338953,93.93818230283645,259.8952879581152,109.62722010965011,119.18786402974759,126.31276075384838,103.76256727937445
1538352000,166.72036453179297,160.2658414083506,160.39806379844262,176.3759375633489,162.5516036837091,128.44998475144862,176.60739616666115,195.17309952092558,168.70144284128747,116.71126069954117,278.09611443389514,125.0725035870196,109.96123266968921,146.26999820240877,116.76665694245376
1541030400,166.52864044168393,174.53679061161378,156.5415654156541,175.13866727452327,154.9678596936751,125.95965176309221,169.97625016492944,193.67374604609128,171.79638432978243,112.5170874514595,262.76624652494723,125.4557381050448,108.88684694145445,130.93183779119934,114.90187129164768
1543622400,160.75576715195842,162.83078170941906,168.77118262799556,156.34210825922506,147.03547900627035,118.5727077022728,154.11743379311477,218.25081315504153,166.47013941874175,97.66064196336822,277.3576233652279,108.03226937916519,116.81276470008865,130.32775102422193,111.27442284787509
1546300800,163.98229579812607,176.04581042389844,163.7034149851588,162.59422269438963,147.8159048961041,140.1975900862315,152.81346774724912,192.73909509617985,167.25669859780646,113.51991492652742,250.29774963956618,113.27600926942313,106.44294422232419,138.7806411062225,106.40022288073345
1548979200,148.89019161580282,144.03281760401103,138.49152796521219,152.03547873550144,142.03519631767952,113.45385347288298,144.84665909427625,179.4982855080311,147.30996181881292,93.89416225877352,226.4237663477207,100.71471022995686,103.24145390187144,134.09555946440747,107.9211433204946
1551398400,158.76191461718008,160.5566097406704,151.20604824192966,153.3382152416544,150.92316855270997,132.98955340323104,168.33865079104035,192.7415134179134,169.68812947141765,111.43815291080608,254.760362017432,109.95800109562357,104.98214812145828,137.1370113787286,103.43780061769027
1554076800,156.90241883564798,142.95829856106008,165.82567429566888,153.58305777822648,135.75666183852857,121.41620531552613,151.31946498406126,194.62276399307558,144.98037990068408,112.49804020888352,249.25816023738872,106.85119002357234,101.79033155500278,128.1604967071617,106.25071217857004
1556668800,169.61195745903996,177.62842054728762,158.39711841512832,163.98859823928552,167.53396361325176,127.4957216200799,156.4291698838527,180.7389526400173,177.61742871019217,106.42940672959841,251.02940869092663,107.70259793563692,107.61068902279278,160.33505524465494,110.6386210038727
1559347200,149.5473317304927,152.725160377835,158.93323722857917,153.01490429475697,143.71757409505636,128.72134139386336,151.3632553782438,191.34269258459324,138.1933108741708,109.07053251870869,233.06272753902164,108.42421848892668,100.38964015585606,136.2862010221465,112.53148375501523
1561939200,168.02090046957008,167.47064023235257,156.149572007809,164.4210287500472,148.48828194883419,132.46669327403688,144.48925837517493,158.87917700802132,153.8755117618486,96.9082346706493,228.84563112886028,117.75601609352464,112.0094268600046,165.4601490825688,105.93177447110028
