month,ratio_quantity.00L,ratio_quantity.00N,ratio_quantity.00P,ratio_quantity.00Q,ratio_quantity.00R,ratio_quantity.00T,ratio_quantity.00V,ratio_quantity.00X,ratio_quantity.00Y,ratio_quantity.01A,ratio_quantity.01D,ratio_quantity.01E,ratio_quantity.01F,ratio_quantity.01G,ratio_quantity.01H,ratio_quantity.01J
1514764800,153.29021592216532,144.4003863555488,161.68828425366513,125.6180984345776,271.011640863937,123.37563063751723,114.85943775100402,145.60828665045977,103.56305187637969,128.03534393363293,123.8201917073708,144.4237099784035,173.00091213134692,108.20045558086562,105.27985337656848,157.79097624276298
1517443200,139.5572128749902,118.28175378912894,141.6035157900668,99.75675329663294,266.3364224597663,103.00798888502949,97.02271085787658,119.85817099681309,96.01143526332105,115.41160593792172,111.68769253337244,120.36629576077615,153.62873814733769,132.9230009523474,85.45251659129617,131.186761700643
1519862400,148.19649451640612,161.27066351794016,154.89386875501785,130.62832582889888,279.07252143432333,133.16391006679723,132.5177980547478,147.67647802985582,116.80313768664419,138.2968390835609,117.3516149136635,153.55609091861317,172.70076539910093,123.22387534113915,101.55635167674869,135.40576894335675
1522540800,157.3075077822531,141.50129421915446,135.80151273997492,114.61662362897246,255.4219149540676,103.83697040368706,104.03465147990696,135.63179634156623,111.49694010864337,127.87574826079928,111.53247229092241,136.89741067129967,161.6290361738286,124.52919849343517,95.1173113506658,144.87236901029996
1525132800,145.23538725719766,147.89161211752167,140.86083577382294,124.43797261393829,277.33459581015495,124.09265659047061,126.69538214965444,140.7138943908298,102.24713305709817,119.70601547513849,114.48187477114608,137.80985252588638,165.0444222080718,120.95740008783487,108.71861065477592,155.85771458400654
1527811200,167.05499381277798,148.2599431818182,148.81270950114077,117.53455398582135,261.17741782703416,125.20972281922936,102.47477174435367,137.72770348531114,117.7016392315887,126.58609621060339,113.96500978044278,129.37684219328136,162.84070260448212,123.41777707554289,102.89407927923703,131.92789034564953
1530403200,149.11782080003567,126.4487332301996,142.0403334835511,113.51888161747853,266.15708639988645,128.02384418104938,137.79307033688087,126.09656042915748,109.68196180794064,122.39429192539902,135.12180868548887,139.67776314964578,165.9708356023477,119.07727392334006,105.85435060442978,140.85346175806168
1533081600,158.91494457750795,148.38006388480454,156.89890614221554,111.1422243718657,264.3912137852679,128.58151805126644,108.66825374597398,149.37698304301236,94.70340801785561,116.82067058937427,115.33057172576143,124.54044117647057,158.4595387080197,125.98169833812496,111.04209638102385,161.14461569007022
1535760000,151.56610139295617,142.51697233762283,127.30214562082307,99.5475113122172,237.83950033121982,105.56892688189892,110.0957789286357,133.84867453682313,112.45903327098954,123.28973248352877,100.70710016037323,128.54938915064838,171.25603864734302,117.74788798908575,104.25334911686451,148.00951861583465
1538352000,153.17028683282734,143.39574898785423,167.6841705467793,132.72247322199095,290.0676666824397,128.68165601924835,112.34698564211116,130.71675936614545,114.37337172631294,120.49616066154755,128.55426511814179,140.36257553657012,155.37404304056903,118.45920078245075,109.73882300605237,133.6023368650361
1541030400,148.0188941372604,145.79751188429248,148.575849215838,108.99596968391167,251.92193968066226,116.89782836934302,112.02971483345317,151.39057846386177,109.13231844101584,123.45930637946385,104.48005529585097,135.10587353473943,165.66782111127839,122.64364809486439,109.46548275014918,152.53147337439097
1543622400,154.57756648079442,130.07102595859766,153.51580071974803,111.92632697464958,253.55041470734187,121.65349443455946,113.44260985884563,136.94494528072457,107.09338714366332,119.3562567682031,117.48137379611126,137.12764187052753,145.61034275405896,123.63598391896832,108.26543852061393,141.06745737583395
1546300800,155.6969333599804,151.8017448476419,146.85923823707097,115.45064377682401,258.08279999055327,135.8295105453844,119.08470109021205,137.7215402019525,107.0763341820605,120.98858092532032,110.26981878926536,152.5205280116412,142.42979977151103,122.67444890301734,113.57871728636053,139.66066533303697
1548979200,139.1713664017052,124.90522165495626,132.31201686577657,100.24209411408684,226.7447351024648,117.3045154185022,95.69836641770178,129.96964304406995,104.2260735934432,111.6934057807928,109.0826603756465,114.50096507066807,154.14200294462307,119.84323790035894,98.0857329842932,143.29456502950836
1551398400,154.4600834739366,137.90489665976042,152.36696783621622,106.60486674391657,246.85708894497253,117.52166139458117,118.01105854641993,130.74301010058764,110.09487407002933,116.96758639164209,102.92705029451744,133.36928565502365,133.7197081168734,130.95279326706608,117.58864419650682,137.11894207671924
1554076800,148.88395335924488,160.7616353948332,139.2213886313186,105.59178227044991,237.33446439511758,109.7475600214142,119.36159600997507,130.7210031347962,112.11671865146323,115.17870527014584,105.67780494430863,121.94262498963603,157.9437008582918,123.6444767291029,98.45679372904526,137.89320579824474
1556668800,158.66019783953018,144.85143765935425,152.97018574198444,135.85342527809937,246.9563169669139,130.64113467394588,124.38426101350139,146.42304636869173,114.37035019322765,117.16734982180888,113.35951781932707,136.3965642140122,149.03759669005214,144.99663160076693,119.64634018150177,148.98019509311266
