month,ratio_quantity.00L,ratio_quantity.00N,ratio_quantity.00P,ratio_quantity.00Q,ratio_quantity.00R,ratio_quantity.00T,ratio_quantity.00V,ratio_quantity.00X,ratio_quantity.00Y,ratio_quantity.01A,ratio_quantity.01D,ratio_quantity.01E,ratio_quantity.01F,ratio_quantity.01G,ratio_quantity.01H,ratio_quantity.01J
1514764800,47107.5233023456,47294.51468994966,49580.58538061707,44808.231736996706,68591.81997724739,45430.161075478594,42230.75576969358,37391.22471713773,39735.62217216804,40428.62121243915,56223.76921424584,32657.14982685059,54715.21321082995,45443.162516469514,41930.94511818609,52254.693528011274
1517443200,42127.35273754465,43142.29189354426,44594.05213361923,41527.45836623974,63015.918934374604,39540.5148646942,37768.49840522106,34033.509250370895,37862.872225601976,36784.88191660351,49564.14654561845,29249.465295605238,49267.35467134629,39939.954349312284,36384.01941381874,46956.03143680777
1519862400,46961.63322548502,47837.55500506269,49910.48481049213,47161.92984563293,68399.17277384108,43639.39680853821,42198.06508243186,37766.64294750158,40729.570515107436,40913.36919338474,52626.1091689008,32023.354921970225,54589.39761425345,43046.024776138045,40872.23388879969,52882.10380773915
1522540800,45370.39639068887,43672.01819975183,46069.34724119958,42098.53759729349,61553.776759380555,41889.36842752199,40815.3480720954,36413.16128047452,37720.9110537267,38261.94288378476,50393.87714861331,31633.36001566553,51091.34978583297,41830.84007321251,38873.18880173364,48190.04083808968
1525132800,48311.96420944602,47756.20303741739,49700.82165640978,46087.10915414532,70976.71889964576,44070.11960175845,41833.94496581805,37162.05581613252,41977.757513123746,39928.08019504642,54531.02299982868,32649.19129603061,53610.36047007245,42651.51736759266,40352.63911254248,53411.8328612584
1527811200,46007.54055564768,46427.868664839756,47163.41386133035,44491.154541668824,69441.15335597756,42047.26870396692,41586.61660613062,36454.25138682475,40969.88743514905,39896.43321526135,49536.89812221229,32046.04232525885,53816.38420656467,42055.534701371085,39540.80502135931,51025.06966955345
1530403200,44265.992075792514,44672.33605906385,46879.82149458673,44487.22888819219,66407.39475170276,42545.25123763175,39991.90393085682,35194.0321589568,39986.24165953306,39419.39470866309,52295.69312155745,31246.805499780086,52209.10912531059,41254.340405937764,38824.093811372186,51753.53519969057
1533081600,47903.053773596475,46630.4089780943,49414.89167006884,46434.294127027526,69647.8500722689,43642.05945496389,41749.715613891174,38320.70334564413,41268.65006675879,40850.992150141275,51180.41628797091,32084.774262642295,54580.49889202561,43173.68809738601,39365.03192973917,54208.36076954191
1535760000,43833.073104665455,42929.27547452392,44588.604215110645,42727.970961722254,64141.48722580498,39395.021397865035,37728.99807406324,34335.59096729387,38565.05443513796,36751.71245196844,46253.31780818415,29281.24776604386,48468.02455475558,39118.84447976435,36876.60464257127,48806.74508384605
1538352000,45318.519170063424,45489.58069018017,47443.20399963412,45706.81426142921,69712.53040872783,43422.71753306346,41426.74680354278,36482.45742897595,41105.55480220703,40684.504012782534,51595.18440710612,32502.522163457863,54706.933739320135,43191.37126561059,38022.46221299891,54404.629766920436
