month,ratio_quantity.97R,ratio_quantity.99A,ratio_quantity.99C,ratio_quantity.99E,ratio_quantity.99F,ratio_quantity.99G,ratio_quantity.A3A8R,ratio_quantity.B2M3M,ratio_quantity.D2P2L,ratio_quantity.D4U1Y,ratio_quantity.D9Y0V,ratio_quantity.M1J4Y,ratio_quantity.M2L0M,ratio_quantity.W2U3Z,ratio_quantity.X2C4Y
1514764800,0.1437908496732026,0.17,0.05405405405405406,0.12121212121212122,0.1411764705882353,0.16666666666666666,0.39373601789709173,0.22884012539184953,0.13015873015873017,0.21782178217821782,0.14558472553699284,0.055944055944055944,0.23404255319148937,0.22611464968152867,0.10263157894736842
1517443200,0.17886178861788618,0.13636363636363635,0.0,0.13953488372093023,0.09090909090909091,0.1794871794871795,0.4051724137931034,0.24074074074074073,0.1267123287671233,0.19767441860465115,0.15902140672782875,0.06460674157303371,0.22435897435897437,0.16304347826086957,0.10091743119266056
1519862400,0.125,0.1797752808988764,0.08333333333333333,0.109375,0.17647058823529413,0.15384615384615385,0.4119170984455959,0.23776223776223776,0.11805555555555555,0.22815533980582525,0.15681233933161953,0.07481296758104738,0.23841059602649006,0.2070063694267516,0.12025316455696203
1522540800,0.14666666666666667,0.20224719101123595,0.0851063829787234,0.08955223880597014,0.0707070707070707,0.13636363636363635,0.3988439306358382,0.23214285714285715,0.11851851851851852,0.17032967032967034,0.13020833333333334,0.04834605597964377,0.18796992481203006,0.1986970684039088,0.09037900874635568
1525132800,0.15384615384615385,0.19736842105263158,0.06896551724137931,0.08823529411764706,0.05217391304347826,0.18556701030927836,0.3952802359882006,0.2147887323943662,0.11926605504587157,0.2261904761904762,0.16195372750642673,0.07107843137254902,0.3288590604026846,0.23170731707317074,0.10625
1527811200,0.1554054054054054,0.13157894736842105,0.10810810810810811,0.1111111111111111,0.0410958904109589,0.19540229885057472,0.36338028169014086,0.21705426356589147,0.11846689895470383,0.16666666666666666,0.15027322404371585,0.045454545454545456,0.25,0.20503597122302158,0.0708215297450425
1530403200,0.13114754098360656,0.1375,0.09375,0.1111111111111111,0.0784313725490196,0.12149532710280374,0.41578947368421054,0.2140221402214022,0.08362369337979095,0.19718309859154928,0.16176470588235295,0.061696658097686374,0.18902439024390244,0.21003134796238246,0.09315068493150686
1533081600,0.09655172413793103,0.2647058823529412,0.06896551724137931,0.14,0.05405405405405406,0.17647058823529413,0.39210526315789473,0.2509090909090909,0.1522491349480969,0.1457286432160804,0.15776699029126215,0.04627249357326478,0.3108108108108108,0.1834862385321101,0.0748502994011976
1535760000,0.1926605504587156,0.18461538461538463,0.0,0.15384615384615385,0.049019607843137254,0.10256410256410256,0.38461538461538464,0.21052631578947367,0.09803921568627451,0.14545454545454545,0.17886178861788618,0.04199475065616798,0.23846153846153847,0.16483516483516483,0.05421686746987952
1538352000,0.1337579617834395,0.19480519480519481,0.0,0.0784313725490196,0.052083333333333336,0.14942528735632185,0.3598901098901099,0.16738197424892703,0.11152416356877323,0.19791666666666666,0.1421188630490956,0.029850746268656716,0.27611940298507465,0.17796610169491525,0.09090909090909091
1541030400,0.10884353741496598,0.14473684210526316,0.0,0.03636363636363636,0.03333333333333333,0.1717171717171717,0.3857566765578635,0.21076233183856502,0.08856088560885608,0.15151515151515152,0.16062176165803108,0.055415617128463476,0.1949685534591195,0.15584415584415584,0.0737913486005089
1543622400,0.10526315789473684,0.17647058823529413,0.0,0.2127659574468085,0.07526881720430108,0.09433962264150944,0.3695652173913043,0.16,0.08560311284046693,0.18478260869565216,0.1392757660167131,0.04,0.2553191489361702,0.1437308868501529,0.09009009009009009
1546300800,0.10144927536231885,0.14516129032258066,0.0,0.05084745762711865,0.07608695652173914,0.0970873786407767,0.42528735632183906,0.195,0.07380073800738007,0.18333333333333332,0.13165266106442577,0.028277634961439587,0.23529411764705882,0.20743034055727555,0.07506053268765134
1548979200,0.19658119658119658,0.11475409836065574,0.0,0.0851063829787234,0.046511627906976744,0.13829787234042554,0.39933993399339934,0.1708542713567839,0.09561752988047809,0.18857142857142858,0.12025316455696203,0.08150470219435736,0.2803030303030303,0.17898832684824903,0.06285714285714286
