month,ratio_quantity.D2P2L,ratio_quantity.D4U1Y,ratio_quantity.D9Y0V,ratio_quantity.M2L0M,ratio_quantity.W2U3Z
1514764800,0.0,0.0,0.03409090909090909,0.0,0.0
1517443200,0.037037037037037035,0.0,0.0,0.0,0.0
1519862400,0.0,0.0,0.0,0.0,0.0
1522540800,0.03333333333333333,0.02127659574468085,0.0,0.0,0.0
1525132800,0.0,0.0,0.0,0.0,0.0
1527811200,0.030303030303030304,0.04878048780487805,0.0,0.0,0.0
1530403200,0.0,0.02702702702702703,0.0,0.0,0.010416666666666666
1533081600,0.030303030303030304,0.022222222222222223,0.0,0.0,0.0
1535760000,0.0,0.0,0.0,0.0,0.0
1538352000,0.0,0.0,0.0,0.0,0.0
1541030400,0.03333333333333333,0.0,0.0,0.0,0.0
1543622400,0.0,0.0,0.0,0.0,0.0
1546300800,0.0,0.0,0.0,0.038461538461538464,0.0
1548979200,0.03125,0.0,0.02531645569620253,0.0,0.0
1551398400,0.0,0.0,0.0,0.0,0.0
1554076800,0.0,0.0,0.0,0.0,0.0
1556668800,0.02631578947368421,0.0,0.0,0.0,0.0
1559347200,0.0,0.0,0.0,0.0,0.0
1561939200,0.043478260869565216,0.0,0.0,0.0,0.0
1564617600,0.02702702702702703,0.0,0.0,0.0,0.01020408163265306
1567296000,0.0,0.0,0.0,0.0,0.0
1569888000,0.0,0.0,0.0,0.0,0.019230769230769232
1572566400,0.02564102564102564,0.0,0.0,0.0,0.0
1575158400,0.0,0.0,0.0,0.0,0.0
1577836800,0.020833333333333332,0.0,0.0,0.0,0.00980392156862745
1580515200,0.0,0.0,0.0,0.0,0.0
1583020800,0.02564102564102564,0.0,0.0,0.0,0.0
1585699200,0.0,0.0,0.0,0.0,0.0
1588291200,0.0,0.0,0.011494252873563218,0.0,0.0
1590969600,0.027777777777777776,0.0,0.0,0.0,0.0
1593561600,0.0,0.0,0.015625,0.0,0.0
1596240000,0.03333333333333333,0.0,0.0,0.0,0.0
1598918400,0.0,0.0,0.0,0.0,0.0
1601510400,0.041666666666666664,0.0,0.0,0.0,0.0
1604188800,0.0,0.0,0.0,0.0,0.010526315789473684
1606780800,0.030303030303030304,0.0,0.0,0.0,0.014285714285714285
1609459200,0.04,0.0,0.022727272727272728,0.0,0.012987012987012988
1612137600,0.0,0.0,0.0,0.0,0.012345679012345678
1614556800,0.0,0.0,0.025,0.0,0.010869565217391304
1617235200,0.037037037037037035,0.0,0.0,0.0,0.0
1619827200,0.0,0.0,0.013888888888888888,0.0,0.007407407407407408
1622505600,0.0,0.0,0.0,0.0,0.02564102564102564
1625097600,0.03333333333333333,0.0,0.014084507042253521,0.0,0.0
1627776000,0.0,0.0,0.0,0.0,0.014705882352941176
1630454400,0.0,0.0,0.0,0.0,0.009708737864077669
1633046400,0.05555555555555555,0.0,0.0,0.0,0.0
1635724800,0.0,0.0,0.0,0.0,0.0
1638316800,0.0,0.0,0.0,0.0,0.0
1640995200,0.038461538461538464,0.0,0.0,0.0,0.0
1643673600,0.0,0.0,0.014084507042253521,0.0,0.0
1646092800,0.03225806451612903,0.0,0.0,0.0,0.0
1648771200,0.0,0.0,0.0,0.0,0.0
1651363200,0.0,0.0,0.0,0.0,0.0
1654041600,0.03333333333333333,0.0,0.0,0.0,0.0
1656633600,0.0,0.0,0.0,0.0,0.0
1659312000,0.0,0.0,0.0,0.0,0.0
1661990400,0.034482758620689655,0.0,0.0,0.0,0.0
1664582400,0.0,0.0,0.0,0.0,0.0
1667260800,0.03333333333333333,0.0,0.0,0.0,0.0
1669852800,0.03225806451612903,0.0,0.0,0.0,0.0
1672531200,0.0,0.0,0.0,0.07692307692307693,0.0
