month,ratio_quantity.15A,ratio_quantity.15C,ratio_quantity.15E,ratio_quantity.15F,ratio_quantity.15M
1514764800,0.023809523809523808,0.0,0.0,0.0,0.0
1517443200,0.07894736842105263,0.0,0.0,0.0,0.0
1519862400,0.037037037037037035,0.0,0.0,0.0,0.0
1522540800,0.0,0.0,0.038461538461538464,0.0,0.0
1525132800,0.06896551724137931,0.0,0.0,0.0,0.027777777777777776
1527811200,0.03125,0.0,0.0,0.0,0.041666666666666664
1530403200,0.03125,0.0,0.0,0.0,0.0
1533081600,0.023255813953488372,0.0,0.0,0.0,0.0
1535760000,0.0,0.0,0.0,0.0,0.0
1538352000,0.04878048780487805,0.0,0.0,0.0,0.0
1541030400,0.03225806451612903,0.0,0.0,0.0,0.0
1543622400,0.03125,0.0,0.0,0.0,0.0
1546300800,0.020833333333333332,0.0,0.0,0.0,0.0
1548979200,0.034482758620689655,0.0,0.0,0.0,0.0
1551398400,0.02857142857142857,0.0,0.0,0.0,0.0
1554076800,0.0625,0.0,0.0,0.0,0.0
1556668800,0.020833333333333332,0.0,0.0,0.0,0.0
1559347200,0.041666666666666664,0.0,0.02702702702702703,0.0,0.0
1561939200,0.02631578947368421,0.0,0.0,0.0,0.0
1564617600,0.02,0.0,0.0,0.0,0.0
1567296000,0.023809523809523808,0.0,0.0,0.0,0.0
1569888000,0.0,0.0,0.0,0.0,0.0
1572566400,0.044444444444444446,0.0,0.0,0.0,0.0
1575158400,0.02564102564102564,0.0,0.0,0.0,0.0
1577836800,0.02,0.0,0.0,0.0,0.0
1580515200,0.06060606060606061,0.0,0.0,0.0,0.0
1583020800,0.0,0.0,0.0,0.0,0.0
1585699200,0.05405405405405406,0.0,0.0,0.0,0.0
1588291200,0.03333333333333333,0.0,0.0,0.0,0.0
1590969600,0.029411764705882353,0.0,0.0,0.0,0.0
1593561600,0.025,0.0,0.0,0.0,0.0
1596240000,0.03125,0.0,0.0,0.0,0.0
1598918400,0.05263157894736842,0.0,0.0,0.0,0.0
1601510400,0.0,0.0,0.0,0.0,0.0
1604188800,0.02564102564102564,0.0,0.0,0.015873015873015872,0.0
1606780800,0.025,0.014925373134328358,0.0,0.0,0.0
1609459200,0.022727272727272728,0.0,0.0,0.0,0.0
1612137600,0.0,0.0,0.0,0.0,0.0
1614556800,0.0,0.0,0.0,0.0,0.0
1617235200,0.0,0.0,0.0,0.0,0.0
1619827200,0.0,0.0,0.0,0.0,0.0
1622505600,0.0,0.0,0.0,0.0,0.0
1625097600,0.0,0.0,0.0,0.0,0.0
1627776000,0.0,0.0,0.0,0.0,0.0
1630454400,0.0,0.0,0.0,0.0,0.0
1633046400,0.0,0.0,0.0,0.0,0.0
1635724800,0.0,0.0,0.0,0.0,0.0
1638316800,0.0,0.0,0.0,0.014705882352941176,0.0
1640995200,0.0,0.0,0.0,0.0,0.0
1643673600,0.0,0.0,0.0,0.0,0.0
1646092800,0.0,0.0,0.0,0.0,0.0
1648771200,0.045454545454545456,0.0,0.0,0.0,0.0
1651363200,0.0,0.0,0.0,0.0,0.0
1654041600,0.0,0.0,0.0,0.0,0.0
1656633600,0.0,0.0,0.0,0.0,0.0
1659312000,0.0,0.0,0.0,0.0,0.0
1661990400,0.0,0.0,0.0,0.0,0.0
1664582400,0.0,0.0,0.0,0.0,0.0
1667260800,0.0,0.0,0.0,0.0,0.0
1669852800,0.0,0.0,0.0,0.0,0.0
1672531200,0.0,0.0,0.0,0.0,0.0
