month,ratio_quantity.93C,ratio_quantity.97R,ratio_quantity.99E,ratio_quantity.A3A8R,ratio_quantity.B2M3M
1514764800,0.0,0.0,0.0,0.007518796992481203,0.0
1517443200,0.0,0.0,,0.008333333333333333,0.0
1519862400,0.0,0.0,0.3333333333333333,0.00625,0.013888888888888888
1522540800,0.0,0.0,0.25,0.015267175572519083,0.0
1525132800,0.0,0.0,0.0,0.008403361344537815,0.0
1527811200,0.0,0.13333333333333333,0.0,0.015037593984962405,0.0
1530403200,0.015625,0.05555555555555555,0.0,0.008,0.0
1533081600,0.0,0.0,0.0,0.0,0.011235955056179775
1535760000,0.0,0.0,0.0,0.015625,0.0
1538352000,0.0,0.0,0.0,0.007692307692307693,0.011235955056179775
1541030400,0.0,0.0,0.0,0.0072992700729927005,0.0
1543622400,0.0,0.0,0.0,0.0,0.012987012987012988
1546300800,0.0,0.045454545454545456,0.0,0.0,0.0
1548979200,0.0,0.0,0.0,0.0,0.0
1551398400,0.011111111111111112,0.0,0.0,0.0,0.0
1554076800,0.0,0.0,0.0,0.0072992700729927005,0.014084507042253521
1556668800,0.0,0.0,,0.0,0.0
1559347200,0.0,0.0,0.0,0.0,0.0
1561939200,0.0,0.0,0.0,0.0,0.0
1564617600,0.0,0.0,0.0,0.0,0.0
1567296000,0.0,0.0,0.0,0.0,0.011627906976744186
1569888000,0.0,0.0,0.0,0.006535947712418301,0.012195121951219513
1572566400,0.0,0.0,,0.0,0.0
1575158400,0.0,0.0,0.0,0.0,0.0
1577836800,0.0,0.0,0.0,0.0,0.0
1580515200,0.0,0.0,0.0,0.0,0.0
1583020800,0.0,0.0,0.0,0.0,0.0
1585699200,0.0,0.0,,0.0,0.0
1588291200,0.0,0.0,0.0,0.0,0.0
1590969600,0.0,0.0,0.0,0.0,0.0
1593561600,0.0,0.0,0.3333333333333333,0.007042253521126761,0.0
1596240000,0.0,0.0,,0.0,0.0
1598918400,0.0,0.0,,0.007142857142857143,0.0
1601510400,0.0,0.0,0.3333333333333333,0.0,0.0
1604188800,0.05405405405405406,0.0,1.0,0.0,0.0
1606780800,0.0,0.0,,0.0,0.0
1609459200,0.015151515151515152,0.0,0.0,0.015503875968992248,0.0
1612137600,0.0,0.0,0.0,0.009523809523809525,0.0
1614556800,0.0,0.0,0.0,0.026845637583892617,0.0
1617235200,0.0,0.0,0.0,0.008771929824561403,0.0
1619827200,0.0,0.0,0.0,0.0,0.0
1622505600,0.0,0.0,0.0,0.007936507936507936,0.0
1625097600,0.0,0.0,0.0,0.0,0.0
1627776000,0.0,0.0,0.0,0.0,0.0
1630454400,0.0,0.0,,0.0,0.0
1633046400,0.0,0.0,0.0,0.0,0.0
1635724800,0.0,0.0,0.0,0.008695652173913044,0.011235955056179775
1638316800,0.0,0.0,0.0,0.0,0.0
1640995200,0.0,0.0,0.0,0.0,0.0
1643673600,0.0,0.0,0.0,0.0,0.0
1646092800,0.0,0.0,0.0,0.0,0.0
1648771200,0.0,0.0,0.0,0.0,0.0
1651363200,0.0,0.0,0.0,0.0,0.0
1654041600,0.0,0.0,0.0,0.0,0.011111111111111112
1656633600,0.0,0.0,0.0,0.0,0.0
1659312000,0.0,0.0,0.0,0.0,0.0
1661990400,0.0,0.0,0.0,0.0,0.0
1664582400,0.0,0.0,0.0,0.0,0.0
1667260800,0.0,0.0,0.0,0.0,0.013157894736842105
1669852800,0.0,0.0,0.0,0.0,0.0
1672531200,0.0,0.0,0.0,0.0,0.0
