month,ratio_quantity.97R,ratio_quantity.99A,ratio_quantity.99C,ratio_quantity.99E,ratio_quantity.99F,ratio_quantity.99G,ratio_quantity.A3A8R,ratio_quantity.B2M3M,ratio_quantity.D2P2L,ratio_quantity.D4U1Y,ratio_quantity.D9Y0V,ratio_quantity.M1J4Y,ratio_quantity.M2L0M,ratio_quantity.W2U3Z,ratio_quantity.X2C4Y
1514764800,17.464390852923092,4.611171919808492,1.2147983808331586,10.95118903644691,5.7295521015359165,5.523638160201447,7.086255666858189,2.5801503367369114,9.53490808174383,6.6144097202245575,9.021832293475443,2.154236256785696,3.8044887927167825,4.885993127167696,6.264119905466464
1517443200,14.945536523239273,3.065249453418881,1.0805633609822047,14.673379517899212,9.1312535683391,7.092959286639899,6.142640879321313,3.2719723244867125,7.927409423715887,7.2289749059259645,7.905346673986642,2.2895074250334244,4.083214646118075,4.707441866898432,6.801374019728702
1519862400,18.236321850266,4.2742538271771835,1.0801329257370549,13.482209893998004,10.503332666598196,6.879480776789794,7.143522415698952,3.3548274168003305,8.858179287441663,7.118089532225728,9.966326959737435,2.0548777154616324,4.948461971365061,5.019964816418734,7.59405753082008
1522540800,13.217696760323017,3.9800588380976674,1.0808379709588691,13.865949676197852,7.637132857312608,7.0995101910658756,6.479848596268365,2.3781992174234645,8.7577785989702,5.4191444894103205,9.566910809866396,1.446508664855433,4.354112390798344,4.687838872625392,7.109979218206568
1525132800,16.475689150985875,4.363055924309241,1.3954011604002012,11.351715257078993,4.664373103545088,6.9383527436562265,6.462854602694345,2.947566286134687,8.561805348689923,8.77902029749941,9.530830736931176,1.6193433001754833,4.033202176154119,5.033255325891728,7.636160569427184
1527811200,14.65575302185888,3.885048599017334,1.2600294586459986,13.535515953714183,5.933439293574419,5.2190671802364195,6.531076178677446,2.3312699450167114,7.554406987241403,7.594190024805554,8.610922948946476,2.1625430836164017,4.999870580827134,4.839363189111578,7.126764250712228
1530403200,15.452840405900742,3.733025563091588,1.4400488708595525,12.204098750594657,9.11250694141179,4.226704110505333,6.3073254555447695,2.9645134697231326,7.6519213130467545,8.67102758945266,9.218348228078828,1.9664839971459125,4.430264836511989,5.105989590812373,8.167867112424403
1533081600,13.89598055571019,3.8318237704918023,1.9101452823135763,10.414656750122381,5.288683617949683,6.345548367612929,6.617551740534729,2.6528404366321543,8.768621036964712,6.065199997966469,8.505606375973631,1.5740215182130308,3.7447902695172686,4.103238581385979,7.934509167854758
1535760000,13.049642450924464,2.8395106640277317,2.0619454822635332,11.453574680978619,5.710288080468683,5.932755773216094,5.960904713963232,2.467955860900665,7.974280669792699,6.321926289670445,8.165876743939792,1.6304089877140044,3.602365657565851,4.906674753145329,6.292812583858188
1538352000,14.924591143857162,4.052896307077264,1.7473354899471767,11.018627364935975,4.541275168507871,4.4757082747459735,5.849481311809089,2.279731504311053,8.021803022677949,5.3960132429993966,9.085426872696871,1.6863778198953105,3.5751231301220776,4.455985205094627,6.343903139546399
