month,ratio_quantity.97R,ratio_quantity.99A,ratio_quantity.99C,ratio_quantity.99E,ratio_quantity.99F,ratio_quantity.99G,ratio_quantity.A3A8R,ratio_quantity.B2M3M,ratio_quantity.D2P2L,ratio_quantity.D4U1Y,ratio_quantity.D9Y0V,ratio_quantity.M1J4Y,ratio_quantity.M2L0M,ratio_quantity.W2U3Z,ratio_quantity.X2C4Y
1514764800,0.02216020094892548,0.0053886930354755625,0.02541113786566935,0.037752474752524745,0.012181303116147308,0.01648177496038035,0.029025348713115205,0.037983967048033,0.04580361521703381,0.021348913408207174,0.021915165055568602,0.03652346123873053,0.017280351362096057,0.0377410647700509,0.008985658921066833
1517443200,0.02182003244378002,0.005417646295201142,0.019718642466770124,0.030787316942093242,0.018528858283185474,0.013811806867160638,0.02715226983064398,0.030095195752804876,0.04627395791448868,0.01834794646977388,0.020917829037160364,0.028549036287876996,0.017048419831835315,0.03603414813871277,0.010631426832271584
1519862400,0.015329382265785275,0.006388745152084924,0.026109271029152867,0.030302114255657462,0.01384108385206884,0.017736954628236597,0.022765233764064564,0.02579284830605253,0.044605040122426505,0.014482417680381875,0.01866433871671759,0.029648259006057172,0.014745228166150995,0.03174479514460817,0.008497919474887183
1522540800,0.02553085186110417,0.005686868766798815,0.018352977788151086,0.03523035230352303,0.010611561016475845,0.019028244227953104,0.02652067496341574,0.02643928549200224,0.042404017582117426,0.010362017368014927,0.017941106805021496,0.025354602948492646,0.016639268983507368,0.03313012009510531,0.00845407595275762
1525132800,0.017457814913803032,0.005888893261964736,0.015997981327277314,0.026806353420456366,0.008350657438839329,0.012819543503280493,0.019984300065007544,0.0220040984990936,0.03517915309446254,0.014840792252819512,0.017605151555197807,0.02271049188322281,0.01524543474618864,0.0278902471390501,0.008073013897531633
1527811200,0.017913589055729838,0.004829180322096267,0.021139872842870118,0.02880307752239969,0.013913309380016819,0.02062107253980843,0.0196602018694506,0.01895804507329795,0.031202442702343514,0.0095999746744279,0.015194447062394662,0.023630616517170147,0.013733930715394301,0.02881635488176618,0.008821785114164277
1530403200,0.017002428918416915,0.0055518926796275705,0.014261689028501152,0.01682570968439776,0.0054525222551928786,0.015810139337711526,0.016958713512659478,0.017863390573932533,0.02612522499114844,0.010094480935442542,0.01608768106652993,0.01918441718247677,0.014711033274956218,0.025130570877565254,0.00728020384570768
1533081600,0.01601956204837218,0.004451594838427989,0.01722410939813605,0.024134938393326286,0.009180929897042429,0.015263593267792943,0.01633721783544192,0.01822140823258381,0.024136210063678623,0.012803650821927673,0.014012817631199955,0.016228078618592025,0.012505153222481791,0.02280001109020313,0.007725995214613168
1535760000,0.01243382543899954,0.005296124924727088,0.01615765093821151,0.02354580796596494,0.005992567659591027,0.01518647336340783,0.014994266379838804,0.014305519038171953,0.022380223969568472,0.012762359979840349,0.012835571500534456,0.0155715609175066,0.012206073850114503,0.022212336493371742,0.01040372222061671
1538352000,0.01464301256943911,0.004924859346839387,0.016427880876056726,0.01763984476936603,0.00858705467432232,0.016814797021378815,0.013207891771015693,0.014839559310056852,0.016541563802460746,0.00796663521310389,0.013951248483257723,0.011630105021118883,0.011839519019539831,0.02131355544802396,0.007640501625638643
1541030400,0.015035451666283109,0.0042933268035587275,0.018434619590688955,0.009476127877380919,0.006322025938369278,0.015226848974518334,0.010706286517756895,0.013891122602241224,0.015915614034863624,0.010086149366013469,0.014051484950281724,0.011619113314833038,0.011167946035589082,0.016430014066326305,0.006650112186851933
