month,ratio_quantity.11M,ratio_quantity.11N,ratio_quantity.11X,ratio_quantity.12F,ratio_quantity.13T,ratio_quantity.14L,ratio_quantity.14Y,ratio_quantity.15A,ratio_quantity.15C,ratio_quantity.15E,ratio_quantity.15F,ratio_quantity.15M,ratio_quantity.15N,ratio_quantity.16C,ratio_quantity.18C
1514764800,368.8403732728945,401.2421650044857,313.5532059688141,433.5662542815552,227.45662420153909,281.03896402058314,211.97142722181994,194.75849672403288,280.32548676533844,240.73244012632227,194.08663868863974,282.5538696527631,409.1306281936347,284.4147646431367,334.4566163552368
1517443200,325.1471606030511,349.6159058786179,287.23724717510225,389.73031142415346,203.4840009396341,262.03903688628424,189.2439369426158,177.28489629147208,250.94153859584006,219.0111947244521,167.00893302143555,250.34068045463553,362.0985584185895,246.81217082334283,295.7379027879053
1519862400,354.40711808145653,382.00389669480455,311.9123695646621,428.64365613754234,224.836396832015,281.589489452429,207.85844299171785,183.2447909675745,265.80460751653953,235.82323807919482,183.4089282023006,278.3352419724221,399.1730583977993,274.6958045626935,318.91111523360894
1522540800,341.4132512603358,374.7715271073625,297.20212177083556,403.31374240286414,208.5902886853027,263.2062440816224,192.32740079422584,180.12628976009725,260.5639442963846,221.96473318273866,171.94179457088413,261.33691583653365,377.8812298707727,258.3669631366861,311.57570925228407
1525132800,342.7300202338862,376.24779066833685,306.86504562020184,417.1657264745315,221.44314750551297,282.12695062271195,206.0871564573759,186.94590801880685,266.70363676902525,233.57693698771504,178.9964272182292,267.0383275376453,392.0221440843601,269.63283100763186,316.42064200372
1527811200,328.8408885043864,358.52382491611877,298.0766401488116,408.5256099654993,211.90816944172008,265.60150795759785,194.67413859469664,186.12585603894783,255.37265971141193,222.387122589156,175.1189101191135,264.95418556836773,378.9726584881699,255.68324395706085,303.94426537716964
1530403200,333.4377803011749,366.16510725407505,300.00121505276127,410.57134650613295,214.11823979420902,270.62742893121197,193.34885048232664,183.52866334805432,257.14152498438597,225.6074973158786,175.35193465096873,262.45194130966587,381.809645701525,259.6146385282619,299.40307109226245
1533081600,344.6830494974183,377.3066911913095,305.5876786109701,427.2682915720833,221.89476205728073,278.6885492768285,202.11354957815234,188.5845338030424,263.77825762234954,231.2135642768368,179.25724746913158,272.66511541868005,388.2431884248993,259.789353417575,313.9217773551302
1535760000,320.9171456048393,348.0574420018521,283.75888267091915,386.5589583115662,197.35255546089996,251.5578225269284,185.07658915835898,171.81142323391498,248.3194552903402,215.69533077679273,166.40402059403704,250.43562400622227,365.1887632453251,247.93171708935128,290.3239592555991
1538352000,344.4840110029765,372.86128853091884,303.700088990667,432.8245928496869,216.3196969564325,275.7873935622134,204.37444198196602,190.5517936588434,262.3266565462394,232.79418605598312,179.48669352457466,272.1495930504107,391.5063023206766,268.45387333730395,315.6747600371862
