month,ratio_quantity.05V,ratio_quantity.05W,ratio_quantity.06H,ratio_quantity.06K,ratio_quantity.06L,ratio_quantity.06N,ratio_quantity.06Q,ratio_quantity.06T,ratio_quantity.07G,ratio_quantity.07H,ratio_quantity.07K,ratio_quantity.09D,ratio_quantity.10Q,ratio_quantity.10R,ratio_quantity.11J
1514764800,447.1856700559416,334.38317953405954,295.82137316940276,250.95205319204126,280.1902736462026,217.36066277181965,346.8993065682408,509.4360395324026,181.82280199709857,201.67720734145377,341.42513234899167,423.90977317082934,187.40751167449227,300.48566330293477,349.1721262393568
1517443200,382.41922741757804,296.74276216129635,260.6010584841761,215.00694282843688,249.59975829243393,192.14374542788707,306.7496588544955,468.40817584230615,157.38428058539486,180.84292292158372,302.33410116472567,372.11244620562434,167.1073612507016,253.04934045781758,305.1666754072766
1519862400,444.13699604065175,328.7496832175269,286.18848366127895,242.85410474292567,281.02365253431714,208.2876208810795,338.94689026248113,507.99074037228013,167.076408498463,195.92125928768388,337.3403568714645,413.9515796550469,179.09813298572584,292.4561768814607,333.81288754510115
1522540800,414.3272610176603,312.89965556734,271.0922048719396,222.72193073680208,257.98098379087986,196.96148872144565,321.1199957740103,481.0847686651259,161.77366838746389,190.48563978697746,314.42403104938984,379.161723628314,176.6968368369749,269.5255404306485,321.2249981155474
1525132800,429.2597357873091,319.924832616509,286.83420137088495,233.89316715728464,276.77454981208604,205.94239706641565,326.2996954391726,485.81250431981647,168.4185325207885,196.53025742275275,330.64173853285286,404.94007376263085,176.69467937482887,286.01805164169235,330.4806770507965
1527811200,421.3022405764856,307.76870178313897,275.2798760163393,233.1749109400409,263.50519395397095,195.21514450040962,327.4243159121607,478.97289710605054,160.62307796685616,187.05499575592512,305.2607250732405,377.6794475046105,166.40639551752602,269.79418581781835,321.3689120012728
1530403200,419.60337202515643,313.8449547478678,269.28466169877015,224.16116235861784,257.8054944416558,197.6075636544802,325.9866270784622,477.13345103571896,159.6837224711534,184.34055032494916,314.7996157612624,390.84445758519325,172.56749800170383,268.44550990091716,318.0336546928449
1533081600,420.3105024619319,327.71472566351036,283.5710972126937,240.53764634936812,273.7525243502376,203.28703553907454,333.09496452331757,494.0212874875644,169.78120064556995,189.40797074122358,317.23622032577856,400.17077878407594,172.3131488224363,267.4421751596161,331.05631729952444
1535760000,391.88005814740166,287.78237027857546,261.5908296120399,216.2090889462806,260.39998339066705,192.1102539730077,309.60309926746703,464.84640059223346,156.13932016996532,177.21113849169905,304.37978896710297,356.77475287560844,162.64318538169235,259.70224836915287,305.32281257569775
1538352000,438.0148834908931,321.6405033853023,280.64300786186595,236.64842589917205,267.3455574565721,208.6658404995388,334.5455979989794,499.9218058504778,159.08044425751157,196.02437555512245,322.4267141673763,396.90228325405025,175.32652703193799,282.9157565082261,323.52792236237906
1541030400,424.17628077644594,311.8858560251951,269.681029446235,227.54005264208067,269.58610791114114,200.63948887764138,314.9620285597369,478.8524878746947,157.65009787758018,188.07763297727774,315.62221701924597,369.616298430883,165.22458081378085,272.69411810568323,316.05781858234036
1543622400,409.60316819143765,302.59328638011056,264.29758841758314,224.21870720281322,262.2564539170861,199.47626371441862,321.4850784994454,486.7062456797333,162.67449599338204,192.32908375841953,306.75369941978437,376.7998845464708,168.2000300411307,270.32668898618135,314.45255940491876
1546300800,419.70522960075186,318.12303639193215,272.9715616729519,234.82231730113287,264.67390385476597,205.13246924787552,325.3228423855956,495.68009980986943,162.54307863774704,188.12990477326548,321.52818224823386,379.6181447223941,174.86585933414534,276.8533127027879,323.0283271544545
1548979200,374.56678530381436,276.65768875580414,245.37891173336877,204.67703022693442,240.0583880675174,180.94781833110306,294.77211501158183,440.12696680352786,141.26349050076658,168.00229023645255,279.5282155179392,343.5123987114431,150.42052869119632,241.06529535078297,281.4925723308459
1551398400,400.7045761167357,297.28565812221314,255.51623912927258,219.10771037894244,252.0665267432226,196.40211607827487,311.1192403117034,465.88773684169263,150.32734169558896,181.98320828959714,299.1592727233314,362.8824459100715,161.77287873548602,254.94544386897502,297.76900276399965
1554076800,390.48349813700725,287.65241437696096,254.25773741631397,216.15520815741718,252.5172512507974,188.49629889572404,309.6705266586,468.34071609040313,144.64946070997743,172.35072023138142,297.72398529709517,347.30609699486286,161.32996495434244,257.8883022067267,291.74885785694516
1556668800,413.9905611840838,308.5752081063329,268.77039792446516,224.63615624667952,253.38073695697685,196.04924915055466,327.1583344731201,491.24988873161396,149.85541645147396,179.43145530904403,310.8012730617792,382.50170032722684,164.97347343882296,263.2624650408478,302.8996670784311
1559347200,384.0593066209904,279.7047013271884,244.80043948238603,206.8593028328837,248.66218869840276,180.81964639794356,290.5459040103365,447.44804575687215,137.6404494387529,168.98340238200691,275.63992325033956,336.9012580272376,150.1228429691424,242.10685218103626,286.70754487273877
1561939200,381.9374492088635,278.3161548180941,247.86973562037204,216.99250945682283,242.5558915462665,193.3941410009746,316.3551027394959,460.7346280779488,144.00453368725346,171.53903414184902,281.86773912319967,354.1248772730384,157.40499813368922,254.32253168135833,287.96007248355824
1564617600,419.8234321975097,297.091963220185,269.3813261920533,224.60895632321538,252.8892477526946,193.5379607666412,308.28217732101785,469.35978552161106,139.69903684602076,181.08498692266258,303.3708234023401,369.95446563175597,160.25825920968276,278.4166984133194,301.43240982841377
1567296000,383.6239978626203,276.7616839918798,242.58295838231712,205.30741921419633,233.96281440685883,180.43598196234356,306.3756466832154,452.5335272300601,135.61562892439622,168.4995708122875,281.1309448879925,339.3571975458993,150.22741635023638,252.59195652013608,286.6420586038815
1569888000,399.00881881217254,286.45327329725427,261.474482195226,222.79975970479538,249.59096120211726,195.91030945771755,318.0981009269959,482.6977294446072,138.75801614878338,174.19740437211684,297.8851171499154,365.157143681934,163.2318765792939,265.08297282109294,306.6407817949426
1572566400,380.11550736310704,268.15375577924016,242.34949577407264,206.80695381183037,253.35737746259443,185.64069310993003,298.9590323990544,451.90064939832547,129.16940851788604,174.38995118885856,280.57236728337375,329.06486872776543,150.37957376450993,249.32373183136568,287.0614724576086
1575158400,398.71269706517467,274.7241537163457,250.3777424045131,211.61107351786632,249.07016842837498,185.05497887218456,311.6208675573796,474.2988831585931,129.76631125493068,172.50285343348403,282.8275714473143,359.58907420081584,158.9242470734429,255.62578074803403,293.07817586179965
1577836800,405.8573848322841,283.3226189894107,254.4167929162614,216.82431369114815,250.90857324417215,190.65306556551468,317.9814743019556,473.8108890502644,134.03314368370022,174.50027622922315,281.0467430263579,354.6656200007128,156.82773145449275,258.62501734270165,306.18430070118916
1580515200,359.40938678482695,249.91742302375278,221.73501647798125,195.0838882643554,227.99449663470747,174.61383288684644,288.6728932452622,416.97118466508954,114.92300400208885,162.2203974687857,256.7786683670712,319.86717830682727,143.00621438096036,231.523353611266,266.70008996149215
1583020800,398.94266522656704,269.9569952023689,250.24372966911966,214.75562663158053,249.2101764243368,193.70824655576862,307.94077216317316,476.3561392151591,132.33862585269677,170.36248001759375,277.8054943578936,357.8781057311508,155.88533998676138,261.3628792086356,296.184247567732
1585699200,399.7816085824031,276.26196944174853,242.21386403061067,209.87943599755604,248.11609613431295,190.3051565354182,302.5150897007593,464.6306964043749,127.13107543412136,175.70146552847197,278.5765334656292,348.5038961257941,153.67055554102163,257.83417587358497,292.2373187833635
1588291200,362.8399208300578,248.87811313379908,232.505353927543,199.34620836313238,244.40578238283663,177.6291988006716,296.5595382660962,440.8157096623653,119.22562609763317,158.7605372807573,265.1429370779286,328.2933162951574,142.58510969062817,237.89226958597703,275.2899015847359
1590969600,375.84188729275206,259.68670629779444,233.7438194163357,202.33091145747238,244.39146453590476,178.7030724659177,297.8148849286969,449.2313255368148,121.22592882043061,165.86113083664054,264.67646807352224,338.4101351554832,147.18539054701557,252.3802101524885,278.55877077826545
1593561600,378.5727639486036,267.51126540954306,242.97199446802813,211.76431038271045,253.56536540826136,187.02392214155464,307.9970844748134,472.0131207477406,121.8190712817433,168.0441623949669,278.4346160319847,348.73636139040457,148.31157037627966,249.5651648677675,287.23570051882695
1596240000,352.231121942154,235.9575203725087,215.18286304148344,184.06389039462093,229.2380080824225,162.53286714489565,274.678339368991,416.31603316877516,108.57763300798126,156.66883214220917,245.15602209636742,311.9493175589992,135.29697807229005,225.9331965316514,261.78192498680113
1598918400,368.6927396333831,261.15391375762033,230.92208871811494,202.71699689989424,243.97385986949078,179.91815445842667,294.3994324130723,450.84644221967113,117.8650182354175,158.0137899175102,258.4492486668036,339.7151869374029,138.69384596634328,233.24362741710218,279.8718413670495
1601510400,375.01231598082813,250.82404570535428,228.40961085838424,198.99876207966093,251.34631155638246,177.8119999118215,305.8248749430733,446.92234217571024,117.67568655399859,168.68292662664214,266.8351030136042,345.4181504729272,143.1597454959641,248.78595907395254,278.3677548433555
1604188800,352.49918624570716,237.63796753293425,221.36008048334162,193.56922894215475,235.6630345156641,171.61189263646483,284.8056729056776,435.34812679505734,113.68491126428701,156.63652358860782,255.8435716058925,319.87972397505786,139.68887380041355,241.51201291291036,276.0298292526072
1606780800,382.94900138245976,264.7981558830618,237.39361248352049,206.4382530123717,258.45645315246423,183.65040676292045,303.4204181113143,461.34445247634045,118.88699484170947,171.63513871850984,269.0807702290731,341.09714076775106,150.8437067418255,255.86469204575408,288.15701880155143
1609459200,333.40574993580776,247.19790756559885,221.66316590941653,198.13300053010997,242.54587445509867,174.05917690141828,294.11085151544427,443.1988086558216,115.81982831198654,160.7022235246885,256.69669809113924,336.0217587498452,138.40115985458596,242.8579266016208,271.9578914267555
1612137600,324.9495754948535,233.14414603226524,204.95710269151513,179.8564791823169,221.61594440430983,164.7423657872124,265.4076092862701,404.8875432932666,109.31505346762819,151.48315470226817,234.73398030201713,306.07686067350403,128.39788331801168,236.47164469167265,255.619241610403
1614556800,358.68057768662374,260.1740248895019,224.02010760425395,202.25376363122524,241.52365349194207,176.4117588963063,296.5692190335934,466.5668982871007,117.7401637974876,165.44745077744489,271.3081768299015,344.13736351390355,144.5790164525204,246.08121773275704,283.86021111266734
1617235200,334.73315823994545,237.17313008834554,218.58362057447474,189.73951040831815,235.56901322230638,168.89292895772482,279.46400015997534,446.22217917995505,112.37643099085005,153.63757930089255,244.74054414165857,316.70560363647786,131.79953460085738,235.7056553308227,266.9474280037425
1619827200,298.3485950802071,241.49519103470035,204.38617725443007,181.37963627577207,223.38863195010634,162.49006409375767,263.57833160467464,412.2899086104383,106.01113808058344,143.77620711944385,232.83783610221215,301.60681422426785,131.5311598407524,218.14771215524587,250.3376469236862
1622505600,319.83904575279433,248.65585867852235,212.47960226079067,191.88121452020638,227.9404420023771,167.9281831009882,281.827825520682,432.8380955556505,107.63830905755201,156.47944444642903,249.55564704697363,313.3814534363759,130.89923578213146,234.92395211961576,262.085932434713
1625097600,320.510058469732,250.44663782681465,210.84898380877343,189.0996525228448,235.3167646350753,170.95971868887946,280.08986253836736,435.0081596720475,112.14695885454172,155.8116100045439,248.75630486570782,317.7945008543188,136.1538461535804,236.50998544351432,261.93131036053705
1627776000,295.3568241167686,221.85315821316786,200.59853771858073,178.44165856758917,216.9092473405595,162.63146114404287,268.88213773468703,404.72822434190414,103.18864259328468,148.2349327674688,239.3766188623039,293.36992394915734,127.9276558796566,214.4280229927191,253.67731536642432
1630454400,312.4008718919515,244.24113896439619,204.11328005179485,192.8006966453948,230.222747239742,170.43580736238118,279.53044754267233,429.7158057240724,108.28725157909486,153.29287063790215,242.1649149008022,311.0286802101322,132.09358150013145,236.73251624585535,264.5959714343268
1633046400,289.6995143383087,230.14796418958022,198.49749864848053,174.1160858002391,216.61010517474747,161.20780602648168,264.92291026330986,410.8613444635177,102.88503733659192,143.70058067777987,237.41828626713175,311.5535598125616,125.99634467511301,221.25819265237672,249.79468297397884
1635724800,293.5797714968745,229.5493905957479,207.0654204636842,184.55118059200495,224.14937190388443,165.28674847922557,268.3239383040473,411.9496184085399,105.19833114003524,150.01364090733557,241.09583972857118,315.8797083868249,127.32091884374759,231.36000070028842,261.58048222776085
1638316800,304.74304846510773,242.49090334615707,211.1047978442584,192.39504409851284,242.00879012979863,175.97223678165435,293.87831529751134,443.1112890958357,109.1466097412398,158.78095167607006,257.5585633808939,329.79917896064234,137.4382790471497,234.8384531533423,277.70350749229834
1640995200,282.54372158611403,228.069361068664,201.814560784007,184.1359173225157,228.9592263158403,163.8479259236877,269.19554105514646,414.74305940082075,101.47212089605588,149.78479801309106,236.48900346906908,301.4609761970997,129.1512772875623,216.91558700500448,257.98946036840107
1643673600,253.49654367764748,209.74281522545192,187.02063644029735,169.64212792961695,208.73472193305213,152.61207638848558,252.2486831339252,386.5369067520191,96.96571829503681,143.0861925275324,228.53919005747315,281.08786737917177,119.7707724963262,213.40761350463345,240.1550493525435
1646092800,292.92199169034006,238.73706595316042,207.81826951043573,193.89239959472422,231.04655472207688,171.47460183057967,284.5149944932919,426.40294960655285,103.15777102764157,158.65502106251142,253.68497715978407,319.1474380954018,133.57744172370826,230.90910142569035,267.55991955091014
1648771200,271.170441012144,212.31844194196188,191.43276938844153,172.43873208487818,224.18396517422195,157.00142639517642,256.7353544132661,396.6450961491919,96.36088095966207,145.57979298825342,229.67457143819075,299.826788611694,125.42296081324288,216.71577557245834,246.29061688404008
1651363200,273.28065143517045,215.0948561293405,194.11098103841246,183.93203772892957,226.23422650225763,165.8282102077728,266.9310898034199,405.9356214717033,99.63011726752926,153.65892729008343,227.73443024662646,312.28746591114583,122.61755787471687,224.69121375402847,255.96913137615667
1654041600,262.0586082504113,213.49894157500438,185.14483394767953,175.35953960342576,229.07906501110295,155.5504532455287,257.64423242657296,405.39018284189564,94.48798993188302,146.55877506796367,234.72683393072802,287.44612243217784,122.9337360493457,207.42509363743707,247.78891133381515
1656633600,262.8376805330511,217.61288111967124,183.64637935866483,170.4057414477047,219.44156941124712,152.77781086146229,254.0446720449391,388.17109563280076,93.0690890855818,144.22801108084184,224.77058434772482,290.7187372952988,119.15776696780937,207.012959648037,240.99919374655738
1659312000,254.63838309837286,214.53145317179764,190.64878581762125,178.3222831602828,221.54712375925163,159.67773037300785,261.0523655157828,405.8418719181332,99.0404586756545,148.71192798051848,229.87431712621512,307.1372098263817,127.57929192959469,213.37373860557642,249.89376481571958
1661990400,255.90882945089166,214.40964581108744,187.40308407384998,181.13501225632177,224.5971069310381,158.45266820487808,259.2386877179849,404.5917565253397,95.77373680566934,149.80830997613484,219.10852199426915,283.47395270768396,124.03387875344994,220.2239872661184,246.84768886740596
1664582400,248.99250439442434,198.836576853903,183.37243744017636,176.99440765720692,222.22913993279315,152.1242164104396,256.684130899942,396.1728082188554,90.11313170585754,149.86159979873733,219.78491449923752,302.3503025276635,119.71983137964578,213.61176632094956,245.82761964296174
1667260800,245.23475496854547,219.81248090549153,183.20199698953223,171.69683205605384,221.86174331522463,156.0375870642262,256.5861092974506,397.74169664369936,97.75272814948656,149.40222276796092,226.36110806596454,294.613136012937,119.66703907210325,217.21056463254837,244.64881610482055
1669852800,252.26872730666813,207.29961734040364,185.68374801526863,175.098191597774,222.32161288119073,159.7987789110129,253.15264496256242,408.5869288373177,92.67458118143001,148.97560338757137,225.90647425874627,294.2452201752657,120.43883893701987,212.91728896277843,251.13275397919733
1672531200,247.93940105524095,209.94974657790112,186.1544281346096,175.21205978833393,223.2989871550033,159.58573518580238,260.36397714864387,408.7845731007145,94.34103223067059,151.0474378244783,229.11861615598426,293.7088135069645,121.14841717560482,221.5049787154923,253.85411892464538
