,cost_savings_10,cost_savings_20,cost_savings_30,cost_savings_40,cost_savings_50,cost_savings_60,cost_savings_70,cost_savings_80,cost_savings_90,pct_id,stp_id,regional_team_id,month,numerator,denominator,calc_value,percentile
116,1202.6210369262142,1058.620798957586,906.0081080497155,748.7519058731003,595.7125666692964,287.4933948217839,42.78894987744388,-193.82366551441646,-748.4663595438424,00P,QHM,Y63,2019-02-01,1304.2623199999998,283.957,4.593168402258088,0.7142857142857143
117,1001.3791599999998,951.9844701036881,831.0298146599573,632.4285482086581,445.4620754704779,289.8461589101521,-21.131347051044713,-258.30690374395283,-716.2195258142932,00P,QHM,Y63,2019-12-01,1001.3791599999998,284.465,3.5202192185330357,0.6952380952380952
118,2212.2998399999997,2063.1289485085726,1931.165244515412,1786.4495550492384,1552.8195592629445,1366.7471436639162,1098.2482860262378,735.7995467743535,319.7799914318041,00P,QHM,Y63,2019-09-01,2212.2998399999997,284.23500000000007,7.783347722834975,0.9428571428571428
119,1919.8396881664878,1709.3033673490704,1509.3565296210788,1346.984559507713,1131.2073084579663,812.1702747964928,502.30437078053205,176.50266815132363,-559.9359230022312,00P,QHM,Y63,2018-09-01,1943.86698,284.26300000000003,6.838269419516433,0.819047619047619
120,1651.90362,1509.7055083019336,1389.9638021457865,1223.2946328220019,939.7865163737843,820.860711765756,538.275186417171,91.83077368492968,-699.9464273704953,00P,QHM,Y63,2020-04-01,1651.90362,284.4389999999999,5.80758482486579,0.8095238095238095
121,313.23954,313.23954,54.178835406304586,-49.834766107712426,-163.65383149512212,-350.1370900738944,-466.56116728306455,-899.0944813377275,-1521.3264567900708,00P,QHM,Y63,2022-04-01,313.23954,286.6380000000001,1.0928053503024717,0.3523809523809524
122,1800.8921300000002,1665.6986671034442,1438.7554443325794,1316.5019185917454,1130.8447631387512,971.4641012428309,680.8495127030296,512.5869466415552,-274.8504830649372,00P,QHM,Y63,2020-06-01,1800.8921300000002,283.947,6.342353079976193,0.8666666666666667
123,2063.214773608813,1810.666808223857,1562.677427135202,1444.8516437862522,1223.2900129958662,1098.8665252028748,755.9580324703861,186.17825336292526,-646.2263563769043,00P,QHM,Y63,2018-05-01,2354.7823200000003,284.036,8.290436141897507,0.8571428571428571
124,1382.9024409696076,1261.0469821495947,1130.7552055220972,989.9885519415928,778.3676847301759,673.5752844034934,270.70226679555117,-8.288703287640601,-398.83985665587284,00P,QHM,Y63,2019-06-01,1463.07772,284.15299999999996,5.148908229017467,0.7904761904761904
125,181.6376,75.37852532770872,-56.13962771548634,-188.30101006159086,-316.74513597386954,-620.2637663686623,-895.9054336386955,-1249.6695707228457,-1772.0055216163526,00P,QHM,Y63,2021-02-01,181.6376,284.1329999999999,0.6392696378104621,0.24761904761904763
126,1374.33749,1276.6586647305621,1163.2583958123873,1080.6809735492595,945.1259074392067,749.7147867271779,529.6616859759242,333.4693505187565,-179.5314203960968,00P,QHM,Y63,2020-02-01,1374.33749,284.38699999999994,4.832631203254721,0.8761904761904762
127,1310.0758965873376,1222.7783936817336,1079.4197530782667,934.8015027406357,769.4100062483031,608.6132666742634,357.58345038072866,21.641932847289127,-576.5910770167836,00P,QHM,Y63,2019-08-01,1414.66858,284.237,4.9770739910708315,0.819047619047619
128,787.7778300000001,724.679830898912,579.8798615851051,435.35660552671635,271.2554898871441,120.22213206034928,-162.28433987714595,-453.2162092127554,-1085.8962019868823,00P,QHM,Y63,2019-11-01,787.7778300000001,284.36500000000007,2.770305171170854,0.6666666666666666
129,335.84302,257.9391924459698,121.20994269612191,12.801904113131002,-128.78657431171337,-301.8319249923676,-430.0835260530787,-712.9850973681714,-1068.0868621204033,00P,QHM,Y63,2022-08-01,335.84302,286.98199999999997,1.1702581346565293,0.41904761904761906
130,1473.8947600000001,1391.3650947767171,1157.574122625174,965.5706456782473,718.803435530977,488.26677589980613,180.22831204255863,-244.95424517526112,-655.6223206581094,00P,QHM,Y63,2020-07-01,1473.8947600000001,284.08,5.188308786257393,0.7333333333333333
131,486.80054,378.5421947379645,207.50073257080606,74.51525305068202,-52.125708929982295,-230.59904361885896,-497.029522662228,-997.2190465374804,-1490.4497119016187,00P,QHM,Y63,2021-09-01,486.80054,284.687,1.709950015279939,0.45714285714285713
132,175.29448,175.29448,-7.937689777084557,-162.10174607391426,-303.3721630251565,-426.26727992253234,-588.4843055508719,-965.1887999919322,-1240.2875194575975,00P,QHM,Y63,2022-07-01,175.29448,286.869,0.6110610766586838,0.2857142857142857
133,1922.8371247725497,1815.8720076068657,1638.7891407207658,1425.9355804852617,1263.6380935131958,989.499026292387,767.1554573206568,424.5704028332823,-192.85218161416333,00P,QHM,Y63,2018-12-01,2067.3912,284.203,7.274346857703825,0.8571428571428571
134,463.43105,463.43105,323.30663041391085,113.3596688912508,-24.035620839027104,-236.87125310393958,-422.32694864365,-790.3703164837467,-1479.8873269085607,00P,QHM,Y63,2022-02-01,463.43105,286.00500000000005,1.62035995874198,0.47619047619047616
135,901.3100662758198,719.5465719629062,530.0413452821119,363.6504238770484,186.24680830651937,-111.87853726816115,-320.87855261481604,-631.1193941897081,-1548.9098646510088,00P,QHM,Y63,2019-01-01,1026.6461,284.2359999999999,3.6119495771119787,0.5714285714285714
136,1469.5939661641314,1305.0394598222565,1142.1507766890397,992.7338165294282,832.8793998570574,592.4394800440027,278.51847950326896,-129.24143366894555,-1024.984066907352,00P,QHM,Y63,2018-11-01,1670.0893,284.0429999999999,5.879705889601225,0.7619047619047619
137,936.14958,807.8574934097917,636.0090988712527,428.23234326786144,229.36540146698167,96.40750236375379,-181.35861601491933,-502.5612406273724,-1142.015121762119,00P,QHM,Y63,2021-07-01,936.14958,284.69,3.288312128982402,0.638095238095238
138,350.76158,305.8804985453583,115.66358465469855,-70.91799572339204,-160.1603836226863,-284.05173527856664,-503.65414826729204,-750.2287593027264,-1124.5157215830568,00P,QHM,Y63,2022-06-01,350.76158,286.853,1.222792092116868,0.38095238095238093
139,1489.4535700000001,1400.1593472640802,1190.3734573087813,1072.3025039809575,976.3560243250796,875.3823812121233,537.7702739450771,257.7322925123776,-344.1127415138078,00P,QHM,Y63,2020-03-01,1489.4535700000001,284.3209999999999,5.238633692200016,0.8380952380952381
