month,ratio_quantity.05V,ratio_quantity.05W,ratio_quantity.06H,ratio_quantity.06K,ratio_quantity.06L,ratio_quantity.06N,ratio_quantity.06Q,ratio_quantity.06T,ratio_quantity.07G,ratio_quantity.07H,ratio_quantity.07K,ratio_quantity.09D,ratio_quantity.10Q,ratio_quantity.10R,ratio_quantity.11J
1514764800,371.23109480264816,477.0669312778958,307.68837166731106,265.50241412338966,407.1510174644933,204.5336776167637,378.354940120527,522.2153471997005,310.2681238159713,243.46957458150888,429.6845096702492,417.83710084185236,257.070248546775,343.85376894806257,292.63034499180344
1517443200,331.7468629781062,431.07780930272526,287.6577297809332,236.99454878875946,363.201103949414,191.44848549092814,344.78635758878323,480.72045808980715,283.22395483824494,217.83289722459756,391.96682400336033,362.3957460393471,229.7335000602501,303.5465967470809,265.3590029003075
1519862400,391.184870985471,474.4888535695294,308.2166836142303,268.1583907574027,420.7956075619348,205.26748384423723,369.6475714108364,522.8669943986137,305.415401651417,242.78858781435392,420.46294411109926,421.9026404007789,245.46657712937974,337.8013351762853,297.5414076090125
1522540800,365.998473723905,457.43552124584716,301.8367124520228,255.61023925581867,399.8999211475163,198.3075928923168,378.20465626752133,506.8413922582898,294.54777796686017,227.70591635387075,427.6047250532281,394.4691989707992,252.83252432877134,324.4884179234821,286.90343142825145
1525132800,383.13456695809646,480.6897789385463,320.2962022078443,269.94625102426085,427.92016957853855,213.4205595719428,376.38520285732375,523.8430298674649,294.1081566839983,247.64912179898485,447.7732481298582,417.21788247697236,257.07874285884765,342.5811094235916,302.58663565452827
1527811200,398.19648341414836,477.58085766257597,313.35287785623643,265.1682627244494,424.7288563775131,208.37566297840647,375.6091089225736,526.0168672623496,300.5566673199066,240.0514003514292,415.1681184599567,394.9574286528964,249.91621319405226,330.4143289651227,294.6214699228596
1530403200,396.58606608534404,472.03715403197606,311.9428019706215,265.80499706084674,423.20475933707314,209.42531847171992,385.296248303727,529.8194015521948,311.48202717688554,240.02830775237726,432.17522752139894,433.22922040068266,259.3835629293194,342.07827508567533,297.5605073681153
1533081600,390.79398970867015,513.0163923307105,330.65467732986906,272.89351180293676,441.82234005922834,213.05255115698253,395.3510481552722,545.4780332415128,307.70395576563504,243.02561083350346,442.9034382594821,423.3862209074631,267.07922631393404,341.20859538328466,308.1886405907937
1535760000,371.03227135986805,458.44541080638805,304.8467482947738,253.96194274032035,421.24516355962015,203.5258425483452,366.10312740257024,520.6606802669593,288.87138132781104,233.32211041588914,415.33997703412086,391.53989435582463,254.42695193821075,319.92856397048587,287.8374294707228
1538352000,410.64785221768426,502.8036184096898,327.55457006045077,277.9034451516874,438.73241577761485,217.69091035045443,404.30279439915455,552.3113345229699,322.4389146632926,259.0343286420693,450.1741641904143,432.9760852715606,264.8507251762293,362.01262958982005,310.5279182128359
1541030400,397.16356585844596,509.42571827843545,326.917499510092,271.44539499019515,450.92820869161443,215.07572764050312,375.1544635708626,532.5478922334146,312.4651811889442,237.88814552478624,440.3671934959005,403.2049616450863,264.91862834994555,349.2059125140125,303.97684928237675
1543622400,406.07902690108864,487.2514293239607,319.04950055229057,281.8949804323065,431.56397293665884,220.15525992002458,399.7386462173655,534.2250102957962,311.3950207386136,264.0183796779602,433.5731295957645,423.50987739303713,268.38099508750844,346.6859642664978,306.52324153378424
1546300800,420.1429427571385,514.0487479988061,330.9978342167617,281.8784361614576,440.7082918804334,224.64188073728988,396.2002940515988,550.718623165294,318.5386094228521,253.86777117223602,433.3873068827722,415.1824819034797,274.98636759481514,358.8633817920408,314.719236924812
1548979200,348.1090740865101,431.43767511368816,302.9993108229637,253.92292482460778,397.9213766915487,188.77159566042337,359.10550817299736,489.33631670632616,278.5403275647027,233.05097964165205,404.1502321282365,374.7072100847495,241.68432226681202,322.430781887342,281.5175820141416
1551398400,396.0318366013512,480.11642535230305,319.4588981724428,277.2429938241906,436.48524017684605,203.00454114592418,382.6072338039357,532.956145046027,310.88515156709167,245.05409845252854,428.7532860138549,382.9609751153533,255.10125970972226,321.73963505061573,301.01958408208276
1554076800,383.8736613939182,494.9482836326247,312.6303565046748,267.97104165353676,414.2066316924541,201.09074435283412,377.85982550413115,522.0731773585469,285.6631904900143,232.91481235464138,416.26533085668376,370.7113368029656,258.3217760328378,306.877438952144,290.8592335008642
1556668800,415.51559343010723,516.6027795608053,337.7531858732411,283.88568159847745,436.40100260786136,211.22577612328163,404.6345022568996,558.4864921928414,303.73880491218813,250.88044472680178,445.5362296321754,408.72856648422874,270.1351735613783,351.92205586404214,304.57514715823515
1559347200,398.881233346589,492.4123672480893,309.0608045496946,266.77274409407494,422.43829297358434,194.5341532073793,368.71499221713117,503.02956360246077,270.8498967874316,242.23151582792127,402.0649095656203,362.38666109199994,248.1662558455418,315.14009424756915,295.32264554943384
1561939200,400.1962014389345,495.83517516736646,310.94592188675193,275.22314968594844,420.76227904408114,210.48972131177047,402.24799538186375,544.3513494019465,293.739050074265,238.33816346330778,415.243299228443,391.00400874383945,259.0956780522336,342.1367414473703,297.98024512916373
1564617600,429.66504082447375,524.5095136831467,349.390071154383,291.3138845815161,435.47940212036633,208.57569472699828,385.7037514408909,536.9306393751125,293.672656351099,246.81659468688707,432.8159134730074,409.49622101004456,278.7566326147309,375.68280584507767,309.4309934892218
1567296000,412.20941712690785,495.705298308757,317.82461923342674,269.2277268518289,409.231406193829,201.0608302267292,384.1529420080582,518.1010235424434,287.51224856587146,240.5486072914757,417.3202241592716,375.7155861947974,260.20540006874387,333.3377906920711,304.7591308681693
1569888000,428.5031400320685,525.2553106649663,341.27366250094855,288.251238058144,437.0401969410152,216.00075434190774,395.6785932523607,558.0973689735997,299.7711649365628,256.4109252132481,421.6776366107681,401.8254105611323,278.88957632984796,368.8405807499241,316.37744052637663
1572566400,415.51333638979025,507.78167530549723,321.48157957284997,274.69730084323936,430.60990648249515,202.88758862963186,372.81022286585403,516.0315320606403,297.42459683291025,247.28113692002864,428.0513286068362,365.690339461459,261.0919317708113,343.5765371540995,298.95484251807153
1575158400,439.62006159039043,516.5933902409326,332.8549813796035,279.2692330278088,435.4660876140044,206.19376066231175,405.89633598727045,554.9394146978995,291.23403249666995,249.54664446748117,411.7602338043575,403.32269726141635,275.21342454294836,357.6709344904767,312.5540586988448
1577836800,423.26412043829157,544.8859558695125,336.5824924713919,288.92627766618716,445.9999214948668,206.21102637850834,402.53771686462875,544.9378661074927,305.3473575003725,249.89482711957092,417.49208633404425,397.78950753455945,273.1632413785167,361.1331580068843,312.6995846875311
1580515200,404.152434331245,473.19515332212615,300.09207153921994,260.7348481362424,401.99924966326216,192.17596392385394,365.21403585874333,487.93049598939206,270.7974012549128,230.19409594789843,385.90427163046866,364.07623433103095,257.37829559977723,329.7954515774493,283.2194818392396
