month,ratio_quantity.00L,ratio_quantity.00N,ratio_quantity.00P,ratio_quantity.00Q,ratio_quantity.00R,ratio_quantity.00T,ratio_quantity.00V,ratio_quantity.00X,ratio_quantity.00Y,ratio_quantity.01A,ratio_quantity.01D,ratio_quantity.01E,ratio_quantity.01F,ratio_quantity.01G,ratio_quantity.01H,ratio_quantity.01J
1514764800,588.442987406541,621.3488269991998,615.803215984278,478.83007213387623,626.678325290359,516.230145997834,485.0696848995042,392.526569151389,593.2996625055307,518.778473737713,585.787830619639,452.11751944609193,772.9798981851729,578.437601464939,430.5539089364761,790.4678465575043
1517443200,540.895860920416,540.7686205913217,545.5579186145275,441.2482942716779,582.1963825782007,462.36008075208366,463.6993964375092,364.65142028100183,552.9138511119396,466.419962201893,521.6188650178736,397.9393443955234,694.3880686851734,515.2432988073972,380.86921366692764,717.1341054299634
1519862400,605.4254438662463,623.1315968043111,604.9212995898283,490.7580896385139,624.9444466903188,507.02627818217906,502.49929985495845,410.17109909097735,586.3733562984368,517.5362263121086,567.5558891867737,426.7461170991031,766.091162093816,573.8177776310433,427.62343582078495,805.3620050818365
1522540800,588.0810618804953,583.4874372925216,587.2705303802201,458.85118428521906,588.160362929059,497.94760958487814,487.1248027858406,400.26885530696217,594.5853802109117,507.94546756781847,538.638032777516,425.39504763602906,752.7841291133366,555.4179051130976,424.987094780392,731.8702377441967
1525132800,604.9612825494762,644.1113366234093,612.8030523517364,503.76833306999316,655.7229664844796,519.0687943568083,508.3857021119033,405.97241818458053,620.1137891423388,521.2878137850932,577.606028591552,431.17206015197416,777.184098182089,597.1602023677348,437.2493280108915,827.5596280425974
1527811200,599.5127998804264,592.898304689603,610.8021388073279,486.8025487880708,660.2056946310639,516.0499669782199,489.77229091676503,397.41419409316387,592.8970200941278,519.1630685935781,558.5544137443093,422.4952241272576,786.4915473170306,571.5174385600046,429.56441798737825,768.6746724832144
1530403200,592.2380413110443,625.7401512600412,596.29956283191,501.7323605133904,659.1860247727417,515.0832044245649,495.0962196008906,405.97622728901314,613.2109782543076,516.5343252050925,575.6102372579101,440.8831806679034,765.9803328073327,595.8186241189698,441.781193809077,811.6750744071605
1533081600,631.9448533069481,592.8637423819566,641.0076615407237,507.2118694692504,686.9376606375404,539.3367818043369,517.1297652686085,430.5965614212952,626.1850446403397,542.9653166741596,603.2007673004102,443.1014470118692,791.0241427111475,618.0739542231817,437.2492744485759,825.1435194407725
1535760000,573.1440399075849,606.2957134023077,587.292460385863,474.2084262588563,620.5362547564854,486.65543193775807,479.62827524372165,389.1029026291738,584.9075070578514,499.8706848359613,545.4993402166702,406.07665270278164,738.0778072502209,549.4754465822715,425.9034234345177,745.9839010200936
1538352000,613.4029033477376,625.0027488793028,646.2333182436198,526.0078598443571,723.8472480221149,537.5083322867655,531.985586627822,442.3203988304157,659.7575949652077,549.6216883430197,607.8947879276851,464.13758043105116,818.7042591582677,615.5712739959184,463.5634473691502,844.7425663734002
