month,ratio_quantity.11M,ratio_quantity.11N,ratio_quantity.11X,ratio_quantity.12F,ratio_quantity.13T,ratio_quantity.14L,ratio_quantity.14Y,ratio_quantity.15A,ratio_quantity.15C,ratio_quantity.15E,ratio_quantity.15F,ratio_quantity.15M,ratio_quantity.15N,ratio_quantity.16C,ratio_quantity.18C
1514764800,346.72235000819757,484.1624203827819,362.92589873882184,535.956855324205,604.6205703301035,468.96016497916645,160.16861956630257,266.4807870890483,312.0945279259811,305.878956339197,312.07108270796846,424.80477629544094,451.5006200958268,673.1677468473134,332.0327665976162
1517443200,321.3732581122368,441.69106856619374,338.2974906023878,476.340301602368,529.9588426489485,429.69855186030975,148.27896143716728,236.6867118219201,283.2416086430146,285.7577356116944,278.38845422102844,388.22782170262724,415.37020550586936,596.2469736149933,299.6635279442253
1519862400,345.1118182895397,481.5613506994245,368.60837449864283,529.7562317291151,603.6148962404393,478.4884927239654,161.896189538388,264.6486654034989,298.50329414080284,308.24093867968315,312.2961074911533,429.5605198649462,457.4938814547862,670.8970098930873,322.93236019272655
1522540800,341.9121806702615,479.08942278222054,352.9900942197718,521.1154569399416,574.7483160149401,463.630997999612,155.0405119914541,253.08331125470397,307.7808949658625,296.5876319683949,301.37492299741837,417.6191287920238,443.4467394273341,643.7281297834601,322.04779851573755
1525132800,348.0509863676448,491.85545621653387,381.9341387744564,533.557403227677,604.4746950944997,487.7439321084177,168.15344559229024,275.4043365913941,314.2532450947624,317.3220449266649,310.21033820817865,434.6726770412584,462.1109077863062,670.8611282924422,334.6840487343293
1527811200,329.4811566754501,484.0436860603377,381.2602256566142,532.5419285497944,578.0588723146095,471.89655587174633,161.29136334522107,261.6060173346787,307.10623009106075,306.5674692733987,303.52793844664507,434.6033029176664,456.1910340639649,663.6389080783122,321.66083701019454
1530403200,349.07438837731735,491.91499450283175,375.2849398471039,536.135822644811,587.9869778041912,487.0480904408421,166.7462341682472,270.1356354785809,312.4457533008011,309.85811360054396,312.0466505619583,436.02247663911936,456.9563788505737,666.0302262157726,325.85655205892255
1533081600,348.37662359901685,508.692042062886,384.72573688520373,563.0287401882629,616.8823860677314,494.76712257164957,170.61031325781718,269.1216108891414,320.8945141032427,322.47200403410824,314.2876335877089,446.8663022892911,468.6020889219647,682.8477333478719,339.9569628409133
1535760000,330.6144942403452,470.4514387477233,362.85072689601753,511.8731801845893,548.5712133434788,460.137168296938,159.45828169075332,256.9677539806454,299.90072187377257,305.449680942592,296.52189779038247,421.32440741355197,437.0985148562796,649.4554456383993,325.3959374112699
1538352000,360.5832698849332,513.9190324377463,387.1625919557939,581.1738653329747,605.2792414177947,506.8960459841485,166.7245076839567,281.4929457320929,326.9454137614538,327.2243578655027,323.6671857889675,452.27706046082864,477.69128542854463,704.7811602846542,353.61618411719365
1541030400,351.0545191730757,494.14726915146207,379.2441736401836,558.988401711304,583.0138660217884,494.29321883016144,169.907998465291,271.6303533521626,314.9782233072062,318.8975483729113,307.49006390432623,453.4876477862368,464.63611478407876,680.7846817571923,342.8605731130445
1543622400,351.5082662124751,504.19149469174107,393.69384526891,553.2698173420679,567.6899349383714,477.4746753835729,169.93568639808686,280.8201416663082,319.7330985788112,324.0331950371503,313.44888640876917,455.85104839042685,465.29425531604704,697.4153827170314,349.99126172466634
1546300800,356.24082235762205,506.80973412020734,392.69652970431395,583.3837138413527,599.1537852535398,501.96522515989955,177.79571254494556,283.9587380970423,319.272043374854,333.9699367325483,319.70693406297823,467.65302448600187,470.0283883779825,703.4626674156705,352.5814678892689
1548979200,317.089455555964,455.94461180212073,342.1669286922626,464.7615835992696,481.70027142019234,414.9841517025999,152.5924014677599,249.3009076438875,269.2668011907785,283.7582206757448,286.1713708634444,416.0679711368313,419.65665509203046,627.5210132052833,305.7167092137403
1551398400,331.89895351304597,495.6625867678165,377.59816794524517,525.6153825112029,520.4480176051076,452.30682373176035,165.48509783727306,268.08941452664635,296.14105367081453,308.25848087877426,303.0190516719724,435.05856926218223,447.67221640772794,683.5489713941603,332.18271766505416
