name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
71E,3,7.0,7.0,7.0,7.0,17.0,-0.20918395831357003,-0.0219454576086962,0.515562463711974,9.67715188396716,3.9968015432835604,5.680350340683599,0.58698575870186
72Q,4,7.0,7.0,7.0,7.0,7.0,-0.333876591621852,-0.0344458135605049,0.517836945733492,10.026682686487,3.5791591103364198,6.44752357615061,0.643036563313203
78H,1,21.0,21.0,21.0,21.0,21.0,-0.157325906232345,-0.0126140204789765,0.51219512195122,12.6296305528401,6.17926839731401,6.45036215552613,0.510732450053781
84H,1,34.0,34.0,34.0,34.0,34.0,-0.6105881929968979,-0.0274864987448487,0.535714285714286,22.824701335047397,5.728231931134269,17.0964694039131,0.7490336523116501
91Q,5,4.0,4.0,4.0,4.0,31.0,-0.4637989948001289,-0.0393788616950061,0.503396046107079,11.8711494814019,4.50042818334114,7.370721298060781,0.62089364720815
92A,3,7.0,7.0,7.0,7.0,15.0,-0.6244981323368399,-0.0355342239751804,0.517879416254062,17.8298043942616,9.38867545737934,8.44112893688229,0.473428016944426
92G,0,,,,,,,,,,,,
93C,1,7.0,7.0,7.0,7.0,7.0,-0.0887553746187494,-0.0066919298457503796,0.509090909090909,13.351801560781698,8.47025595675045,4.88154560403122,0.36560950833555
97R,1,9.0,9.0,9.0,9.0,9.0,-0.229151803797556,-0.0104062916601448,0.5094339622641509,22.249657405729497,10.104611804459,12.1450456012705,0.5458531508958441
99A,2,12.0,12.0,12.0,12.0,12.0,-0.663723451890212,-0.14613528123447,0.6858691016818871,5.205566094429679,2.30243144266027,2.9031346517693994,0.557698163678291
99C,5,6.0,6.0,6.0,6.0,26.0,-1.4498198140938499,-0.0679065687837787,0.5138244682440589,21.7728530123904,2.0214800710838,19.7513729413066,0.9071559400169821
99E,0,,,,,,,,,,,,
99F,0,,,,,,,,,,,,
99G,2,20.0,20.0,29.0,29.0,20.0,1.7869131337903201,0.0773396347625028,0.8455585722700221,21.317839549327896,23.4311326935191,-2.11329314419117,-0.0991326132885637
A3A8R,4,2.0,2.0,2.0,2.0,8.0,-0.7525593516699091,-0.0344808159424362,0.509384536387518,22.443815477374603,9.147310222106029,13.2965052552686,0.59243515295662
B2M3M,2,20.0,20.0,22.0,22.0,22.0,-0.16052902396465898,-0.0201174463452661,0.5321587699162561,6.8806058362775895,2.65741820402473,4.22318763225286,0.61378136355179
D2P2L,17,2.0,2.0,3.0,3.0,14.0,-5.91307870195101,-0.7939610123658721,0.691866594356674,10.5462790010847,1.99971995316706,8.54655904791761,0.810386207973315
D4U1Y,2,6.0,6.0,6.0,6.0,6.0,-0.5206576633046971,-0.0346605709862153,0.541225670560691,15.542270074472599,6.8842938833436,8.65797619112896,0.557059950035824
D9Y0V,2,14.0,14.0,14.0,14.0,14.0,-2.22742366972502,-0.10249535702906098,0.513552489989316,23.959370699222898,6.610229467164121,17.349141232058802,0.724106715900576
M1J4Y,1,2.0,2.0,2.0,2.0,2.0,-0.0866220660501508,-0.00684697420551738,0.516666666666667,12.737767440652199,7.54044347764315,5.19732396300905,0.40802471761432396
M2L0M,3,25.0,25.0,28.0,28.0,28.0,-4.19900229066203,-0.30557539993874705,1.99750801102314,10.140268829768699,8.03814845403554,2.1021203757331897,0.20730420573880803
W2U3Z,2,9.0,9.0,9.0,9.0,9.0,-0.6454802742001561,-0.0664769513229131,0.5531289386737359,10.355315959424699,4.52050757145772,5.83480838796696,0.563460198687277
X2C4Y,1,54.0,54.0,54.0,54.0,54.0,-0.8507594763603871,-0.132946524720574,0.625,7.25002021783901,0.44394440695590703,6.8060758108831,0.9387664594557179
