month,ratio_quantity.03F,ratio_quantity.03H,ratio_quantity.03K,ratio_quantity.03N,ratio_quantity.03Q,ratio_quantity.03W,ratio_quantity.04C,ratio_quantity.04V,ratio_quantity.04Y,ratio_quantity.05D,ratio_quantity.05G,ratio_quantity.05Q,ratio_quantity.05V,ratio_quantity.05W
1514764800,0.47794306469555414,0.0,0.5853479493891799,0.2623505352941374,0.16402560167872504,0.3074925449123573,0.0,0.0,0.5169671976942816,0.3222050615382442,0.0,0.582219838864034,0.4847160580115325,0.08981351099432137
1517443200,0.38118607633506013,0.0,0.7085977254208891,0.2288577257010886,0.018251595382429348,0.1070560832531193,0.1071475515163702,0.0,0.27521573995382115,0.13981634799302659,0.041226348951769964,0.8997576685671206,0.26659422479136874,0.06009282090963804
1519862400,0.39242074176145775,0.0,0.5150850578140772,0.21045275626590507,0.0959409570326722,0.07878796128251665,0.0,0.0,0.27056341204862755,0.3296023957840971,0.0405067329110559,0.7522689966454335,0.813671953126573,0.2572665224077253
1522540800,0.44599776699158944,0.04277378290851388,0.4740176449868891,0.2553389762769894,0.0761075291705645,0.13812154295351908,0.0,0.05753359961687776,0.5138782667467707,0.24334174164864056,0.0,0.7056705608686848,0.33243923215195986,0.07914161924247372
1525132800,0.48288305211648014,0.0,0.07929368964592272,0.11619197830858957,0.015200463512393918,0.015240141344454991,0.19885770385204848,0.0,0.30962486393153416,0.3837597185576077,0.02121572295896843,0.6484359738724609,0.6278526530229317,0.03900410659976976
1527811200,0.5253268287142965,0.0,0.1449911790978115,0.13262367457329047,0.16158628000514658,0.1371467066766692,0.09280320682244388,0.023756461073383552,0.35403860291359723,0.4784303347250922,0.011251622252488984,0.5747040192018071,0.5330856668518755,0.5405075535342571
1530403200,0.41873866141206334,0.0,0.18928935085792042,0.1776467587885254,0.051890642489366465,0.1681100269118502,0.0928990651096576,0.0,0.6682230252504048,0.42754201828163824,0.008965422285048145,0.40320805141765553,0.6602084336382604,0.08877724519646762
1533081600,0.4953092845457881,0.0,0.01609133803876129,0.129928625996217,0.025876084699614114,0.4015145901295903,0.272675509654683,0.0,0.3975717206209422,0.19041851563650122,0.015374197524051282,0.42110809577785396,0.442606440299057,0.11826713947179801
1535760000,0.5189976256219406,0.0,0.013734420209214334,0.20587060945668337,0.03356179982764987,0.15921499349863247,0.1855509374824276,0.0,0.196574515363954,0.2033344067654225,0.008978508473328794,0.658073363028116,0.5580008198318672,0.25729133761358736
1538352000,0.6581800227801051,0.0,0.04817503463856259,0.22198337366248921,0.0257411375281763,0.14384742694286276,0.11504307026689925,0.0,0.4434036250476883,0.15174680586070333,0.17081175291970305,1.0018882095002657,0.7432962367363969,0.24090187316586537
1541030400,0.6572736916666387,0.0,0.0,0.15226924351984664,0.0,0.022647032470790623,0.09193614128788521,0.0,0.3591719640426582,0.4791116047416475,0.03920638333889983,1.037750761306816,0.3514527792913697,0.2263983808042778
1543622400,0.07675446464163276,0.0,0.0,0.008914445294015336,0.08135817147798324,0.24252649580812585,0.0,0.0,0.0,0.06182035953235654,0.0,0.07164237676064612,0.0,0.0
