month,ratio_quantity.02Y,ratio_quantity.03F,ratio_quantity.03H,ratio_quantity.03K,ratio_quantity.03L,ratio_quantity.03N,ratio_quantity.03Q,ratio_quantity.03R,ratio_quantity.03W,ratio_quantity.04C,ratio_quantity.04V,ratio_quantity.04Y,ratio_quantity.05D,ratio_quantity.05G,ratio_quantity.05Q
1493596800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1496275200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1498867200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1501545600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1504224000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1506816000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509494400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1512086400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514764800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517443200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1519862400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1522540800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1525132800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1527811200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1530403200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1533081600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1535760000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1538352000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1541030400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1543622400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1546300800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1548979200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1551398400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1554076800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1556668800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1559347200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1561939200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1564617600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1567296000,0.005992010652463382,0.005813953488372093,0.0,0.004694835680751174,0.003395585738539898,0.0017543859649122807,0.003976143141153081,0.005076142131979695,0.0023148148148148147,0.0,0.001851851851851852,0.0,0.007142857142857143,0.0,0.0021645021645021645
1569888000,0.006567164179104477,0.012232415902140673,0.009174311926605505,0.00904977375565611,0.00473186119873817,0.0030165912518853697,0.001890359168241966,0.0072992700729927005,0.00597609561752988,0.005128205128205128,0.02021772939346812,0.0079155672823219,0.00625,0.0,0.002036659877800407
1572566400,0.01561524047470331,0.031914893617021274,0.0,0.03125,0.00684931506849315,0.013179571663920923,0.0037313432835820895,0.0340632603406326,0.036734693877551024,0.016551724137931035,0.0628099173553719,0.007712082262210797,0.006134969325153374,0.0,0.0022172949002217295
1575158400,0.035076923076923075,0.043512658227848104,0.01529051987767584,0.075,0.02181208053691275,0.027820710973724884,0.024074074074074074,0.028037383177570093,0.060362173038229376,0.03748326639892905,0.08399366085578447,0.019704433497536946,0.007042253521126761,0.022988505747126436,0.0041928721174004195
1577836800,0.05889423076923077,0.060650887573964495,0.03625377643504532,0.06912442396313365,0.04433497536945813,0.03481012658227848,0.1003584229390681,0.05203619909502263,0.11607142857142858,0.05548387096774193,0.10876132930513595,0.0345679012345679,0.006535947712418301,0.024752475247524754,0.014373716632443531
1580515200,0.08382838283828382,0.06375838926174497,0.08,0.1021377672209026,0.03486238532110092,0.04530201342281879,0.31941544885177453,0.07547169811320754,0.11573236889692586,0.08149171270718232,0.13533834586466165,0.04358974358974359,0.022222222222222223,0.046242774566473986,0.023255813953488372
1583020800,0.09960828203693341,0.08584005869405723,0.07964601769911504,0.12974051896207583,0.055873925501432664,0.0655307994757536,0.321656050955414,0.08534322820037106,0.15102639296187684,0.08942202835332606,0.15394402035623408,0.061224489795918366,0.040697674418604654,0.05555555555555555,0.030360531309297913
1585699200,0.10463733650416171,0.06395786305492852,0.07692307692307693,0.125,0.07352941176470588,0.07605633802816901,0.335676625659051,0.09671179883945841,0.14918032786885246,0.09371428571428571,0.164021164021164,0.061696658097686374,0.04430379746835443,0.04265402843601896,0.037199124726477024
1588291200,0.12239583333333333,0.07624398073836276,0.057971014492753624,0.11581291759465479,0.06991869918699187,0.07216494845360824,0.3500897666068223,0.09453781512605042,0.15771230502599654,0.09433962264150944,0.17307692307692307,0.04935064935064935,0.05263157894736842,0.05434782608695652,0.03728070175438596
1590969600,0.18800247371675943,0.08706070287539937,0.08463949843260188,0.12368972746331237,0.0734632683658171,0.07563025210084033,0.3432574430823117,0.1029126213592233,0.1821247892074199,0.09654350417163289,0.17971014492753623,0.06053268765133172,0.049079754601226995,0.08108108108108109,0.041758241758241756
1593561600,0.21074626865671642,0.0882800608828006,0.0926517571884984,0.11868131868131868,0.07728706624605679,0.07845934379457917,0.33495934959349594,0.10288808664259928,0.16830065359477125,0.10526315789473684,0.17835178351783518,0.05569620253164557,0.09615384615384616,0.0990990990990991,0.047619047619047616
1596240000,0.22065727699530516,0.10165289256198347,0.09539473684210527,0.1297539149888143,0.08278145695364239,0.09496402877697842,0.31438721136767317,0.10323886639676114,0.15398230088495576,0.11272727272727273,0.187683284457478,0.05630026809651475,0.09615384615384616,0.12834224598930483,0.06235565819861432
1598918400,0.22724458204334366,0.10023492560689115,0.09375,0.13043478260869565,0.08179012345679013,0.10947930574098798,0.3484848484848485,0.10545454545454545,0.168,0.125,0.2025974025974026,0.05513784461152882,0.09937888198757763,0.11818181818181818,0.06342494714587738
1601510400,0.21503957783641162,0.11746031746031746,0.07848837209302326,0.14367816091954022,0.10071942446043165,0.1111111111111111,0.3187702265372168,0.13676731793960922,0.19405320813771518,0.128680479825518,0.18711276332094176,0.061124694376528114,0.11560693641618497,0.1461187214611872,0.041666666666666664
1604188800,0.25429326287978865,0.13180272108843538,0.11650485436893204,0.13247863247863248,0.10305958132045089,0.10191082802547771,0.30990415335463256,0.19133574007220217,0.18571428571428572,0.1258426966292135,0.22832722832722832,0.05412371134020619,0.09937888198757763,0.15,0.060948081264108354
1606780800,0.27995255041518385,0.11954022988505747,0.10160427807486631,0.13988657844990549,0.10329341317365269,0.13004484304932734,0.30700447093889716,0.21405228758169934,0.19667590027700832,0.13353413654618473,0.2021978021978022,0.07728337236533958,0.08196721311475409,0.14163090128755365,0.06464646464646465
1609459200,0.2853582554517134,0.12388663967611337,0.13687150837988826,0.142570281124498,0.10240963855421686,0.1476846057571965,0.3323170731707317,0.22375215146299485,0.19753086419753085,0.1463157894736842,0.2562189054726368,0.07788944723618091,0.08982035928143713,0.13592233009708737,0.05530973451327434
1612137600,0.2887700534759358,0.12804878048780488,0.11728395061728394,0.1366742596810934,0.11400651465798045,0.13367609254498714,0.31802721088435376,0.24225865209471767,0.17834394904458598,0.1535796766743649,0.276,0.06521739130434782,0.087248322147651,0.12371134020618557,0.07363420427553444
1614556800,0.27476635514018694,0.13313388182498131,0.12429378531073447,0.15655577299412915,0.1346153846153846,0.14491017964071856,0.3458646616541353,0.2297734627831715,0.21388101983002833,0.16090819348469892,0.2581005586592179,0.0855106888361045,0.08241758241758242,0.12796208530805686,0.14049586776859505
1617235200,0.28128950695322374,0.1415929203539823,0.14201183431952663,0.16736401673640167,0.10670731707317073,0.15838150289017341,0.33436532507739936,0.25517241379310346,0.20236336779911374,0.16984924623115577,0.281214848143982,0.08353808353808354,0.10404624277456648,0.13875598086124402,0.1656441717791411
1619827200,0.2818057455540356,0.14737718567860117,0.13202247191011235,0.13404255319148936,0.11612903225806452,0.16929133858267717,0.34036144578313254,0.2607204116638079,0.22953216374269006,0.17801047120418848,0.2988505747126437,0.09631728045325778,0.13690476190476192,0.12857142857142856,0.19870410367170627
1622505600,0.30392156862745096,0.13971742543171115,0.128686327077748,0.14575645756457564,0.11160058737151249,0.18203033838973162,0.3281907433380084,0.28081123244929795,0.25340599455040874,0.19960474308300397,0.30386740331491713,0.082010582010582,0.1797752808988764,0.15416666666666667,0.20833333333333334
1625097600,0.2869198312236287,0.1542513167795335,0.1443850267379679,0.13333333333333333,0.1340782122905028,0.16874292185730463,0.3437945791726106,0.2836767036450079,0.30749682337992373,0.2043519394512772,0.32193158953722334,0.08888888888888889,0.18134715025906736,0.13877551020408163,0.18590998043052837
1627776000,0.2925531914893617,0.1461038961038961,0.1411764705882353,0.14056224899598393,0.13303437967115098,0.1934260429835651,0.36053412462908013,0.2996894409937888,0.2759103641456583,0.21658031088082902,0.3297560975609756,0.06702412868632708,0.15789473684210525,0.13513513513513514,0.21063829787234042
1630454400,0.3007380073800738,0.1556567957479119,0.14933333333333335,0.16633663366336635,0.14502762430939226,0.18493150684931506,0.3620218579234973,0.2826086956521739,0.26433915211970077,0.22681359044995408,0.3586142322097378,0.089058524173028,0.16062176165803108,0.1652892561983471,0.19517102615694165
1633046400,0.2942760942760943,0.16590909090909092,0.166189111747851,0.1523046092184369,0.1409090909090909,0.18488372093023256,0.40257879656160456,0.3435114503816794,0.31266149870801035,0.22427184466019418,0.396484375,0.07672634271099744,0.18232044198895028,0.15450643776824036,0.19239373601789708
1635724800,0.3000648088139987,0.18994826311899482,0.17424242424242425,0.15019762845849802,0.13314037626628075,0.1762820512820513,0.4232309746328438,0.34014598540145985,0.3213399503722084,0.23529411764705882,0.381078691423519,0.07653061224489796,0.19672131147540983,0.12698412698412698,0.2138364779874214
1638316800,0.3065868263473054,0.22214234363767074,0.16539440203562342,0.16792452830188678,0.14863102998696218,0.20173745173745175,0.438685208596713,0.35340314136125656,0.3447880870561283,0.24957118353344768,0.40993788819875776,0.09473684210526316,0.19117647058823528,0.14007782101167315,0.20643939393939395
1640995200,0.30418006430868166,0.24818049490538574,0.1793478260869565,0.15821501014198783,0.15782312925170067,0.20132013201320131,0.48501362397820164,0.37209302325581395,0.3604060913705584,0.23902894491129786,0.40693430656934304,0.06994818652849741,0.17341040462427745,0.14035087719298245,0.18105263157894738
1643673600,0.34517045454545453,0.24557165861513688,0.2618384401114206,0.1518987341772152,0.1819571865443425,0.19748858447488585,0.4275766016713092,0.36946564885496186,0.3626237623762376,0.22998137802607077,0.3838771593090211,0.08423913043478261,0.18421052631578946,0.13135593220338984,0.1945080091533181
1646092800,0.3337555414819506,0.24115523465703972,0.3049645390070922,0.16205533596837945,0.1775,0.23384615384615384,0.4385297845373891,0.3712418300653595,0.34419109663409336,0.24698310539018503,0.3772691397000789,0.10478359908883828,0.171875,0.14728682170542637,0.1727447216890595
1648771200,0.34344100197758737,0.245311327831958,0.3333333333333333,0.14065510597302505,0.16828929068150209,0.21875,0.4304812834224599,0.35714285714285715,0.37627811860940696,0.25346020761245674,0.39152542372881355,0.11363636363636363,0.18333333333333332,0.13877551020408163,0.17713004484304934
1651363200,0.33754152823920264,0.23036253776435045,0.31887755102040816,0.17049808429118773,0.1596130592503023,0.2278719397363465,0.4381443298969072,0.3816489361702128,0.40378197997775306,0.2776255707762557,0.42443729903536975,0.11290322580645161,0.18994413407821228,0.15966386554621848,0.19838056680161945
