month,ratio_quantity.26A,ratio_quantity.27D,ratio_quantity.36J,ratio_quantity.36L,ratio_quantity.42D,ratio_quantity.52R,ratio_quantity.70F,ratio_quantity.71E,ratio_quantity.72Q,ratio_quantity.78H,ratio_quantity.84H,ratio_quantity.91Q,ratio_quantity.92A,ratio_quantity.92G,ratio_quantity.93C
1501545600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1504224000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1506816000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509494400,0.007614022364287188,0.0,0.0142835604154929,0.003017934984023053,0.018739312735705425,0.0,0.0022576242793945506,0.017786518581194826,0.0005129767734376521,0.0,0.0072595940072051396,0.005360668453913527,0.023963045297528858,0.0032276979520256487,0.006836136563635727
1512086400,0.0019020917302757835,0.0,0.007927950783281535,0.011454346291414239,0.03278082041027538,0.001852843466225441,0.009025698419825852,0.02285366039460654,0.007169758368900456,0.003892226833790239,0.010870825602968464,0.014456554039402136,0.03224154258278708,0.01610656965500801,0.010546874030618195
1514764800,0.005703920875209616,0.0013101609532731099,0.026936837868757398,0.02530821793991106,0.04214262468949079,0.0027781636338380317,0.06541933795629985,0.08375655775776078,0.010747262262882128,0.005183401711040903,0.007249331702233704,0.014448539386450809,0.04327386093070105,0.037546920240686496,0.010541177871215326
1517443200,0.010452955050392747,0.007852539773113948,0.018998494369321238,0.026470846573770024,0.05384008558232735,0.008329531056656547,0.1848135130231546,0.3499566991982695,0.008175754187774593,0.002586351821438269,0.012687940112922671,0.01656795372944639,0.06807477185752134,0.03749274247627782,0.018572240443653673
1519862400,0.008551865161791785,0.17792244151453857,0.03165117868989442,0.037873573203304735,0.032774834545612044,0.009251977610214178,0.2217150162966164,0.6553320835123775,0.01276848288972218,0.005166890565257828,0.003626624501112468,0.04647125592575284,0.06162415519721566,0.014984047341027285,0.038360829385880264
1522540800,0.01994944241308455,0.3700386383101133,0.026884738798948028,0.035436244190558096,0.018731985098705856,0.08044613391599759,0.2575904828752946,0.8039189456048822,0.01122836816594303,0.007739189319918739,0.009065361254645998,0.027754722973171317,0.13147055795001547,0.026730220438781906,0.04203140240246556
1525132800,0.03608205819656177,0.5382925933813527,0.014221132286552652,0.04503879641923551,0.032756660130933035,0.1987046306496809,0.32137684131512806,1.0439625653912377,0.028041480998072785,0.014169250408010007,0.005438191330072836,0.03999080744639497,0.17643653338969495,0.02777166563769085,0.051279136434629585
1527811200,0.027517756069325768,0.7022536075342153,0.028415145272430213,0.04081635103022269,0.046761092900263285,0.5376612290824838,0.4031456591094635,1.1722521911166504,0.018837578831448976,0.07720566946966136,0.0018124051885535734,0.046348658046526596,0.2452747858438786,0.02240210281071716,0.05804102883280724
1530403200,0.02654561864564253,0.9099845380850689,0.02209066006892287,0.055761847743773685,0.032709898248852246,0.8020261323768146,0.4868276114263151,1.5390520102671479,0.025927795664567554,0.5321295722655093,0.0018125464465026922,0.04896510650709011,0.30570932826571917,0.03622613203998939,0.08693588016413
1533081600,0.030333996257543218,1.0590474304747741,0.03309682238984276,0.07126175220073058,0.03734365262934324,0.8622896609343964,0.5288574661900974,1.4896463841987901,0.032465621950007,0.8184670804329923,0.003627644099092727,0.03456731559267787,0.38071473457761296,0.04685461757580597,0.07637113910017553
