,cost_savings_10,cost_savings_20,cost_savings_30,cost_savings_40,cost_savings_50,cost_savings_60,cost_savings_70,cost_savings_80,cost_savings_90,pct_id,stp_id,regional_team_id,month,numerator,denominator,calc_value,denom_items,denom_cost,denom_quantity,num_items,num_cost,num_quantity,percentile
3995,104.67031003760349,46.32476018702437,0.04485971759277163,-31.319807066422072,-57.110250996811374,-92.26680034096353,-112.83205155985343,-167.6037441933222,-230.7059522188356,02Y,QOQ,Y63,2023-04-01,1050.0,968602.0,0.0010840365805563068,28812,47965.999809999994,968602.0,28,323.50556,1050.0,0.3047619047619048
3996,99.07635065581417,69.81613803841174,44.95511225327209,-5.0687520673527615,-37.977975463647454,-85.95638331121881,-111.53494466249686,-178.643305661848,-254.27519973070594,02Y,QOQ,Y63,2023-05-01,1106.0,1015493.0,0.0010891261682749167,30076,51106.98327,1015493.0,28,352.93009,1106.0,0.38095238095238093
3997,45.63848144192889,8.972569660087174,-40.05780962729477,-70.59657407736813,-93.3275206725666,-138.27642899387138,-218.64824837786728,-269.5988528655944,-390.0371738085232,02Y,QOQ,Y63,2020-06-01,1006.0,967454.0,0.0010398427212043157,28591,53375.51791,967454.0,28,334.64958,1006.0,0.20952380952380953
3998,82.10730071292346,51.54265715946531,16.14770890230284,-27.41909118089825,-54.97383919756976,-84.27228747063054,-116.25692090231314,-169.68284285482514,-265.3902990394272,02Y,QOQ,Y63,2022-12-01,1062.0,1016526.0,0.001044734714114543,29936,45653.45383,1016526.0,28,294.75973,1062.0,0.3333333333333333
3999,43.90008836713969,-35.963714749144856,-97.09083427158475,-139.09847889179946,-194.14580620262132,-241.08906549119274,-284.81008382642176,-376.5317361692287,-472.2037097924622,03N,QF7,Y63,2021-11-01,1134.0,1289757.0,0.0008792353908526955,42546,69890.56508,1289757.0,28,367.98462000000006,1134.0,0.14285714285714285
4000,151.3928267277297,106.99219105818338,85.24113740183384,64.64413170545595,36.43500272197707,0.0,-37.6522894892114,-97.73520265633124,-154.86949810545048,03Q,QOQ,Y63,2020-09-01,1208.0,770853.0,0.0015670951530317714,21672,39230.49662,770853.0,28,393.92516000000006,1208.0,0.6
4001,106.52512075444247,70.77769040151179,41.49893898749724,2.833301398648473,-24.832472318099462,-53.30980885255849,-79.55934142445767,-130.40507463143877,-202.9988258298763,03Q,QOQ,Y63,2021-09-01,1038.0,778748.0,0.0013329087201508062,22261,42627.6453,778748.0,28,322.47799999999995,1038.0,0.42857142857142855
4002,155.0594029554959,103.18693040886501,83.35749388943077,46.546671528842126,24.06263508680422,0.0,-39.64102770138925,-100.44646835009553,-156.39299280181876,03Q,QOQ,Y63,2022-02-01,1074.0,720615.0,0.001490393622114444,20850,31040.741049999997,720615.0,28,337.99147999999997,1074.0,0.6
4003,134.35679671048638,107.202483725403,55.82066121812022,21.76551403580015,5.2954361902448,-28.566456701890274,-65.97364006701173,-123.04590831303722,-221.41795076956987,03Q,QOQ,Y63,2022-08-01,1072.0,822612.0,0.0013031660126523804,23818,31606.592070000006,822612.0,28,358.9501,1072.0,0.5428571428571428
4004,118.3325705285024,81.19233765452373,53.511461499689176,32.20562237867125,3.0696319326307275,-19.467531367870833,-62.957732212616975,-147.42891322712967,-255.8320401571218,03Q,QOQ,Y63,2019-11-01,1106.0,724169.0,0.0015272678062717405,20372,29782.238350000003,724169.0,28,350.9472399999999,1106.0,0.5047619047619047
4005,170.77987180091804,142.08937145935488,120.27455616948282,79.91189758973997,40.24438064269998,14.408680182674289,-2.9245890149504703,-38.805268750409596,-108.51434959472317,03Q,QOQ,Y63,2023-02-01,1154.0,734817.0,0.0015704590394615258,21442,29945.43496000001,734817.0,28,356.66328,1154.0,0.6761904761904762
4006,92.37540858081775,67.36033126886468,44.567244923287944,12.828182697310694,-12.009627462684875,-29.952863353551948,-59.65646564519557,-93.35992148338846,-196.77642402374477,03W,QK1,Y60,2021-02-01,1028.0,756760.0,0.0013584227496167875,21306,35964.82545,756760.0,28,294.57396,1028.0,0.45714285714285713
4007,111.07438268066471,100.69751180162712,56.63909355275973,17.577015021299303,-10.084792927635135,-33.73552323871263,-67.21074019320076,-109.47062413284584,-211.61767610732932,03W,QK1,Y60,2021-10-01,1080.0,798159.0,0.0013531138532548027,22444,35784.33243000001,798159.0,28,328.62731999999994,1080.0,0.47619047619047616
4008,174.62466920662337,144.7651296867043,107.26564203634189,89.35555718937394,49.68448425057795,30.4652921322122,-4.672462954611547,-47.09493104388093,-93.2158162405467,05G,QNC,Y60,2022-04-01,978.0,611919.0,0.0015982507488736255,16965,24946.714370000005,611919.0,28,346.64581000000004,978.0,0.6857142857142857
4009,144.37930143542326,115.03921582141265,97.91400603980946,70.49906988958901,44.765548563435004,19.44225866501438,-9.394125262391753,-30.896371388818807,-84.72876803332474,05G,QNC,Y60,2021-08-01,1052.0,596792.0,0.0017627582139170767,16530,28096.167659999996,596792.0,28,304.90767,1052.0,0.6857142857142857
4010,256.3865514218305,230.96424605409265,201.53247130576347,175.31167081542662,149.71917938767365,133.5375322282598,110.26486700065652,77.04592163015695,-0.14607182648978778,05Q,QNC,Y60,2020-02-01,1268.0,512679.0,0.0024732825023065113,13682,21680.86219,512679.0,28,429.6173099999999,1268.0,0.8952380952380953
4011,212.57183070915198,189.28348784424816,159.3868546438789,136.74998313698234,115.71218107499226,91.32942151966927,39.28579772538069,0.0,-59.59031437472004,05Q,QNC,Y60,2018-09-01,1328.0,511339.0,0.0025971029004241805,13583,31674.989579999998,511339.0,28,435.97159,1328.0,0.8
4012,252.9667798027367,230.25796355496277,214.18097137968653,196.58568150349674,172.1591974418916,145.43320977961412,119.5135743570172,64.00047446320241,5.599382186035655,05Q,QNC,Y60,2019-09-01,1444.0,524571.0,0.002752725560505632,13902,25013.9273,524571.0,28,452.46748999999994,1444.0,0.9142857142857143
4013,211.50746999146577,189.4522758332423,172.68261406309102,141.65470374013603,111.1611683320225,91.30053909669368,77.97596779262312,50.393480604398064,-3.1938494982459815,05Q,QNC,Y60,2023-02-01,1056.0,503112.0,0.00209893622096074,12985,21326.59333,503112.0,28,362.71825,1056.0,0.8857142857142857
