month,ratio_quantity.11M,ratio_quantity.11N,ratio_quantity.11X,ratio_quantity.12F,ratio_quantity.13T,ratio_quantity.14L,ratio_quantity.14Y,ratio_quantity.15A,ratio_quantity.15C,ratio_quantity.15E,ratio_quantity.15F,ratio_quantity.15M,ratio_quantity.15N,ratio_quantity.16C,ratio_quantity.18C
1514764800,181.31372958696542,321.42066777759794,134.6727543855672,294.0991618713813,170.55681588727805,231.13332776309585,216.73552557900948,241.86521892392648,167.3381378923242,228.59268919344308,197.1645303467551,159.64048323071725,288.0629622783061,245.37486547792108,246.5614239492831
1517443200,174.77278667634883,284.5555223012563,126.7479145139545,261.03780405797454,143.67814767194156,209.75676435787176,198.8367786271302,204.77567519490228,147.79526578018607,203.28078878191005,171.99880681682515,152.9318489601883,254.93499076244524,210.37819300096982,235.8492321998077
1519862400,175.7032624641487,317.533807423447,135.1462485107333,295.8606600874125,148.37505556136662,232.39510012896702,213.58743482230759,251.69796951222867,150.65885035170015,230.17107441872506,184.07447016925028,158.70999528236425,275.8677675991107,237.35454142182687,261.84441854946925
1522540800,185.83985788301516,278.2010923503974,125.59045635852932,266.3669107997977,130.46139189430727,213.4025279598438,196.6853367991474,206.50474324393943,132.77215243380414,199.0921918471719,164.93425748930983,145.50773188935847,267.7302953912497,214.24176630198542,234.99927512042012
1525132800,176.39987327844125,304.70158751910776,123.16756436273718,267.8802409308938,139.39480490106195,219.9972159871288,193.5525261660583,234.0374125930693,131.28678665271607,215.0133131963604,164.03661076381007,154.48220914230464,261.815459986549,214.51868876359976,223.90656726013108
1527811200,179.027936882411,297.83418080961496,129.62256157404352,271.6189836771215,137.6265305854455,214.936094698427,213.02706843455474,245.9327061289423,144.5235926797235,203.25768049372024,177.61780367552763,144.81882146321638,285.6582561597331,222.53487927755967,221.04195157249572
1530403200,198.04500766842762,298.3176495221022,127.7839389105477,270.2819330262963,114.71432504609668,203.1176180255171,190.43028490912653,228.72013939123693,133.3522752898186,207.44374162855664,184.61979629566432,144.5068104887562,282.0893082222732,210.39743076533244,208.4029224576288
1533081600,173.38181001772355,321.49872910737827,114.43279250469713,260.765813081393,132.4321773374226,192.4405539969875,196.33369763160422,225.546128239434,128.54507969840955,190.74498436459504,156.239007987855,142.64747703112397,270.9383861378313,224.4074764508857,210.62908099976244
1535760000,169.55046687439895,274.8545626643175,106.26548019197298,255.69089629091332,116.45672946691307,185.62942930565652,174.39076647867776,231.18788683051108,113.19397793237778,184.65465634364375,168.99107774267637,127.78008412136629,251.4408583080186,196.1284059042479,179.87362894222986
1538352000,171.8283264358783,306.8814872560706,110.53384033315766,269.6408760564551,119.47747903276333,205.08633991987583,204.3069875152389,234.92609664789381,125.8219793091891,188.92702314758193,163.75482468052155,131.13611377847198,279.80181023638164,218.21270019455608,190.7005967814037
1541030400,183.64418389482069,303.30002802786527,121.72865243792909,278.45983218339614,122.60693548295639,192.0663106973545,195.95039171826159,228.8051134883433,128.9156318889567,189.79769596306056,174.87810323312408,135.46017635849805,277.14964105684135,219.96683094699176,191.39344100968412
1543622400,180.08456357086877,291.29715280357277,106.53243458153581,284.0456051312639,117.5831053032646,190.83325160468232,185.1684932633906,250.06262192604507,122.84576985840854,183.65054495548367,162.7889766618738,125.40315186156809,266.4904920208672,214.72326801710977,200.33952437978817
