month,ratio_quantity.97R,ratio_quantity.99A,ratio_quantity.99C,ratio_quantity.99E,ratio_quantity.99F,ratio_quantity.99G,ratio_quantity.A3A8R,ratio_quantity.B2M3M,ratio_quantity.D2P2L,ratio_quantity.D4U1Y,ratio_quantity.D9Y0V,ratio_quantity.M1J4Y,ratio_quantity.M2L0M,ratio_quantity.W2U3Z,ratio_quantity.X2C4Y
1514764800,4.396846661170652,4.081079003996311,3.474170319348779,5.873932764140875,5.149182076813656,4.917933810375671,4.595061661618347,4.547489959839357,3.979064995563443,4.099149149149149,4.653687671689004,4.051709278942832,4.621831319592514,4.27872084109079,4.9447719515978905
1517443200,4.4523117889130965,4.237971274685817,3.583271375464684,5.702410006101282,5.223118279569892,4.954570184983678,4.675243013365735,4.661002614178072,3.9146458814472673,4.193840985442329,4.64168402120409,4.092121107861689,4.497287899860918,4.296529873264936,4.910347826086957
1519862400,4.433926233085988,4.192056856187291,3.607590529247911,5.7577712609970675,5.400506512301013,4.99645390070922,4.586518232819074,4.631168735224587,3.891034313122617,4.217405198125267,4.615866714247479,4.113321254135812,4.425096277278563,4.317404708520179,4.859446254071662
1522540800,4.366651097617935,4.095526315789474,3.5631925207756234,5.6492749054224465,5.351528384279476,4.928280773143438,4.5176026050626685,4.652613636363636,3.9158542842483324,4.162245121683841,4.604585427135678,4.031547320981472,4.310718278367803,4.254210779595765,4.860784971486079
1525132800,4.380255941499086,4.249101042790363,3.3938775510204082,5.619913686806412,5.339737991266375,5.031683168316832,4.387818680690523,4.4647347882642,3.764143874110154,4.169694379140842,4.646936610379277,4.061221201868857,4.110785135512713,4.321700288184438,4.715547091412742
1527811200,4.2100334448160535,4.1339315387171816,3.413374913374913,5.591766467065868,5.231128404669261,4.710402999062793,4.38713971524482,4.349642271575496,3.753390457403526,4.091369487233593,4.384155294524097,3.922326941826454,3.9574610842726785,4.21769019248396,4.778255122273628
1530403200,4.220092024539877,3.981811145510836,3.239040660736976,5.416915274463007,5.2274774774774775,4.675873465533522,4.326260316752175,4.31350306390429,3.602701264924932,3.961922533790599,4.324137784573565,3.882371294851794,3.8131606084042278,4.0988169993272034,4.58911620294599
1533081600,4.180787225386493,4.088785781692356,3.2515290519877675,5.447169811320754,4.986221899927484,4.631168831168831,4.27501022913257,4.199526918976546,3.65681868011401,3.982644157814871,4.263706009097438,3.8855170430030204,3.797831325301205,3.8825476694915255,4.676262778111846
1535760000,4.216737967914439,4.021688355021689,3.222829688535454,5.266417050691245,5.001540832049306,4.74543795620438,4.231437846894963,4.143198426082068,3.521444762586495,3.863933088535292,4.253287545020521,3.786136712749616,3.6244134515119915,4.042775041050903,4.630261927034612
1538352000,4.189985867151221,3.865336658354115,3.080098493626883,5.127260638297872,4.966451857467779,4.597281223449448,4.097583826429981,4.0753906754487925,3.613036303630363,3.8511647567161376,4.216017091286639,3.733641746854182,3.5148687695641705,3.955288932419197,4.5357246376811595
1541030400,4.142668218366484,3.799699271921494,3.2621767889356583,5.07801724137931,5.06390977443609,4.756484794275492,4.125267094017094,4.069637691142031,3.582938949361098,3.922089552238806,4.270005792783847,3.807607323232323,3.742205038663008,3.967947384839347,4.529048207663783
1543622400,4.3394547093285265,4.090076735263342,3.240981012658228,5.139672036823936,5.053645401822701,4.591530054644808,4.189639853097974,4.0666566581594354,3.660767056404985,3.943944974003466,4.245732954040359,3.825892857142857,3.639741518578352,4.058163378408335,4.462882096069869
1546300800,4.195128596338273,3.846093008541601,3.229303156640858,4.975643896976484,4.969742813918305,4.60861013986014,4.078621630126928,4.006233153638814,3.5434506635891516,3.8343463531287365,4.0863917525773195,3.7710549977521355,3.5483333333333333,3.8448805985446346,4.32829373650108
1548979200,4.160754017305315,3.9283508899382493,3.2336769759450172,5.014327108821636,4.976337448559671,4.533902691511387,4.228273669335845,3.9651552988918373,3.575197109067017,3.8945405405405404,4.157032936098339,3.8165177789455247,3.626528291157236,3.9273150249659556,4.31072695035461
