month,ratio_quantity.00L,ratio_quantity.00N,ratio_quantity.00P,ratio_quantity.00Q,ratio_quantity.00R,ratio_quantity.00T,ratio_quantity.00V,ratio_quantity.00X,ratio_quantity.00Y,ratio_quantity.01A,ratio_quantity.01D,ratio_quantity.01E,ratio_quantity.01F,ratio_quantity.01G,ratio_quantity.01H
1514764800,0.05196383057316997,0.04381715633165508,0.06637126658854083,0.0840073527306461,0.029830452684402924,0.11062249028523644,0.0,0.0,2.9388566026313834,0.039781743117340965,0.1602485715513168,0.05206172154514319,0.0,0.03422488351722767,0.1642722664065009
1517443200,0.0,0.006403456818427872,0.10761602952102277,0.0,0.0,0.0,0.0,0.042274904005585125,2.812264065780952,0.02329461460002151,0.10753164638465007,0.050023807133535075,0.0,0.0,0.1727051835019589
1519862400,0.05194662123094715,0.10424126446370464,0.0803082276207448,0.7280982938979541,0.0,0.05529304717249953,0.0,0.0,0.020262905129119897,0.013580998366899702,0.1744479142091153,1.803019859952681,0.0,0.0,0.033612651785604006
1522540800,0.0,0.009829838684017943,0.07535698187094139,0.052399334803927174,0.0,0.05527564378341835,0.0,0.0,0.047400499218257126,0.029872152505480858,0.08520168031205795,0.04420614489652636,0.0,0.0,0.4064250500859719
1525132800,0.05192269756551717,0.10419512257194305,0.09836101761748513,0.0,0.0,0.0,0.0,0.0,0.3355432506175304,0.03181370138227632,0.09656698646565016,0.0397674318507891,0.0,0.0,0.17211853949568423
1527811200,0.05192059631083345,0.018321305721752067,0.07534783588342568,0.0,0.0,0.05521091226256621,0.0,0.0,0.012678315713693239,0.0,0.11108480621282163,0.027383677275879384,0.0,0.0,0.4999358450410995
1530403200,0.05191325724211801,0.3067460877189638,0.09318665610421616,0.0,0.0,0.0,0.0,0.0,0.020281083996857303,0.01351858236046907,0.10055862508065513,0.09192927351653184,0.0,0.0,0.0
1533081600,0.10363505341788609,0.1375145202140422,0.018198900511030083,0.0,0.0,0.11013974044059334,0.0,0.0,0.0,0.026979565322877288,0.07848282748115057,0.05576891264540372,0.0,0.0,0.16186581808212094
1535760000,0.0,0.07029972267878334,0.04530311718373477,0.09677768422010832,0.0,0.05502175208101885,0.0,0.0,0.010107583485408578,0.145594783134603,0.09204207556898322,0.08009279877669996,0.0,0.021762552949496576,0.015779262360692072
1538352000,0.0,0.10966398122303984,0.014099624946345517,0.0,0.0,0.05496243628014515,0.0,0.0,0.010089466629259015,0.013465824229960203,0.041584899710658756,0.09128842934327672,0.09368319396473368,0.0,0.03696324600269104
1541030400,0.0,0.20335963115403885,0.01777188665096482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046076574984994054,0.012310791038820379,0.0,0.021598784084535076,0.07507550787393094
1543622400,0.0,0.02449001837885797,0.02464688972319083,0.0,0.0,0.0,0.0,0.0,0.0,0.013466713871801608,0.06929479355818176,0.05366432099761321,0.005416868491160089,0.0,0.038100491289380846
1546300800,0.0,0.011893660324243445,0.04151796394545379,0.0,0.0,0.0,0.0,0.041988407367280614,0.0,0.013463415395907022,0.03745069123640583,0.012304118378465597,0.0,0.0,0.16346838090551183
1548979200,0.0,0.039921678959774914,0.014138584363125404,0.0,0.0,0.0,0.0,0.0,0.06560696982509494,0.026915976066713653,0.03742482511545776,0.08856446765952203,0.0,0.0,0.31984199082944054
1551398400,0.0,0.051995640989900796,0.033506990040380644,0.042594214955545356,0.0,0.0,0.0,0.0,0.06557929984071434,0.22175183392190342,0.015448966695929121,0.03678646423374272,0.0,0.0,0.20780762951324724
1554076800,0.0,0.0,0.017796906134921804,0.0,0.0,0.0,0.0,0.0,0.13102060726190154,0.0,0.0,0.0,0.0,0.5766749477503056,0.0
1556668800,0.0,0.0,0.01605270568027426,0.0,0.0,0.0,0.09705647001699441,0.0,0.06540967186805113,0.013426401272150444,0.06567691597766404,0.0,0.0,0.0,0.0
1559347200,0.0,0.051928594924217496,0.01779474438066816,0.0,0.0,0.020366836991815462,0.0564762297667872,0.0,0.06538212537806946,0.013422280155279024,0.0,0.024566112370635274,0.021080164834750906,0.02140758882694366,0.0
1561939200,0.0,0.0,0.009366767431139391,0.0,0.0,0.0,0.0564500468030827,0.0,0.0,0.22099679571796108,0.015393868233326434,0.0827985260432228,0.0,0.08900115093719169,0.17178063937708016
