month,ratio_quantity.A81011,ratio_quantity.A81013,ratio_quantity.A81014,ratio_quantity.A81020,ratio_quantity.A81022,ratio_quantity.A81023,ratio_quantity.A81026,ratio_quantity.A81032,ratio_quantity.A81034,ratio_quantity.A81035,ratio_quantity.A81036,ratio_quantity.A81038,ratio_quantity.A81039,ratio_quantity.A81046,ratio_quantity.A81049,ratio_quantity.A81052,ratio_quantity.A81053,ratio_quantity.A81058,ratio_quantity.A81065,ratio_quantity.A81611,ratio_quantity.A81618,ratio_quantity.A82003,ratio_quantity.A82006,ratio_quantity.A82007,ratio_quantity.A82008,ratio_quantity.A82009,ratio_quantity.A82010,ratio_quantity.A82013,ratio_quantity.A82015,ratio_quantity.A82016,ratio_quantity.A82020,ratio_quantity.A82021,ratio_quantity.A82026,ratio_quantity.A82028,ratio_quantity.A82032,ratio_quantity.A82036,ratio_quantity.A82038,ratio_quantity.A82039,ratio_quantity.A82041,ratio_quantity.A82044,ratio_quantity.A82047,ratio_quantity.A82048,ratio_quantity.A82049,ratio_quantity.A82055,ratio_quantity.A82058,ratio_quantity.A82075,ratio_quantity.A82077,ratio_quantity.A82613,ratio_quantity.A82620,ratio_quantity.A82623,ratio_quantity.A82646,ratio_quantity.A83001,ratio_quantity.A83014,ratio_quantity.A83018,ratio_quantity.A83020,ratio_quantity.A83022,ratio_quantity.A83024,ratio_quantity.A83026,ratio_quantity.A83031,ratio_quantity.A83032,ratio_quantity.A83033,ratio_quantity.A83034,ratio_quantity.A83036,ratio_quantity.A83047,ratio_quantity.A83049,ratio_quantity.A83050,ratio_quantity.A83051,ratio_quantity.A83052,ratio_quantity.A83071,ratio_quantity.A83616,ratio_quantity.A83622,ratio_quantity.A83626,ratio_quantity.A83634,ratio_quantity.A84028,ratio_quantity.A85008,ratio_quantity.A86008,ratio_quantity.A86028,ratio_quantity.A86033,ratio_quantity.A86601,ratio_quantity.A87016,ratio_quantity.A88002,ratio_quantity.A88005,ratio_quantity.A88006,ratio_quantity.A88014,ratio_quantity.A89001,ratio_quantity.A89002,ratio_quantity.A89004,ratio_quantity.A89005,ratio_quantity.A89006,ratio_quantity.A89009,ratio_quantity.A89011,ratio_quantity.A89012,ratio_quantity.A89013,ratio_quantity.A89015,ratio_quantity.A89019,ratio_quantity.A89020,ratio_quantity.A89022,ratio_quantity.A89026,ratio_quantity.A89617,ratio_quantity.B81003,ratio_quantity.B81004,ratio_quantity.B81007,ratio_quantity.B81008,ratio_quantity.B81014,ratio_quantity.B81016,ratio_quantity.B81017,ratio_quantity.B81018,ratio_quantity.B81024,ratio_quantity.B81025,ratio_quantity.B81026,ratio_quantity.B81027,ratio_quantity.B81029,ratio_quantity.B81031,ratio_quantity.B81032,ratio_quantity.B81034,ratio_quantity.B81035,ratio_quantity.B81036,ratio_quantity.B81037,ratio_quantity.B81038,ratio_quantity.B81039,ratio_quantity.B81040,ratio_quantity.B81042,ratio_quantity.B81048,ratio_quantity.B81051,ratio_quantity.B81058,ratio_quantity.B81060,ratio_quantity.B81068,ratio_quantity.B81074,ratio_quantity.B81075,ratio_quantity.B81082,ratio_quantity.B81085,ratio_quantity.B81091,ratio_quantity.B81095,ratio_quantity.B81101,ratio_quantity.B81109,ratio_quantity.B81119,ratio_quantity.B81616,ratio_quantity.B81617,ratio_quantity.B81635,ratio_quantity.B81647,ratio_quantity.B81653,ratio_quantity.B81675,ratio_quantity.B82002,ratio_quantity.B82005,ratio_quantity.B82007,ratio_quantity.B82008,ratio_quantity.B82010,ratio_quantity.B82013,ratio_quantity.B82017,ratio_quantity.B82019,ratio_quantity.B82020,ratio_quantity.B82022,ratio_quantity.B82024,ratio_quantity.B82025,ratio_quantity.B82031,ratio_quantity.B82036,ratio_quantity.B82042,ratio_quantity.B82044,ratio_quantity.B82046,ratio_quantity.B82047,ratio_quantity.B82054,ratio_quantity.B82057,ratio_quantity.B82059,ratio_quantity.B82074,ratio_quantity.B82079,ratio_quantity.B82080,ratio_quantity.B82083,ratio_quantity.B82098,ratio_quantity.B82101,ratio_quantity.B83002,ratio_quantity.B83005,ratio_quantity.B83008,ratio_quantity.B83014,ratio_quantity.B83019,ratio_quantity.B83021,ratio_quantity.B83026,ratio_quantity.B83030,ratio_quantity.B83033,ratio_quantity.B83037,ratio_quantity.B83038,ratio_quantity.B83041,ratio_quantity.B83054,ratio_quantity.B83055,ratio_quantity.B83056,ratio_quantity.B83067,ratio_quantity.B83614,ratio_quantity.B83624,ratio_quantity.B83626,ratio_quantity.B83628,ratio_quantity.B83653,ratio_quantity.B83659,ratio_quantity.B84004,ratio_quantity.B84005,ratio_quantity.B84006,ratio_quantity.B84008,ratio_quantity.B84011,ratio_quantity.B84019,ratio_quantity.B84612,ratio_quantity.B84623,ratio_quantity.B85008,ratio_quantity.B85010,ratio_quantity.B85012,ratio_quantity.B85015,ratio_quantity.B85016,ratio_quantity.B85019,ratio_quantity.B85022,ratio_quantity.B85023,ratio_quantity.B85025,ratio_quantity.B85026,ratio_quantity.B85027,ratio_quantity.B85028,ratio_quantity.B85032,ratio_quantity.B85037,ratio_quantity.B85048,ratio_quantity.B85051,ratio_quantity.B85055,ratio_quantity.B85059,ratio_quantity.B85060,ratio_quantity.B85062,ratio_quantity.B85610,ratio_quantity.B85611,ratio_quantity.B85619,ratio_quantity.B85620,ratio_quantity.B85623,ratio_quantity.B85645,ratio_quantity.B86001,ratio_quantity.B86003,ratio_quantity.B86004,ratio_quantity.B86006,ratio_quantity.B86008,ratio_quantity.B86011,ratio_quantity.B86013,ratio_quantity.B86014,ratio_quantity.B86015,ratio_quantity.B86018,ratio_quantity.B86020,ratio_quantity.B86024,ratio_quantity.B86029,ratio_quantity.B86032,ratio_quantity.B86035,ratio_quantity.B86038,ratio_quantity.B86039,ratio_quantity.B86042,ratio_quantity.B86043,ratio_quantity.B86044,ratio_quantity.B86049,ratio_quantity.B86057,ratio_quantity.B86058,ratio_quantity.B86059,ratio_quantity.B86061,ratio_quantity.B86064,ratio_quantity.B86066,ratio_quantity.B86067,ratio_quantity.B86069,ratio_quantity.B86071,ratio_quantity.B86081,ratio_quantity.B86086,ratio_quantity.B86089,ratio_quantity.B86094,ratio_quantity.B86096,ratio_quantity.B86100,ratio_quantity.B86101,ratio_quantity.B86104,ratio_quantity.B86110,ratio_quantity.B86623,ratio_quantity.B86648,ratio_quantity.B86655,ratio_quantity.B86658,ratio_quantity.B86666,ratio_quantity.B86672,ratio_quantity.B87002,ratio_quantity.B87003,ratio_quantity.B87013,ratio_quantity.B87016,ratio_quantity.B87027,ratio_quantity.B87028,ratio_quantity.B87032,ratio_quantity.B87044,ratio_quantity.C81008,ratio_quantity.C81012,ratio_quantity.C81016,ratio_quantity.C81029
1514764800,0.5,0.0,0.0,0.0,0.0,0.5,0.0,1.0,,0.0,0.125,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.75,0.8571428571428571,,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.09523809523809523,0.3333333333333333,0.09090909090909091,0.25,0.1111111111111111,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.3333333333333333,0.0,0.0,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.16666666666666666,0.0,0.2222222222222222,0.0,0.045454545454545456,0.0,0.2,0.0,0.0,0.0,0.0625,0.0,0.6666666666666666,0.0,0.0,0.1,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.15384615384615385,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.5,0.4444444444444444,0.375,0.2,0.25,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.2727272727272727,0.2,0.3333333333333333,,0.6,0.5,0.16666666666666666,1.0,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,1.0,,0.0,,0.0,0.022222222222222223,0.0,0.2,0.16666666666666666,0.10714285714285714,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,0.125,0.0,0.0,0.05555555555555555,0.13333333333333333,0.0,0.0,0.0,0.5,0.0,0.0,,0.07692307692307693,0.0,0.0,0.0,0.3333333333333333,0.0,0.13333333333333333,0.0,0.15384615384615385,0.0,0.0,0.058823529411764705,0.0,0.0,1.0,0.0,0.0,0.0,0.18181818181818182,0.25,0.19047619047619047,0.0,0.16666666666666666,0.42857142857142855,1.0,0.08333333333333333,1.0,0.3125,0.16666666666666666,0.1111111111111111,0.2,0.0,,0.0,0.0,0.36363636363636365,0.05555555555555555,0.3333333333333333,0.14285714285714285,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.15789473684210525,0.0,0.4,0.5714285714285714,0.25,0.0,0.1,0.25,0.0,0.23076923076923078,0.75,0.07692307692307693,0.0,0.14285714285714285,0.0,0.0,0.5,,0.16666666666666666,0.0,0.0,0.3333333333333333,0.2,0.0,0.3157894736842105,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.125,0.0,0.16666666666666666,0.0,0.0,0.0,,,0.5,,0.0,0.25,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,,,0.3333333333333333
1517443200,0.5,0.0,0.3333333333333333,0.0,0.0,0.47058823529411764,0.08333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.1111111111111111,,,0.0,0.0,0.75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.125,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.07692307692307693,0.36363636363636365,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.6666666666666666,0.09090909090909091,0.08333333333333333,0.05263157894736842,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,0.0,,0.0,0.5,1.0,0.3333333333333333,0.0,0.0,0.0,0.07692307692307693,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.14285714285714285,0.0,0.18181818181818182,0.0,0.0,0.0,0.2222222222222222,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.5,0.5,0.75,0.17647058823529413,0.4,0.2,0.0,0.0,0.0,0.18181818181818182,0.5714285714285714,0.1111111111111111,0.25,0.0,,0.5,0.0,0.0,0.6,0.0,0.23529411764705882,0.5,0.5,0.0,0.6666666666666666,0.3333333333333333,,0.0,0.0,0.2857142857142857,0.023255813953488372,0.0,0.2,0.0,0.14285714285714285,0.3333333333333333,,0.2,0.0,0.0,0.0,0.0,0.2222222222222222,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0,0.0,0.2,0.0,0.0,0.06666666666666667,0.02857142857142857,0.0,,,0.25,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.46153846153846156,0.0,0.0,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.14285714285714285,0.0,0.0,,0.0,0.2857142857142857,0.6666666666666666,0.14285714285714285,0.0,0.125,0.6,,0.0,,1.0,0.0,0.25,0.0,0.25,0.0,0.42857142857142855,0.2,0.0,0.16666666666666666,0.0,0.0,0.2727272727272727,0.5,0.0,0.1,0.07142857142857142,0.0,0.0,0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.6666666666666666,,,0.25,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
1519862400,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.2,0.14285714285714285,0.0,,0.0,0.0,0.75,0.5,,1.0,0.0,0.25,0.0,0.0,,,0.0,0.0,0.0,0.043478260869565216,0.0,0.07692307692307693,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.5,0.0,0.21428571428571427,0.25,0.0,0.2857142857142857,0.0,0.0,,1.0,1.0,0.0,,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.5,0.7142857142857143,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,0.14285714285714285,0.12,0.0,0.0,0.2857142857142857,0.2222222222222222,0.0,0.0,0.14285714285714285,0.3,0.0,0.0,0.3333333333333333,0.5714285714285714,0.375,0.2,0.3333333333333333,0.2,0.0,0.0,0.1,0.08333333333333333,0.6363636363636364,0.0,0.2,0.0,,0.5,0.5,0.0,0.75,0.0,0.38461538461538464,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.3333333333333333,0.02040816326530612,0.0,0.13333333333333333,0.0,0.13793103448275862,0.8,0.0,0.16666666666666666,,0.0,0.0,0.0,0.2727272727272727,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.08571428571428572,0.0,0.0,0.0,0.5,0.0,0.09090909090909091,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.15384615384615385,,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.25,0.15384615384615385,0.058823529411764705,0.14285714285714285,0.36363636363636365,0.5,0.058823529411764705,1.0,0.38461538461538464,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.0,,0.0,0.0,0.2857142857142857,0.06666666666666667,0.0,0.18181818181818182,0.7142857142857143,0.0,0.125,0.0,1.0,0.0,0.25,0.4,0.0,0.6666666666666666,0.6666666666666666,0.25,0.0,0.18181818181818182,0.0,0.0,0.16666666666666666,0.5,0.0,0.0,0.15789473684210525,0.0,0.0,0.4,,0.037037037037037035,0.0,0.0,0.3333333333333333,0.0,0.0,0.23809523809523808,0.0,0.0,0.25,0.2222222222222222,0.0,0.13333333333333333,0.1,0.391304347826087,0.0,0.16666666666666666,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1522540800,0.0,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.13333333333333333,,0.5,0.0,0.0,0.4,1.0,,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.07407407407407407,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.13333333333333333,0.3125,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,,0.0,0.0,0.0,1.0,0.0,0.125,0.06666666666666667,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,1.0,0.0,0.0,,,0.3333333333333333,,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0,0.0,0.16666666666666666,0.1111111111111111,0.3333333333333333,0.18181818181818182,0.0,0.1111111111111111,0.0,0.0,1.0,0.6666666666666666,0.375,0.23076923076923078,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.058823529411764705,0.5,0.3,0.2,0.0,,0.6666666666666666,0.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.6666666666666666,0.5,,0.0,0.0,0.5,0.0,0.0,0.21052631578947367,0.0,0.05,0.5,,0.16666666666666666,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.06666666666666667,0.037037037037037035,0.0,0.0,,0.0,0.0,0.0625,,0.125,0.0,0.0,0.0,0.3333333333333333,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.1,0.0,0.0,0.0,0.038461538461538464,0.2,0.1,0.1111111111111111,0.14285714285714285,0.6666666666666666,0.0,0.1,0.5,0.2727272727272727,0.6666666666666666,0.1111111111111111,0.0,0.0,,0.0,0.25,0.2857142857142857,0.07142857142857142,0.0,0.14285714285714285,0.6666666666666666,0.0,0.0,,1.0,,0.2,0.0,0.0,0.0,0.4444444444444444,0.25,0.0,0.1111111111111111,0.4,0.0,0.05555555555555555,0.2,0.0,0.058823529411764705,0.14285714285714285,0.0,0.0,0.5833333333333334,0.2,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.375,0.0,0.0,0.25,0.375,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.8,0.0,,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,,0.6
1525132800,0.0,0.0,0.3333333333333333,0.0,0.0,0.5217391304347826,0.0,1.0,0.5,0.0,0.0,0.1,,0.0,0.0,0.0,0.5,0.6666666666666666,,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.18181818181818182,0.0,0.0,0.0,0.1,0.0,,0.4,0.0,0.3076923076923077,0.25,0.0,0.25,0.0,0.0,0.5,1.0,0.0,0.0,0.75,0.0,0.75,0.0,0.1,0.07692307692307693,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.3333333333333333,0.0,0.42857142857142855,0.5,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.2857142857142857,0.0,0.0,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.03225806451612903,0.0,0.0,0.09090909090909091,0.09090909090909091,0.3333333333333333,0.0,0.0,0.14285714285714285,0.0,0.0,0.3333333333333333,0.5714285714285714,0.5,0.3333333333333333,0.25,0.18181818181818182,0.0,0.0,0.07692307692307693,0.4166666666666667,0.7692307692307693,0.5454545454545454,0.0,0.0,,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.2631578947368421,0.0,0.4,0.0,0.0,0.0,,0.0,,0.3333333333333333,0.023255813953488372,0.0,0.21428571428571427,0.0,0.09090909090909091,0.6,0.0,0.2,,0.0,0.0,0.0,0.18181818181818182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.3333333333333333,0.0,0.1,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.14285714285714285,0.06666666666666667,0.125,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.14285714285714285,0.4,0.6,0.125,0.0,0.0,,0.125,0.0,0.3333333333333333,0.05263157894736842,0.0,0.0,0.6666666666666666,0.0,0.1111111111111111,,1.0,,0.25,0.4,0.0,0.0,0.5555555555555556,0.2,0.0,0.1111111111111111,0.0,0.0,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.4666666666666667,0.6666666666666666,0.0,0.08333333333333333,0.4,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,,0.4,,,,0.25,,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,,0.0
1527811200,,0.0,0.3333333333333333,0.0,0.2857142857142857,0.42857142857142855,0.0,1.0,,0.5,0.2,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,1.0,,1.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.10714285714285714,0.0,0.06666666666666667,0.0,0.0,0.09090909090909091,0.0,0.0,1.0,1.0,0.15384615384615385,0.2727272727272727,0.3333333333333333,0.0,0.2,0.0,0.0,1.0,1.0,0.0,0.2,0.0,0.0,1.0,0.0,0.125,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,,0.8333333333333334,0.0,1.0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.07692307692307693,0.14285714285714285,0.2857142857142857,0.0,0.0,0.1,0.0,0.0,0.3333333333333333,0.5,0.3333333333333333,0.38461538461538464,0.2,0.2857142857142857,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.38461538461538464,0.25,0.0,1.0,0.8,0.5,0.0,1.0,0.0,0.23076923076923078,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.3333333333333333,0.044444444444444446,0.0,0.17647058823529413,0.0,0.10714285714285714,0.6666666666666666,,0.125,0.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.09375,0.0,0.0,,0.0,0.0,0.0,,0.1111111111111111,0.0,0.0,0.0,0.0,0.14285714285714285,0.18181818181818182,0.0,0.0,0.0,0.0,0.0625,0.0,0.5,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.5,0.2222222222222222,0.0,0.0625,0.5,0.0,0.0,0.2,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,,0.0,0.0,0.3333333333333333,0.0,0.0,0.14285714285714285,,0.0,0.0,,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.125,0.0,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,0.030303030303030304,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.0,0.2,0.375,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,
1530403200,0.0,0.0,0.5,0.0,0.0,0.47058823529411764,0.0,0.3333333333333333,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,0.07692307692307693,0.18181818181818182,0.3333333333333333,0.0,0.4,0.0,0.0,0.5,1.0,,0.0,0.0,,0.6666666666666666,0.0,0.0,0.05,0.0,0.6666666666666666,0.2,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.3333333333333333,0.0,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.0,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.05,0.125,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.38461538461538464,0.14285714285714285,0.5,0.0,0.0,0.11764705882352941,0.21428571428571427,0.5,0.36363636363636365,0.14285714285714285,0.0,1.0,0.5,0.6666666666666666,0.0,1.0,0.0,0.35,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0,0.0,,0.0,0.020833333333333332,0.0,0.1875,0.0,0.08333333333333333,0.3333333333333333,0.0,0.2222222222222222,1.0,0.0,0.0,0.0,0.2222222222222222,0.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.2,0.0,0.23076923076923078,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.25,0.1,0.6666666666666666,0.0,0.23076923076923078,0.8,0.08333333333333333,0.42857142857142855,0.25,0.2727272727272727,0.0,0.0,0.0,,0.16666666666666666,0.0,0.0,0.07142857142857142,0.0,0.2,,0.0,0.08333333333333333,,1.0,0.0,0.2,0.7272727272727273,0.0,0.0,0.0,0.2,0.0,0.1111111111111111,0.0,0.0,0.1,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3,,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.21739130434782608,0.0,0.0,0.4,0.2857142857142857,0.16666666666666666,0.0,0.2,0.17647058823529413,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,0.7142857142857143,0.0,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
