month,ratio_quantity.L83020,ratio_quantity.L83035,ratio_quantity.L83038,ratio_quantity.L83039,ratio_quantity.L83040,ratio_quantity.L83043,ratio_quantity.L83044,ratio_quantity.L83050,ratio_quantity.L83052,ratio_quantity.L83054,ratio_quantity.L83064,ratio_quantity.L83087,ratio_quantity.L83089,ratio_quantity.L83097,ratio_quantity.L83101,ratio_quantity.L83112,ratio_quantity.L83129,ratio_quantity.L83131,ratio_quantity.L83137,ratio_quantity.L83655,ratio_quantity.L84007,ratio_quantity.L84008,ratio_quantity.L84009,ratio_quantity.L84012,ratio_quantity.L84021,ratio_quantity.L84023,ratio_quantity.L84026,ratio_quantity.L84027,ratio_quantity.L84029,ratio_quantity.L84036,ratio_quantity.L84038,ratio_quantity.L84039,ratio_quantity.L84049,ratio_quantity.L84051,ratio_quantity.L84053,ratio_quantity.L84060,ratio_quantity.L84063,ratio_quantity.L84067,ratio_quantity.L84075,ratio_quantity.L84078,ratio_quantity.L84606,ratio_quantity.M81002,ratio_quantity.M81003,ratio_quantity.M81005,ratio_quantity.M81006,ratio_quantity.M81017,ratio_quantity.M81019,ratio_quantity.M81020,ratio_quantity.M81026,ratio_quantity.M81029,ratio_quantity.M81034,ratio_quantity.M81037,ratio_quantity.M81038,ratio_quantity.M81040,ratio_quantity.M81042,ratio_quantity.M81044,ratio_quantity.M81046,ratio_quantity.M81048,ratio_quantity.M81057,ratio_quantity.M81061,ratio_quantity.M81063,ratio_quantity.M81068,ratio_quantity.M81070,ratio_quantity.M81072,ratio_quantity.M81094,ratio_quantity.M81605,ratio_quantity.M81629,ratio_quantity.M82003,ratio_quantity.M82004,ratio_quantity.M82005,ratio_quantity.M82007,ratio_quantity.M82009,ratio_quantity.M82012,ratio_quantity.M82014,ratio_quantity.M82019,ratio_quantity.M82021,ratio_quantity.M82022,ratio_quantity.M82024,ratio_quantity.M82025,ratio_quantity.M82026,ratio_quantity.M82028,ratio_quantity.M82030,ratio_quantity.M82031,ratio_quantity.M82032,ratio_quantity.M82034,ratio_quantity.M82035,ratio_quantity.M82038,ratio_quantity.M82039,ratio_quantity.M82041,ratio_quantity.M82043,ratio_quantity.M82056,ratio_quantity.M82059,ratio_quantity.M82060,ratio_quantity.M83001,ratio_quantity.M83006,ratio_quantity.M83007,ratio_quantity.M83015,ratio_quantity.M83016,ratio_quantity.M83030,ratio_quantity.M83031,ratio_quantity.M83035,ratio_quantity.M83036,ratio_quantity.M83046,ratio_quantity.M83048,ratio_quantity.M83050,ratio_quantity.M83052,ratio_quantity.M83056,ratio_quantity.M83057,ratio_quantity.M83061,ratio_quantity.M83067,ratio_quantity.M83068,ratio_quantity.M83069,ratio_quantity.M83070,ratio_quantity.M83071,ratio_quantity.M83074,ratio_quantity.M83079,ratio_quantity.M83089,ratio_quantity.M83094,ratio_quantity.M83096,ratio_quantity.M83097,ratio_quantity.M83107,ratio_quantity.M83110,ratio_quantity.M83148,ratio_quantity.M83617,ratio_quantity.M83624,ratio_quantity.M83641,ratio_quantity.M83650,ratio_quantity.M83703,ratio_quantity.M83723,ratio_quantity.M83725,ratio_quantity.M84004,ratio_quantity.M84008,ratio_quantity.M84011,ratio_quantity.M84012,ratio_quantity.M84014,ratio_quantity.M84015,ratio_quantity.M84016,ratio_quantity.M84017,ratio_quantity.M84018,ratio_quantity.M84025,ratio_quantity.M84034,ratio_quantity.M84036,ratio_quantity.M84037,ratio_quantity.M84040,ratio_quantity.M84041,ratio_quantity.M84042,ratio_quantity.M84047,ratio_quantity.M84050,ratio_quantity.M84061,ratio_quantity.M84062,ratio_quantity.M84066,ratio_quantity.M84609,ratio_quantity.M84615,ratio_quantity.M84621,ratio_quantity.M85019,ratio_quantity.M85020,ratio_quantity.M85033,ratio_quantity.M85046,ratio_quantity.M85047,ratio_quantity.M85051,ratio_quantity.M85060,ratio_quantity.M85063,ratio_quantity.M85070,ratio_quantity.M85078,ratio_quantity.M85081,ratio_quantity.M85113,ratio_quantity.M85124,ratio_quantity.M85139,ratio_quantity.M85146,ratio_quantity.M85164,ratio_quantity.M85175,ratio_quantity.M85178,ratio_quantity.M85600,ratio_quantity.M85701,ratio_quantity.M85706,ratio_quantity.M85746,ratio_quantity.M85783,ratio_quantity.M86001,ratio_quantity.M86003,ratio_quantity.M86009,ratio_quantity.M86016,ratio_quantity.M86020,ratio_quantity.M86027,ratio_quantity.M86029,ratio_quantity.M86032,ratio_quantity.M86035,ratio_quantity.M86041,ratio_quantity.M86048,ratio_quantity.M86624,ratio_quantity.M87003,ratio_quantity.M87005,ratio_quantity.M87009,ratio_quantity.M87010,ratio_quantity.M87011,ratio_quantity.M87012,ratio_quantity.M87024,ratio_quantity.M87028,ratio_quantity.M87034,ratio_quantity.M87041,ratio_quantity.M87602,ratio_quantity.M88001,ratio_quantity.M88004,ratio_quantity.M88007,ratio_quantity.M88009,ratio_quantity.M88010,ratio_quantity.M88015,ratio_quantity.M88020,ratio_quantity.M88031,ratio_quantity.M88038,ratio_quantity.M88040,ratio_quantity.M88612,ratio_quantity.M88618,ratio_quantity.M88640,ratio_quantity.M89001,ratio_quantity.M89003,ratio_quantity.M89007,ratio_quantity.M89017,ratio_quantity.M89608,ratio_quantity.M91010,ratio_quantity.M91014,ratio_quantity.M91016,ratio_quantity.M91017,ratio_quantity.M91033,ratio_quantity.M91614,ratio_quantity.M91616,ratio_quantity.M92001,ratio_quantity.M92002,ratio_quantity.M92009,ratio_quantity.M92041,ratio_quantity.M92612,ratio_quantity.N81008,ratio_quantity.N81011,ratio_quantity.N81013,ratio_quantity.N81016,ratio_quantity.N81022,ratio_quantity.N81029,ratio_quantity.N81030,ratio_quantity.N81031,ratio_quantity.N81032,ratio_quantity.N81033,ratio_quantity.N81035,ratio_quantity.N81038,ratio_quantity.N81045,ratio_quantity.N81046,ratio_quantity.N81048,ratio_quantity.N81049,ratio_quantity.N81050,ratio_quantity.N81052,ratio_quantity.N81057,ratio_quantity.N81060,ratio_quantity.N81066,ratio_quantity.N81070,ratio_quantity.N81075,ratio_quantity.N81079,ratio_quantity.N81080,ratio_quantity.N81081,ratio_quantity.N81082,ratio_quantity.N81084,ratio_quantity.N81086,ratio_quantity.N81087,ratio_quantity.N81089,ratio_quantity.N81092,ratio_quantity.N81101,ratio_quantity.N81108,ratio_quantity.N81117,ratio_quantity.N81120,ratio_quantity.N81121,ratio_quantity.N81607,ratio_quantity.N81614,ratio_quantity.N81624,ratio_quantity.N82014,ratio_quantity.N82022,ratio_quantity.N82033,ratio_quantity.N82041,ratio_quantity.N82049,ratio_quantity.N82084,ratio_quantity.N82086,ratio_quantity.N82094,ratio_quantity.N82106,ratio_quantity.N82662,ratio_quantity.N82678
1514764800,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.6,,0.0,1.0,0.0,0.5,0.0,0.3333333333333333,1.0,0.2,0.5,1.0,0.2857142857142857,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,1.0,0.0,0.0,,0.0,0.2,0.16666666666666666,0.5,0.6666666666666666,0.1111111111111111,0.5,0.0,0.0,0.0,0.1,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,,0.3333333333333333,0.0,0.42857142857142855,,0.25,0.25,0.3333333333333333,0.0,0.5,0.5,0.2,0.16666666666666666,0.5,1.0,0.0,0.0,0.5,0.25,0.2857142857142857,0.0,0.0,,0.16666666666666666,0.5,1.0,1.0,0.0,0.0,0.25,1.0,0.4,0.3333333333333333,0.0,0.0,0.0,1.0,0.875,0.0,1.0,0.6666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,,0.2,0.0,0.3333333333333333,0.14285714285714285,0.3333333333333333,,,,,1.0,0.6,0.0,0.1,0.4,0.6666666666666666,0.625,0.5,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.75,0.2,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,,0.0,0.8,1.0,0.0,,0.5,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,,0.6666666666666666,1.0,0.4,0.25,0.0,0.5,0.5,0.0,,0.0,1.0,0.6666666666666666,0.0,0.75,0.0,0.0,0.5,0.0,0.3333333333333333,0.6666666666666666,,1.0,0.0,1.0,1.0,0.25,0.0,1.0,,1.0,0.2,0.0,0.0,0.0,0.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6,0.0,0.6666666666666666,1.0,0.0,0.14285714285714285,0.2,0.0,0.25,0.0,0.3333333333333333,0.1,,0.4,1.0,0.0,1.0,0.375,0.2,0.0,,0.0,1.0,0.0,0.6666666666666666,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.6666666666666666,0.2,,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,1.0,0.5,0.0,,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0
1517443200,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,1.0,0.0,0.25,1.0,0.3333333333333333,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.0,1.0,0.5,,0.5,0.3333333333333333,0.5,0.5,0.75,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.1111111111111111,0.3333333333333333,0.5,0.0,0.0,0.0,0.6666666666666666,,,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,,0.6,1.0,0.25,0.2,0.4444444444444444,,0.3333333333333333,0.5,0.0,0.07692307692307693,0.0,0.0,0.0,0.25,0.5,,0.25,0.0,0.0,1.0,0.0,1.0,,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,,0.0,0.0,1.0,0.8,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.5,,,,,1.0,1.0,0.0,0.0,0.4,0.625,0.5714285714285714,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.5,0.0,1.0,0.6,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.0,,0.6666666666666666,0.0,0.3,0.0,0.0,,0.5,0.5,0.0,,0.5714285714285714,0.6666666666666666,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.08333333333333333,0.5,0.6666666666666666,0.0,0.6,0.3333333333333333,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.4,,0.5,,,0.125,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.3333333333333333,0.0,,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.7142857142857143,0.0,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,1.0,0.4166666666666667,0.16666666666666666,0.0,,0.3333333333333333,0.5,0.0,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.15384615384615385,,,,0.25,0.0,0.0,0.0,1.0,,0.5,0.0,,0.0,0.0
1519862400,0.0,0.0,0.0,0.0,,0.3333333333333333,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.5,0.0,0.0,0.5,0.0,1.0,0.5,0.0,0.4,,0.3333333333333333,0.0,0.0,0.14285714285714285,,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,0.375,0.0,0.42857142857142855,1.0,0.3333333333333333,0.25,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.0,0.0,0.0,0.5,0.16666666666666666,0.125,0.0,0.0,,0.25,1.0,,1.0,,0.0,0.25,0.2,0.0,1.0,0.0,0.0,0.0,1.0,0.75,0.0,1.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,,0.0,0.0,,1.0,0.5,0.4,0.1,0.8,0.8,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.5,1.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.8,0.25,0.0,0.0,0.0,0.2,0.18181818181818182,,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.23076923076923078,0.0,,0.0,0.3333333333333333,0.5,0.0,,0.0,1.0,0.4,0.5,0.0,0.3333333333333333,0.0,0.0,,0.0,1.0,0.75,0.0,0.5714285714285714,0.2,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,,0.0,,0.6666666666666666,0.0,0.0,,,0.0,0.4,1.0,,0.25,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.2222222222222222,0.6,0.0,0.75,0.0,0.0,0.125,0.0,0.0,0.42857142857142855,0.4,0.0,0.4,0.0,0.0,,0.5,1.0,0.0,0.6666666666666666,0.0,0.75,0.0,0.0,0.0,0.42857142857142855,0.0,,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.25,0.25,0.0,0.0,1.0,0.3333333333333333,0.0,,0.0,1.0,0.0,0.2,0.3333333333333333,0.0,0.0,0.0
1522540800,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.5,1.0,0.0,0.5,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,,0.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.25,0.0,1.0,0.2,0.0,0.2857142857142857,0.0,0.5,1.0,0.0,0.25,0.6666666666666666,0.0,,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,0.0,,0.6666666666666666,1.0,0.0,0.0,0.125,0.6666666666666666,0.0,0.5,,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.4,0.0,0.36363636363636365,0.0,0.5,1.0,,0.3333333333333333,,1.0,1.0,0.5,0.2857142857142857,0.25,0.5,0.6666666666666666,1.0,,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,0.4,1.0,0.0,0.0,,0.0,0.0,0.3333333333333333,0.8,0.3333333333333333,,1.0,0.7777777777777778,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.5,,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,,0.0,1.0,0.5,0.0,0.2,0.0,0.0,0.0,0.5714285714285714,0.6666666666666666,0.0,,0.0,0.6666666666666666,0.5,0.3333333333333333,0.0,0.25,,0.0,0.0,0.0,0.6666666666666666,0.5,0.0,0.5714285714285714,0.3333333333333333,0.0,0.5,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,1.0,0.25,0.25,0.5,1.0,0.0,0.0,0.3333333333333333,1.0,0.0,0.5,0.0,0.6666666666666666,0.6666666666666666,0.0,,0.25,0.0,0.0,1.0,,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,,0.0,0.375,0.0,0.6666666666666666,0.3333333333333333,0.1,0.0,,0.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.42857142857142855,0.2,0.5,,0.0,0.0,0.16666666666666666,0.0,0.0,,1.0,0.2,0.0,1.0,0.2222222222222222,1.0,,1.0,0.3333333333333333,0.0,0.0,0.0
1525132800,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.25,0.2857142857142857,0.0,0.75,1.0,0.3333333333333333,0.5,,,0.5,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,,0.0,0.5,0.0,0.0,0.0,0.125,0.0,0.14285714285714285,0.0,0.3333333333333333,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.25,,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,1.0,0.7142857142857143,1.0,0.0,1.0,0.4444444444444444,0.5,0.4,0.5,0.5,,0.0,0.46153846153846156,0.0,,0.0,0.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,,0.0,0.0,,0.625,0.0,1.0,0.0,0.75,0.5,0.0,0.0,0.0,,0.3333333333333333,0.0,0.2,0.16666666666666666,0.5,1.0,,1.0,,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.3333333333333333,,,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,,,0.2857142857142857,0.0,0.5,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.75,0.0,0.0,0.0,0.0,0.2,,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.75,0.0,,0.0,1.0,0.3333333333333333,0.0,0.0,0.2,0.2857142857142857,0.2222222222222222,0.0,0.0,1.0,0.8,0.0,0.42857142857142855,0.14285714285714285,0.0,0.5,0.0,0.2,0.0,0.0,,0.0,1.0,0.6666666666666666,0.3333333333333333,,0.0,,0.5,0.25,0.0,0.0,0.5,1.0,0.5,0.8,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,0.125,0.4,0.0,0.6666666666666666,0.0,0.0,0.2,,0.0,0.2857142857142857,0.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.6666666666666666,,0.0,1.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,1.0,0.0,,0.0,0.3333333333333333,0.0,0.4,0.0,0.0,0.0,0.25,0.25,0.0,0.0,,0.3333333333333333,0.0,0.0,0.2857142857142857,1.0,,0.2,0.3333333333333333,0.0,,0.0
1527811200,0.3333333333333333,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.6666666666666666,0.0,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.034482758620689655,0.0,0.0,0.25,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,1.0,0.4444444444444444,0.0,0.2857142857142857,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.25,0.0,0.0,1.0,0.1,1.0,,1.0,0.0,0.0,0.14285714285714285,0.25,0.0,0.5,0.0,0.0,0.0,,0.8,0.0,1.0,,0.0,1.0,0.0,0.0,,0.0,0.16666666666666666,0.0,0.0,0.0,0.5,1.0,0.0,0.0,,1.0,0.6666666666666666,0.4,0.14285714285714285,0.4,0.6666666666666666,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,1.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.25,0.3333333333333333,,0.0,0.0,,0.0,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.4,,0.0,1.0,1.0,0.0,0.5,0.1111111111111111,0.0,0.5,0.0,,0.8,,1.0,0.0,1.0,1.0,0.25,0.0,0.0,,0.0,0.25,0.0,,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.25,0.6,0.0,0.3333333333333333,0.0,0.3333333333333333,0.1,0.0,0.0,0.4,0.0,0.5,0.2,0.25,0.0,,0.0,1.0,0.0,0.6666666666666666,0.0,0.75,0.0,0.0,0.0,0.5555555555555556,0.0,0.5,0.0,0.4,1.0,0.5,,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,1.0,0.0,0.3333333333333333,0.3333333333333333,,0.0,0.0
1530403200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.5,0.2857142857142857,0.0,0.3333333333333333,0.5,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.2,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.0,0.14285714285714285,0.0,0.6666666666666666,0.8571428571428571,0.16666666666666666,0.0,0.5,0.0,0.0,0.25,0.5,,1.0,0.0,1.0,0.0,0.16666666666666666,,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.375,0.25,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.5,0.14285714285714285,1.0,1.0,1.0,0.0,0.0,0.2,0.0,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,0.4444444444444444,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,,,,,1.0,0.3333333333333333,0.0,0.14285714285714285,0.75,0.5714285714285714,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,,0.2,0.5,0.3333333333333333,0.6,0.0,0.0,1.0,0.3333333333333333,0.0,0.16666666666666666,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,,0.0,1.0,0.75,,0.16666666666666666,0.0,0.0,0.0,0.2857142857142857,0.8,0.0,,0.0,,0.4,1.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,,0.0,0.4,0.14285714285714285,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,0.3333333333333333,0.25,,,,0.0,0.25,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.375,0.375,0.0,0.6,0.0,0.0,0.2222222222222222,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.25,0.0,0.0,,0.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.5,0.0,0.2727272727272727,0.0,0.6666666666666666,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.2,1.0,,1.0,0.25,0.0,0.0,0.0
1533081600,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.0,0.5,0.0,0.5714285714285714,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.25,0.3333333333333333,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.5,0.02631578947368421,0.0,0.0,0.2,0.875,0.0,1.0,0.6666666666666666,0.0,0.0,0.0,1.0,0.3333333333333333,,0.0,0.0,0.0,0.2,0.25,0.0,0.1111111111111111,0.5,0.0,0.0,0.0,1.0,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.5,0.38461538461538464,1.0,0.25,0.0,0.75,1.0,0.0,0.0,0.0,0.0,,0.0,0.5,0.0,0.5,0.5,0.125,0.5,0.16666666666666666,,,1.0,0.0,0.0,0.25,0.3333333333333333,0.0,0.5,,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.75,0.3333333333333333,0.0,0.0,0.0,0.5,1.0,,0.0,,1.0,1.0,0.0,0.07142857142857142,0.6666666666666666,0.375,0.75,1.0,,0.5,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.2,0.5,1.0,1.0,0.3333333333333333,0.0,0.5,0.75,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,,1.0,,0.0,1.0,0.0,,0.6,,0.0,0.0,0.6666666666666666,0.75,0.0,,0.0,0.0,0.2857142857142857,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,,0.0,0.8571428571428571,1.0,0.0,0.6,0.2,0.0,0.6666666666666666,0.5,0.0,0.6666666666666666,0.0,0.6,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.0,0.14285714285714285,0.4,0.0,0.75,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.125,0.0,,0.0,1.0,0.5,1.0,,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.42857142857142855,0.0,0.5,0.0,0.25,0.0,0.5,0.3333333333333333,0.0,1.0,1.0,0.6666666666666666,0.42857142857142855,0.0,0.4444444444444444,1.0,,1.0,0.5,,0.0,
