month,ratio_quantity.N83001,ratio_quantity.N83003,ratio_quantity.N83008,ratio_quantity.N83009,ratio_quantity.N83021,ratio_quantity.N83022,ratio_quantity.N83023,ratio_quantity.N83024,ratio_quantity.N83028,ratio_quantity.N83055,ratio_quantity.N83621,ratio_quantity.N83633,ratio_quantity.N84020,ratio_quantity.N85002,ratio_quantity.N85003,ratio_quantity.N85005,ratio_quantity.N85006,ratio_quantity.N85007,ratio_quantity.N85008,ratio_quantity.N85009,ratio_quantity.N85013,ratio_quantity.N85015,ratio_quantity.N85016,ratio_quantity.N85017,ratio_quantity.N85020,ratio_quantity.N85024,ratio_quantity.N85027,ratio_quantity.N85032,ratio_quantity.N85037,ratio_quantity.N85044,ratio_quantity.N85047,ratio_quantity.N85048,ratio_quantity.N85051,ratio_quantity.N85059,ratio_quantity.N85617,ratio_quantity.N85620,ratio_quantity.N85625,ratio_quantity.N85640,ratio_quantity.P81002,ratio_quantity.P81005,ratio_quantity.P81006,ratio_quantity.P81010,ratio_quantity.P81013,ratio_quantity.P81014,ratio_quantity.P81016,ratio_quantity.P81018,ratio_quantity.P81020,ratio_quantity.P81022,ratio_quantity.P81025,ratio_quantity.P81027,ratio_quantity.P81029,ratio_quantity.P81037,ratio_quantity.P81044,ratio_quantity.P81051,ratio_quantity.P81054,ratio_quantity.P81055,ratio_quantity.P81058,ratio_quantity.P81061,ratio_quantity.P81062,ratio_quantity.P81063,ratio_quantity.P81065,ratio_quantity.P81069,ratio_quantity.P81072,ratio_quantity.P81078,ratio_quantity.P81082,ratio_quantity.P81088,ratio_quantity.P81092,ratio_quantity.P81100,ratio_quantity.P81112,ratio_quantity.P81115,ratio_quantity.P81119,ratio_quantity.P81125,ratio_quantity.P81128,ratio_quantity.P81130,ratio_quantity.P81133,ratio_quantity.P81137,ratio_quantity.P81140,ratio_quantity.P81147,ratio_quantity.P81149,ratio_quantity.P81150,ratio_quantity.P81154,ratio_quantity.P81159,ratio_quantity.P81160,ratio_quantity.P81166,ratio_quantity.P81172,ratio_quantity.P81180,ratio_quantity.P81181,ratio_quantity.P81182,ratio_quantity.P81184,ratio_quantity.P81185,ratio_quantity.P81186,ratio_quantity.P81196,ratio_quantity.P81208,ratio_quantity.P81213,ratio_quantity.P81214,ratio_quantity.P81218,ratio_quantity.P81655,ratio_quantity.P81674,ratio_quantity.P81683,ratio_quantity.P81704,ratio_quantity.P81726,ratio_quantity.P82001,ratio_quantity.P82006,ratio_quantity.P83004,ratio_quantity.P83012,ratio_quantity.P83017,ratio_quantity.P83605,ratio_quantity.P83620,ratio_quantity.P84004,ratio_quantity.P84009,ratio_quantity.P84010,ratio_quantity.P84012,ratio_quantity.P84017,ratio_quantity.P84020,ratio_quantity.P84021,ratio_quantity.P84028,ratio_quantity.P84029,ratio_quantity.P84034,ratio_quantity.P84035,ratio_quantity.P84038,ratio_quantity.P84042,ratio_quantity.P84043,ratio_quantity.P84045,ratio_quantity.P84047,ratio_quantity.P84048,ratio_quantity.P84050,ratio_quantity.P84061,ratio_quantity.P84068,ratio_quantity.P84070,ratio_quantity.P84071,ratio_quantity.P84074,ratio_quantity.P84626,ratio_quantity.P84630,ratio_quantity.P84640,ratio_quantity.P84650,ratio_quantity.P84652,ratio_quantity.P84669,ratio_quantity.P84672,ratio_quantity.P84678,ratio_quantity.P84679,ratio_quantity.P84684,ratio_quantity.P84690,ratio_quantity.P85007,ratio_quantity.P85008,ratio_quantity.P85011,ratio_quantity.P85012,ratio_quantity.P85015,ratio_quantity.P85017,ratio_quantity.P85019,ratio_quantity.P85021,ratio_quantity.P85026,ratio_quantity.P85605,ratio_quantity.P85607,ratio_quantity.P85615,ratio_quantity.P86003,ratio_quantity.P86006,ratio_quantity.P86008,ratio_quantity.P86011,ratio_quantity.P86012,ratio_quantity.P86014,ratio_quantity.P86016,ratio_quantity.P86018,ratio_quantity.P86019,ratio_quantity.P86619,ratio_quantity.P87004,ratio_quantity.P87019,ratio_quantity.P87022,ratio_quantity.P87024,ratio_quantity.P87027,ratio_quantity.P87028,ratio_quantity.P87035,ratio_quantity.P87618,ratio_quantity.P87620,ratio_quantity.P88002,ratio_quantity.P88003,ratio_quantity.P88006,ratio_quantity.P88007,ratio_quantity.P88011,ratio_quantity.P88013,ratio_quantity.P88017,ratio_quantity.P88018,ratio_quantity.P88019,ratio_quantity.P88023,ratio_quantity.P88024,ratio_quantity.P88025,ratio_quantity.P88026,ratio_quantity.P88031,ratio_quantity.P88043,ratio_quantity.P88615,ratio_quantity.P88623,ratio_quantity.P88632,ratio_quantity.P89002,ratio_quantity.P89003,ratio_quantity.P89005,ratio_quantity.P89006,ratio_quantity.P89011,ratio_quantity.P89012,ratio_quantity.P89013,ratio_quantity.P89014,ratio_quantity.P89015,ratio_quantity.P89020,ratio_quantity.P89022,ratio_quantity.P89609,ratio_quantity.P91004,ratio_quantity.P91006,ratio_quantity.P91008,ratio_quantity.P91013,ratio_quantity.P91014,ratio_quantity.P91018,ratio_quantity.P91021,ratio_quantity.P91032,ratio_quantity.P91604,ratio_quantity.P91623,ratio_quantity.P91629,ratio_quantity.P92002,ratio_quantity.P92010,ratio_quantity.P92016,ratio_quantity.P92017,ratio_quantity.P92020,ratio_quantity.P92028,ratio_quantity.P92033,ratio_quantity.P92034,ratio_quantity.P92042,ratio_quantity.P92605,ratio_quantity.Y00020,ratio_quantity.Y00057,ratio_quantity.Y00090,ratio_quantity.Y00155,ratio_quantity.Y00185,ratio_quantity.Y00252,ratio_quantity.Y00352,ratio_quantity.Y00399,ratio_quantity.Y00411,ratio_quantity.Y00412,ratio_quantity.Y00437,ratio_quantity.Y00471,ratio_quantity.Y00486,ratio_quantity.Y00918,ratio_quantity.Y00969,ratio_quantity.Y00999,ratio_quantity.Y01008,ratio_quantity.Y01051,ratio_quantity.Y01132,ratio_quantity.Y01221,ratio_quantity.Y01756,ratio_quantity.Y01922,ratio_quantity.Y01929,ratio_quantity.Y02002,ratio_quantity.Y02045,ratio_quantity.Y02212,ratio_quantity.Y02332,ratio_quantity.Y02344,ratio_quantity.Y02354,ratio_quantity.Y02414,ratio_quantity.Y02423,ratio_quantity.Y02521,ratio_quantity.Y02575,ratio_quantity.Y02627,ratio_quantity.Y02646,ratio_quantity.Y02656,ratio_quantity.Y02671,ratio_quantity.Y02692,ratio_quantity.Y02747,ratio_quantity.Y02751,ratio_quantity.Y02753,ratio_quantity.Y02790,ratio_quantity.Y02900,ratio_quantity.Y02987,ratio_quantity.Y03035,ratio_quantity.Y03079,ratio_quantity.Y03135,ratio_quantity.Y03402,ratio_quantity.Y03602,ratio_quantity.Y03663,ratio_quantity.Y03664,ratio_quantity.Y04273,ratio_quantity.Y04882,ratio_quantity.Y04951,ratio_quantity.Y04957,ratio_quantity.Y04995,ratio_quantity.Y06275
1514764800,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.8571428571428571,0.0,0.0,0.5,,0.25,0.0,0.4,0.0,0.1,0.14285714285714285,1.0,0.5,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4444444444444444,0.0,0.7142857142857143,,,1.0,0.8,0.4,0.0,0.5,0.0,0.0,0.6,0.16666666666666666,1.0,0.42857142857142855,0.0,0.0,0.3333333333333333,0.0,0.42857142857142855,0.3333333333333333,0.0,0.5,0.8,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,,0.0,0.0,0.2,0.3076923076923077,0.0,,,0.0,0.6666666666666666,0.0,0.25,0.0,1.0,0.0,0.2857142857142857,0.5,0.0,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,,0.2857142857142857,0.1875,0.0,0.0,0.2857142857142857,0.4,,0.0,0.4,0.0,,,,0.0,0.0,0.4,0.5,0.0,0.8,0.6666666666666666,,0.0,0.0,0.5,0.4,0.0,0.6666666666666666,0.75,0.5,0.4,0.0,0.25,,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.125,0.0,0.0,1.0,1.0,0.2,1.0,0.5,0.6666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,,0.5,0.0,0.2222222222222222,0.5,0.8,0.4,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,,1.0,,0.5,,1.0,0.0,0.0,0.0,0.25,,,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.25,0.0,0.14285714285714285,0.0,0.0,0.0,0.5,0.0,0.0,0.5714285714285714,0.0,0.0,,,0.0,0.08333333333333333,0.0,,0.0,0.6,0.0,0.1111111111111111,0.5,0.0,0.0,0.0,0.06666666666666667,0.0,0.6666666666666666,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,,,0.4,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.1111111111111111,0.6666666666666666,0.25,0.5,0.0,0.0,0.45454545454545453,0.0,0.8181818181818182,,0.0,0.16666666666666666,0.3333333333333333,0.0,0.5,0.16666666666666666,1.0,0.0,0.0,0.0,0.75,,0.0,0.5,,0.25,,0.0,0.4,0.0,1.0,1.0,0.0,0.5,0.1,0.3333333333333333,0.0,0.5,0.0,0.0,
1517443200,0.0,0.5,0.0,0.0,,0.14285714285714285,0.2,0.0,0.8333333333333334,0.0,0.0,0.3333333333333333,,0.0,0.3333333333333333,0.4,0.1,0.125,0.0,1.0,0.5,0.2,1.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.46153846153846156,0.0,0.5,,,,0.5,0.6666666666666666,0.0,0.6,0.0,0.2727272727272727,0.75,0.0,,0.2,0.0,0.0,0.0,0.0,0.5,0.42857142857142855,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.0,0.0,0.13333333333333333,0.0,0.0,,0.0,0.0,0.4,0.16666666666666666,,0.0,,0.0,1.0,0.0,0.375,0.0,,1.0,0.0,0.4,0.0,0.0,0.0,0.4,0.5,0.0,1.0,0.3333333333333333,,0.25,,0.5,0.5,0.0,0.0,0.0,0.2857142857142857,0.15384615384615385,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,1.0,,0.16666666666666666,1.0,0.5,0.0,0.4,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,,1.0,0.0,1.0,,,0.0,,0.0,0.0,,0.3333333333333333,0.375,0.0,,0.2,0.0,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,0.6666666666666666,0.0,0.5,0.0,0.3333333333333333,0.0,,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,1.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,,,0.0,0.16666666666666666,0.0,,0.125,0.25,0.0,0.0,0.4,,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.5,,0.0,0.0,0.5,1.0,,,1.0,0.0,0.6666666666666666,,0.4,,0.0,0.0,,0.0,0.0,0.0,,0.25,0.0,0.0,1.0,0.0,1.0,0.4444444444444444,0.0,1.0,0.3333333333333333,0.0,0.16666666666666666,0.2857142857142857,0.0,0.375,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,1.0,0.0,1.0,0.0,0.25,0.0,1.0,1.0,0.0,1.0,0.18181818181818182,,0.0,0.5,0.6666666666666666,0.0,
1519862400,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.8,0.75,0.0,0.3333333333333333,,0.0,0.3333333333333333,0.4,0.14285714285714285,0.14285714285714285,0.0,,1.0,0.2,1.0,0.0,0.0,0.14285714285714285,0.0,0.5,0.0,0.36363636363636365,0.0,0.625,,,0.0,0.5,0.2857142857142857,0.0,0.5,0.0,0.08333333333333333,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.5,0.0,0.14285714285714285,0.8571428571428571,0.8,0.0,0.0,0.16666666666666666,0.1111111111111111,0.125,0.0,0.0,0.18181818181818182,0.0,0.0,,0.0,0.0,0.4,0.13333333333333333,0.0,0.0,,0.0,0.6,0.0,0.25,0.0,,0.5,0.4,0.25,0.0,0.0,0.0,0.25,0.5,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,,0.0,0.0,1.0,,0.25,1.0,0.75,0.0,0.4,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.5,0.5,0.4,0.0,0.0,,,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.6666666666666666,1.0,0.4,0.0,0.5,0.4,0.6666666666666666,0.5,0.5,0.0,0.0,0.16666666666666666,1.0,0.0,,1.0,0.0,0.0,,0.6666666666666666,0.0,0.0,0.0,0.5,,,0.0,0.0,0.25,0.5,0.2857142857142857,0.0,0.0,0.2727272727272727,0.0,0.2,0.0,0.0,0.5,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.16666666666666666,0.5,0.0,0.0,0.3,,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.2,1.0,,0.0,0.5,0.0,0.5,,0.4,,0.0,0.0,,0.5,0.0,0.0,1.0,0.15384615384615385,0.5,0.0,1.0,,1.0,0.3076923076923077,0.0,0.8571428571428571,0.0,0.0,0.5,0.25,0.0,0.5,0.0,,0.0,0.0,0.0,0.75,,0.0,0.3333333333333333,1.0,0.5,0.75,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.1,0.0,0.0,1.0,0.0,,
1522540800,0.0,0.5,0.0,0.0,0.0,0.125,0.2,0.0,0.75,0.75,0.0,0.3333333333333333,,0.0,0.25,0.4,0.125,0.3333333333333333,0.0,1.0,0.3333333333333333,0.14285714285714285,1.0,0.25,0.25,0.0,0.0,0.0,0.0,0.4,0.0,0.3333333333333333,,,1.0,1.0,0.4444444444444444,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.125,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666666,0.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.25,,0.0,0.5,0.0,0.0,1.0,,,0.25,0.5,0.0,0.0,0.0,0.375,0.5,0.0,1.0,0.0,,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.6666666666666666,0.07692307692307693,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,,0.0,,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.5,0.2,0.3333333333333333,0.0,0.6,0.4,0.0,0.0,0.3333333333333333,,0.5,0.2,1.0,0.16666666666666666,0.125,0.0,0.0,0.08333333333333333,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,0.4,0.16666666666666666,1.0,1.0,0.0,0.0,,0.25,0.6666666666666666,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.0,,0.0,1.0,,1.0,0.0,0.25,0.0,0.3333333333333333,,,0.5,0.0,0.2,0.3333333333333333,0.0,0.0,0.0,0.42857142857142855,0.0,0.3333333333333333,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.3333333333333333,0.0,0.2,,,0.0,,,0.0,0.15384615384615385,,,0.08333333333333333,0.5,0.0,0.0,0.0,,0.0,0.7142857142857143,0.0,0.0,1.0,0.3333333333333333,1.0,,0.0,0.0,0.1111111111111111,1.0,,,1.0,0.5,0.5,,0.0,0.0,0.0,0.0,,0.25,0.0,0.0,,0.15384615384615385,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.2727272727272727,0.0,0.8,0.0,0.11764705882352941,0.2222222222222222,0.2,0.3333333333333333,0.5,0.6666666666666666,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,,0.6666666666666666,1.0,,0.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.16666666666666666,1.0,0.0,0.3333333333333333,0.14285714285714285,0.0,
1525132800,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.25,0.6666666666666666,0.75,0.5,0.0,0.3333333333333333,,0.0,0.3333333333333333,0.25,0.0,0.09090909090909091,0.0,1.0,1.0,1.0,,0.0,0.4,0.0,0.0,0.0,0.0,0.5,0.0,0.2,,,0.5,0.6666666666666666,0.0,0.0,0.6,0.0,0.0,0.5,0.0,1.0,0.2857142857142857,0.0,0.0,0.4,0.0,0.14285714285714285,0.4,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,,0.0,0.0,0.5,0.5714285714285714,0.0,0.25,,0.08333333333333333,0.25,0.0,0.5,0.6666666666666666,,0.5,0.25,0.25,0.0,0.0,,0.5,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,,0.3333333333333333,0.5,0.0,0.0,1.0,0.0,0.07692307692307693,0.0,0.0,0.125,0.0,,0.0,0.5,0.5,,0.0,1.0,0.6666666666666666,0.0,0.2857142857142857,0.3333333333333333,0.0,0.5,0.3333333333333333,0.0,0.0,0.0,0.25,0.3333333333333333,0.5,0.0,0.6,0.3333333333333333,0.16666666666666666,0.0,0.0,,0.0,0.0,1.0,0.25,0.2857142857142857,0.5,0.0,0.125,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,0.5,0.6666666666666666,0.0,,0.0,0.0,1.0,0.5,0.16666666666666666,,,0.2,0.0,0.0,0.25,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.4,0.0,0.0,0.5,0.0,1.0,1.0,0.0,0.0,,,0.0,0.2857142857142857,0.0,,0.3333333333333333,0.25,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,,0.0,0.3333333333333333,0.0,,0.06666666666666667,0.0,,1.0,,0.5,0.6,0.0,0.6153846153846154,0.0,0.0,0.3333333333333333,0.4444444444444444,0.0,0.6,0.25,1.0,0.0,0.0,0.0,0.5,,0.0,0.6666666666666666,1.0,0.5,0.375,0.0,0.14285714285714285,0.0,0.9,1.0,0.0,0.5,0.5,0.0,0.0,1.0,0.25,0.0,
1527811200,0.0,0.0,0.0,0.0,,0.125,0.0,0.6666666666666666,0.7142857142857143,1.0,0.0,0.3333333333333333,,0.0,0.16666666666666666,0.4,0.14285714285714285,0.0,0.0,1.0,0.3333333333333333,0.2,0.5,0.0,0.2857142857142857,0.0,0.0,0.25,0.0,0.2,0.0,0.25,,,,0.75,0.4444444444444444,0.0,0.75,0.0,0.0,0.5,0.0,1.0,0.125,0.0,0.0,0.0,0.5,0.6,0.5,0.0,0.14285714285714285,0.8333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,,0.0,0.0,0.4,0.0,0.0,0.0,,0.0,0.6666666666666666,0.0,0.3333333333333333,0.5,,0.5,0.25,0.0,0.0,0.0,0.0,0.4,0.5,0.0,1.0,0.6666666666666666,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,0.5454545454545454,0.07692307692307693,0.0,0.0,0.125,0.0,0.0,,0.0,1.0,,0.3333333333333333,0.6666666666666666,1.0,0.0,0.5,0.0,,0.3333333333333333,0.25,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.3333333333333333,0.5,0.0,0.3333333333333333,,0.0,0.25,1.0,0.25,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.8,,0.6,0.1111111111111111,0.0,1.0,0.25,0.0,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.08333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.8,0.0,,,1.0,0.0,0.08333333333333333,0.0,,0.0,0.2857142857142857,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.0,0.0,0.18181818181818182,1.0,,0.0,1.0,0.0,1.0,,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2222222222222222,,0.3333333333333333,1.0,0.0,0.0,0.42857142857142855,0.0,0.5714285714285714,0.0,0.0,0.0,0.5,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.6,0.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.0,0.5,0.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.0,0.0,
1530403200,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.6666666666666666,0.8,0.5,0.0,0.3333333333333333,,0.0,0.25,0.4,0.0,0.14285714285714285,0.0,,0.5,0.2,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.4444444444444444,0.0,0.5,,,1.0,0.8571428571428571,0.0,0.0,0.8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.4,0.0,0.0,0.6666666666666666,0.25,0.0,0.5,0.0,0.14285714285714285,0.14285714285714285,0.0,,0.16666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.5714285714285714,,0.3333333333333333,,0.0,0.16666666666666666,0.0,0.6,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,,0.0,0.0,0.6,0.3333333333333333,0.0,,0.0,0.0,0.125,0.0,0.25,1.0,0.0,0.0,0.6666666666666666,0.5,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,,0.0,0.3333333333333333,0.75,0.0,0.5714285714285714,0.3333333333333333,0.0,0.5,0.5714285714285714,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,0.0,0.6,0.0,0.16666666666666666,0.0,0.0,,,0.0,1.0,0.25,0.25,0.0,0.0,0.14285714285714285,0.6666666666666666,0.1,,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.1,0.0,,0.25,0.0,0.2857142857142857,0.25,0.5,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.125,0.25,,0.8,0.0,0.3333333333333333,0.0,0.0,,,1.0,0.0,0.0,0.5,0.0,0.38461538461538464,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.0,0.0,,0.0,0.3333333333333333,0.25,0.0,0.0,,1.0,0.0,0.09090909090909091,0.6666666666666666,,0.0,0.5,0.0,0.0,0.375,0.0,0.0,1.0,0.0,0.0,0.5,0.5,,1.0,0.0,0.0,0.2,1.0,,,1.0,0.0,,1.0,0.0,,0.0,0.0,,0.0,0.3333333333333333,0.0,0.0,0.09090909090909091,0.0,0.0,0.5,,0.6666666666666666,0.35714285714285715,0.0,0.8,0.0,0.0,0.0,0.36363636363636365,0.25,0.75,0.125,1.0,0.0,0.0,0.0,0.5,,0.0,0.3333333333333333,1.0,0.14285714285714285,0.0,0.0,0.3333333333333333,0.0,0.9285714285714286,1.0,0.0,0.0,0.5,0.125,0.0,0.3333333333333333,0.25,0.0,
1533081600,0.0,0.0,0.25,0.0,0.0,0.125,0.5,0.0,0.75,0.0,0.0,0.2,,0.0,0.25,0.375,0.0,0.0,0.0,1.0,0.25,0.3333333333333333,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.5,0.36363636363636365,0.0,1.0,,,0.0,1.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.6666666666666666,0.5,0.0,0.5,0.0,0.2,0.125,0.0,0.0,0.4,0.0,0.0,,0.0,0.0,0.4,0.2857142857142857,0.0,0.5,,0.0,0.3333333333333333,0.0,0.5,0.6666666666666666,1.0,0.5,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,1.0,0.5,0.0,0.0,,0.5,,0.0,0.0,,0.42857142857142855,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285,,0.0,0.5,,0.2,0.6666666666666666,0.0,0.0,0.4,0.6666666666666666,,0.42857142857142855,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.6666666666666666,0.6,0.3333333333333333,0.25,0.0,0.3333333333333333,,0.0,0.0,1.0,0.2857142857142857,0.5,0.0,0.0,,0.6666666666666666,0.0,,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,1.0,0.0,0.0,,0.25,0.2857142857142857,0.0,1.0,0.3333333333333333,0.0,0.2857142857142857,0.42857142857142855,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.5,,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.3333333333333333,0.5,0.4,0.18181818181818182,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,,1.0,0.0,0.14285714285714285,0.0,,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.0,1.0,0.5,0.0,,0.0,0.0,0.3333333333333333,1.0,,0.0,1.0,0.0,1.0,,0.3333333333333333,0.0,0.0,0.0,0.0,,0.25,0.0,0.5,0.3333333333333333,,0.0,1.0,0.0,0.5,0.46153846153846156,0.0,0.8571428571428571,0.0,0.0,0.0,0.125,0.25,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,,1.0,0.0,0.3333333333333333,1.0,0.0,,1.0,0.16666666666666666,0.5,0.5,,0.0,0.5,0.5,0.0,
