month,ratio_quantity.97R,ratio_quantity.99A,ratio_quantity.99C,ratio_quantity.99E,ratio_quantity.99F,ratio_quantity.99G,ratio_quantity.A3A8R,ratio_quantity.B2M3M,ratio_quantity.D2P2L,ratio_quantity.D4U1Y,ratio_quantity.D9Y0V,ratio_quantity.M1J4Y,ratio_quantity.M2L0M,ratio_quantity.W2U3Z,ratio_quantity.X2C4Y
1485907200,39.55847936784746,53.1478430327012,48.80723505200995,35.949191134149736,37.94215704876264,36.017119380359844,28.895473432970626,31.405143480794006,44.69900824770051,28.85944588934566,37.45999225547335,33.07256454507174,45.7155571704734,26.545679553254697,41.0289421362716
1488326400,43.4867730526667,62.66723185840029,55.60730296092024,41.983558430557714,43.422871547448025,40.93974470911515,32.862259745621216,35.150127602307506,49.637626295953105,32.2914986027841,41.47938927820151,37.431950858194234,51.58641863161569,30.169485300868537,45.48017375782104
1491004800,39.01329949477488,53.73860809950508,48.7909932779501,35.88699322552526,35.5517510402219,36.60387847170254,27.61099310136197,31.63363790421898,43.20434598373163,28.31610569491105,37.44290946112186,32.52066053347684,45.73505532499231,25.906313852918494,39.60073455364017
1493596800,41.69274800183807,60.52650184105585,52.50324277994473,39.1255147380485,40.00974790826135,39.021732744393226,30.466576020809455,33.355053791379255,47.842829109235396,30.90321565714788,39.96304975928872,35.172803985983144,50.10343619941197,28.4246594182445,44.823573086269604
1496275200,42.680842984621215,59.65379799028742,54.553612717424635,38.52282211647897,40.68668598196637,38.94807634826424,29.7595860902145,34.50474532211786,48.54992537421673,30.236482789958835,39.76185491886358,35.880865411632485,50.54217675734797,27.46232834197414,44.652615855435734
1498867200,40.67973024741775,57.472076642168496,51.29906683203435,39.06512176727637,37.95591204057001,37.0749387058949,28.986433321222005,32.80674351184367,45.85600567242441,29.441673962483442,38.95500106109321,34.60181603159013,47.891490381880395,26.82519932493375,43.29423972256734
1501545600,40.01436950199569,58.58647593036472,51.07966965126807,36.12277634590775,36.215029101845644,36.564453769877204,27.221030826379153,32.100383090151695,45.24583746290281,27.984103795584975,37.28869900778534,33.412481681094896,47.01457261047128,24.84926230987655,42.151285125123124
1504224000,42.0447288955592,58.78724570372255,52.312375171959914,39.081039232278854,38.79326660502138,39.10525392089602,29.743144483549525,32.67766109610141,47.558738604177364,30.635901186100366,39.738670716155255,34.72975147068082,48.24060918438286,26.770217126038187,45.38149780536759
1506816000,43.58618846969025,60.083869672438546,51.70601515442338,39.36500160298551,39.10535940357293,39.01408975102255,30.411129029268352,33.91517960790515,47.80634776507492,31.215011695861474,40.67955331344285,36.07734541705626,49.546537638591715,28.193727762852927,44.56525926714907
1509494400,43.36275524742904,59.2952552867159,52.56761140632639,41.953811920758696,40.98453811892172,39.96618082623006,31.570275138419902,34.378221063481476,49.16317200994694,32.37981113910566,41.97295860152002,37.04365392254517,50.19665922113238,28.33620164884304,47.50296780273852
1512086400,46.96863709462238,60.78657455040655,56.26016557320127,42.07544388802409,42.32326074721849,43.3567325422594,30.57453573138319,35.23926692943553,48.40403263995166,33.64403528960492,44.470817951612425,37.30742241076838,50.9334600183963,27.96761338740793,45.58556804209848
1514764800,44.62841802949146,61.40543874594052,54.39559937499429,41.32902882534387,42.463522703296356,41.47409130993742,31.15150927765583,35.35813347210363,48.685386223728166,32.70801610406016,42.27196239672092,37.79769908860002,52.1996338994557,27.411393312055743,47.66292094135116
1517443200,39.15966174474385,54.404325275452436,45.981474038075056,35.86666092053094,35.28330449826989,33.9366515837104,26.728291006899354,30.43842107441478,42.57134281967051,27.97313557135449,36.54741208405769,32.546197555230144,44.35129047622892,23.800725438018812,40.63587855153958
1519862400,42.131611954500244,58.98752999222735,50.780464623201915,39.35781594264265,39.47973035068467,37.58060575155899,28.62742788034531,32.52126017613413,44.25907060199377,30.338283933747952,38.78127999629221,35.435452137459244,48.88070389181817,24.969192250642386,43.235187023789855
1522540800,39.76024552127317,55.04439124333004,47.3403331779843,37.21035306267346,37.3813098851717,35.1199808668385,26.797385020121578,30.11095738152271,41.739330407619605,27.88551148332079,37.36639287127797,32.234194611333784,45.53268240581198,23.474093505940534,41.70605182106401
1525132800,40.824705140902125,59.104341043410436,50.801772579834626,38.76604952424624,39.11151424838295,37.7119904790241,28.137253507001606,33.17602799491549,44.41907753042379,29.69382862156564,38.83721823372312,34.35251032239974,47.84398054186398,24.423891907448827,42.91040560388658
1527811200,40.13849174286171,56.51920434457408,49.097743330699565,38.122789178970876,36.39472662149916,37.136405897197506,28.18550107684784,32.24385711585103,44.112369795849716,29.16817350644588,37.98345445404267,34.33430531409953,47.71388967684436,24.566974973508273,43.59878633702868
1530403200,41.07209018737477,56.595277629246056,50.73260658273594,37.16739456242198,36.87170114459163,36.64576819149444,27.50407183825593,31.90163219755527,43.90250897819623,29.109480137883658,38.81266990826707,33.385315679100934,48.57211760686507,24.09337754396041,44.39142104467134
1533081600,39.321353342683175,54.61478412298082,50.03054256356955,36.38488006888939,35.446856650325905,35.71542105095844,25.549037314758866,30.299381972871018,42.5523931670578,27.390417992699618,36.529421690078905,31.75145033347803,44.80646825388859,21.81062088777307,40.55151504213966
1535760000,38.96621134325788,52.640374959157874,48.547179685544606,34.99243483970426,34.42426983716722,35.88748787584869,26.148273971453975,29.519511972903413,42.47207138928436,27.724866918607024,36.70321592052881,32.05813840007018,44.676914689121716,22.713956945688732,43.2217779852387
1538352000,42.46521031679827,58.360537355434055,52.272861699175124,38.045901966870375,37.42166806641255,37.87440638845409,28.884829484554178,32.63948038234136,47.33929708543468,30.641884475260756,40.70936274054417,34.42861915927228,49.9148030458662,25.493787556492848,46.48995651273556
1541030400,43.01082984566978,56.803214520252126,51.1264179681284,38.32166236433388,37.69532616711254,37.20638764531256,28.40036857657722,31.402841896042414,45.289192112262164,30.30967979248982,39.74257628767975,34.33718400255072,47.635894822054986,24.879208441632585,46.26087191217453
1543622400,44.52819904108557,55.868808974278224,53.116523777720225,40.181896585518835,38.58160914590824,39.796854208966614,27.98891494041938,31.94989779014035,45.61318609916215,30.819822478835913,40.95389071361693,34.43859875002826,49.51046772202715,23.93988298969175,45.87964659877179
1546300800,44.6084862040044,57.72197375853029,52.67795501616947,40.126479060807505,39.47510065235645,38.619608507753576,29.38545272647176,33.394474275618876,46.70178371708799,31.60042711496004,41.1657349356681,35.38471810642614,50.231145106430546,25.535130053827807,47.188757278016304
1548979200,38.57709775958292,51.455748537221986,47.13512826564513,35.7315581349037,34.73234994968276,34.03780686359504,25.725753504396152,29.21379088605937,41.48613069956034,28.356587598371664,37.18259975782493,30.89465653645661,45.349444468806944,22.293763991327033,40.743214524257695
1551398400,41.563128835673815,54.2979820934349,49.292100834236834,36.85617207602964,36.14152964865244,36.30265416611647,27.035344380507986,30.21970124278956,43.313599842764646,29.673759223693526,38.79670425198986,32.72545272723532,46.781214203894606,23.30495632588739,42.73381262607294
1554076800,39.731555635094615,52.806054173780645,47.14329749233921,36.47411016452589,35.58255119568787,34.575057809876775,25.906775410377822,30.110924036842636,42.06344261095956,28.671281858909502,37.299709626657645,31.069294879446762,45.32846773423323,22.832922454203096,41.06280736391661
