month,ratio_quantity.27D,ratio_quantity.36J,ratio_quantity.36L,ratio_quantity.42D,ratio_quantity.70F,ratio_quantity.71E,ratio_quantity.72Q,ratio_quantity.78H,ratio_quantity.84H,ratio_quantity.91Q,ratio_quantity.92A,ratio_quantity.92G,ratio_quantity.93C
1514764800,0.0,0.0,0.0,0.0,0.0,0.03553308510935306,0.2824994651957588,0.8708114874548717,0.20298128766254375,0.014983670474837878,0.05524322672004389,0.2381547512409258,0.06200692865420782
1517443200,0.14658074243146035,0.0,0.09385118330700283,0.0,0.0,0.08622121574450119,0.049054525126647555,0.28967140400108615,0.20300704180676274,0.3014298678518633,0.0,0.10712212136079377,0.06190746814551227
1519862400,0.0,0.0,0.06011678286238848,0.0,0.0,0.044364841243584544,0.14504996562724395,0.28934587165443837,0.2030909720622982,0.12926487280496762,0.23913851270561312,0.2033549281996561,0.0
1522540800,0.29289277378609674,0.0,0.060061430831454404,0.0,0.0,0.03567310693650823,0.054100319344998246,0.6913675792460738,0.0,0.14411106159146644,0.055162471867139365,0.11975138756574294,0.06181088588597876
1525132800,0.0,0.0,0.018015518567694205,0.0,0.0,0.04466832492505294,0.2610406958366048,0.144268731427011,0.1595202790154698,0.03199264595711598,0.05513641668427971,0.29267063018181894,0.0
1527811200,0.2610608206446898,0.0,0.06002404563268043,0.0,0.0,0.035716062406165615,0.10182475044026476,0.5764689987068048,0.40597876223600043,0.031964591756225236,0.08083962979124089,0.11947788165715818,0.0
1530403200,0.0,0.02840227723147226,0.03357702659840137,0.0,0.0,0.16321346919154509,0.2013217075131127,0.0,0.0,0.03193376511331965,0.1468873649324777,0.21309489435287876,0.0
1533081600,0.14589583298053466,0.0,0.059883825378765174,0.9569310986269207,0.0,0.17202930869703734,0.42002398397821555,0.28736148278525125,0.18138220495463633,0.03190829131631804,0.055043094155799464,0.053243883608870425,0.0
1535760000,0.0,0.0,0.0,0.0,0.11193407530700715,0.03564599453597827,0.16557423118112144,0.5735919789307378,0.0,0.03187308562279479,0.3298174185740344,0.1190800217746326,0.0
1538352000,0.1456154789254098,0.0,0.0,0.0,0.0,0.16270290195879047,0.24093031495564807,0.0,0.0,0.03182345197469822,0.14673070239070166,0.0,0.0
