month,ratio_quantity.26A,ratio_quantity.27D,ratio_quantity.36J,ratio_quantity.36L,ratio_quantity.42D,ratio_quantity.52R,ratio_quantity.70F,ratio_quantity.71E,ratio_quantity.72Q,ratio_quantity.78H,ratio_quantity.84H,ratio_quantity.91Q,ratio_quantity.92A,ratio_quantity.92G,ratio_quantity.93C
1485907200,456.28652711454515,351.0238664052767,283.1174067505022,152.12374588773773,341.46018462047255,323.4697944548432,270.30281833747824,467.4994049127335,207.41925983823822,309.7086235231768,556.5246397266665,341.93734836814906,203.49945679963045,308.2769273263844,158.6975404945171
1488326400,526.4460921939867,414.4248607579903,337.22892443279784,175.97307191946416,398.1460768084171,377.21156342647384,310.78354493237606,542.7314320686199,235.46441974765537,364.29908037403635,648.360389224893,394.70347255410934,230.84709125560553,357.7658266339085,182.82125310343403
1491004800,471.929741071806,370.6000677694605,293.4244448093719,159.88525028996085,361.4974920393713,340.7307823369879,285.5340477515423,492.90823558136236,212.58591181348467,323.08883653595296,581.5971555906453,357.559864548489,203.03008230490687,325.87942116312195,165.1807168017054
1493596800,521.39261618157,400.9552258716136,333.32565859358374,171.89769221829854,397.9087317910849,365.1373079787845,307.904745144345,529.8852480839438,232.92917733820144,355.0447092193047,637.3318441406377,389.2113107137025,230.68971326879824,350.26873214574755,178.8415599626396
1496275200,515.4825078945516,413.05773098965005,339.65511537404797,173.42592344977876,402.1804742091879,380.9387914332171,313.72604514300883,545.2016077216431,236.90803015757783,363.05215438159377,660.2829818135313,393.4476805892841,230.02501954636048,353.5196436242606,181.39268564738708
1498867200,522.0217246520575,399.1590100662206,330.71313047424246,173.51651956337952,389.9876653314974,365.6760996073217,298.1430934484922,521.5840717924542,233.9148983090706,356.61202948637697,614.2800118240217,383.28622510554527,228.4107914158419,352.683204415002,177.8116882940328
1501545600,526.8123026278547,412.3777622562205,340.9469076726599,170.82133637699226,412.9326566100969,379.9794545036326,314.45631029023303,544.8614986738002,233.28641143561296,363.74166536946234,664.6761740423723,389.0962735733567,228.56921789390452,353.1220562775168,179.36717379934956
1504224000,521.6895634142663,410.56008852800306,337.99236472015036,171.19114710486946,392.26029133318116,367.1001511496058,302.7318281105104,547.0580535638877,230.59999309219612,362.0348031147845,645.7405517303782,391.28173017418715,227.44381540836417,353.70677360475105,176.59808757653224
1506816000,530.387559625128,416.0943701928438,346.3242911288517,176.31878499153305,406.17342343397064,381.561301657872,307.1519179837418,549.1072183336711,236.60011060696073,366.9799215623469,660.3551930362536,397.4186942484346,229.29493484159536,356.45506782667053,183.16578718011942
1509494400,539.5443028765035,408.61781175335807,343.86315643760963,177.74124399816571,408.76323138626685,378.54306369215567,311.8024082078188,550.0746249527477,233.44105845575538,374.20268289953293,672.7889545277177,396.4886489930189,234.76942634927315,359.95951032235723,185.24054983529732
1512086400,539.16434875655,425.93766743671154,336.5072091499123,175.898353997041,414.9705323839384,388.98153620898717,316.34648628306957,565.4776919899198,239.68732968267454,373.35357662132776,654.7543052495625,399.8558776749458,234.39144958384864,362.43735588348505,184.56632494794798
1514764800,543.5562277731934,416.12137039924244,347.34978487501843,179.6493640138565,406.77825097181665,394.6954721077514,319.86653076488494,560.1542148104344,237.00729915385483,380.52623676089723,674.1770246527623,401.8320034433902,236.5632308857924,363.5902448571747,189.31670913796808
1517443200,478.044465392589,376.9788254810842,312.49904787638184,165.89851411651472,374.73773766041154,348.99048140267655,286.9120667071604,498.26695538561324,223.99182731171996,338.2385884020489,593.8372258121041,360.20243901656926,209.24264260949184,327.86199957008347,169.12195124635554
1519862400,545.312073396541,425.73383558629075,354.01521577663584,179.26811290279178,407.23814012698415,400.64029339048966,314.52668533424566,557.7832537719298,235.8336377907143,379.41109280931653,689.0063310789835,404.1099701023053,237.00710384457054,356.4700283971481,186.34099422470155
1522540800,524.4162228443492,410.8964610969096,347.51106183999525,173.28202618972006,403.89763178276735,380.2213470751357,307.6981684454282,551.5965542020024,230.0073999482926,365.3008609277107,651.2384492188681,391.51481778994724,231.21327609511818,356.95532215915085,178.34610826987094
1525132800,549.5627213257098,426.08828956657413,351.5590925793956,183.75043595886814,414.92081467373595,394.267638399059,323.65101321727826,581.0158851991358,244.54172289125216,377.5187617989436,678.1110281283396,401.60432455259576,238.67804825253296,366.8758027376215,190.7577045014706
