month,ratio_quantity.01K,ratio_quantity.01T,ratio_quantity.01V,ratio_quantity.01W,ratio_quantity.01X,ratio_quantity.01Y,ratio_quantity.02A,ratio_quantity.02E,ratio_quantity.02G,ratio_quantity.02H,ratio_quantity.02M,ratio_quantity.02P,ratio_quantity.02Q,ratio_quantity.02T,ratio_quantity.02X
1485907200,369.51029332408456,531.1767459122718,458.0464791976418,382.33323303210614,606.1848201070331,474.99100457636547,361.3577322897686,409.72213876112926,473.53529102633985,545.8695776235224,485.2504976264022,477.90230502744765,510.16874000799373,318.95789222134124,482.87725882241625
1488326400,422.7180461026325,602.8994386978995,531.4179551913363,447.2130818684503,754.1326280815849,561.3027271954711,430.08873358657985,478.15091306435727,549.0670752970184,662.9598646492539,574.5074039336897,566.0527279021322,565.061796716473,391.05364124342697,559.7608810677657
1491004800,389.01902376922965,567.1621230375542,479.9911848540577,392.8060526789445,639.2470791864995,497.574168124791,374.90565976672224,407.73994632986785,479.0935595043236,564.8150080120008,495.0861293162156,499.88662351420976,510.4660492763282,332.58674463050363,509.2892141938802
1493596800,419.54415506446725,608.4558060655145,515.111477563716,444.3088643449267,701.9054125606124,548.9172816245356,436.50230347004384,455.156878013119,530.9511389323595,632.312162315568,549.0971337829975,561.4348563158628,570.4349782008394,391.2512751143181,533.5915174373035
1496275200,425.2717764868773,645.2895679451012,526.6255527777107,465.69219754980617,710.7709209206665,545.6661558089121,422.15321527581546,450.14432703970266,551.6549299928048,646.3607206304918,560.2226136336858,562.9639598237837,595.9253465656672,384.7756730868328,549.6528334638351
1498867200,429.820979243855,627.1086388308888,507.21325445265376,445.03982178383563,691.2097800117908,545.8616917841514,412.16218398377447,451.27736237953195,547.7742169971208,621.7834259605348,561.8598531760284,538.6723258930239,574.636868578512,380.5484395833775,530.4962736595949
1501545600,438.44100625658376,648.3349389125597,527.3288304909811,459.5104298880543,703.4158620343743,551.8057046171983,421.9193473180583,464.1207234524795,525.2693376144044,631.4904026816656,567.2177613067053,565.0441619112642,618.1576204143998,379.6033863643927,550.8105555572968
1504224000,439.2574572702288,628.9980104823427,509.48550836853224,429.0351858692608,675.5421444581257,552.456851134559,398.5005669873458,455.0128640259196,588.6091509286392,630.1197024111789,565.7530083711481,558.9571726720695,606.5800122297636,367.1018962638928,547.3289220758992
1506816000,429.594620730764,640.1875429710983,531.5611318216841,457.74086724214106,714.1015028681701,560.8457246312288,444.71228358072887,451.11359194209757,541.3539921094001,648.6990898475774,597.7580264603705,581.7301654139469,594.704895277754,403.80164747305076,550.258919667773
1509494400,441.946189099019,660.3917730747456,551.0519861498508,453.94177401448474,689.0811255668591,551.1259509136007,427.7155841710595,446.484523747541,562.1624064676456,636.173048059536,576.188978753016,571.2196819417966,605.1522047877346,405.599962487295,559.4415914116237
1512086400,436.8018508184075,645.7762643297417,539.4241486949428,476.7834410366363,715.4590106170161,559.479411207153,431.62259526330763,467.8256118780789,544.9618341482088,648.5469920768192,583.2123890483965,579.1758543944325,600.6099338874217,387.1304958765637,561.1878606158099
1514764800,449.3359587137245,664.5465955150945,538.4310527828267,472.5637745772296,731.3887411534616,580.4235123536594,447.72546091783823,464.61542698712884,585.7865569031856,654.288684347194,563.0603893427115,608.0235641202795,615.2064248928996,407.60908550233154,546.5660338695787
1517443200,407.5963387748007,589.2738943905033,503.59263589272746,408.08299083825665,636.566307081414,517.5813548559363,396.3732632421317,431.5118848544285,523.436495797121,583.1842251823255,508.38220464545054,537.7327353339363,580.7783496404284,356.83872544942716,494.0889291503104
1519862400,452.83823233695745,673.028261501599,554.2073629184739,454.95025014035417,754.8530853318296,564.392946732783,440.59662847170506,474.6025228729986,591.7414236941204,659.2085600799703,586.590289912256,592.8037493788563,599.8321266547989,393.194482879597,552.5014243590728
1522540800,430.71987552836345,638.8653872609713,517.8656601130461,444.4545468799331,703.8809995921755,564.4379782391114,425.26713292501256,449.74675435860746,532.203380720492,643.0309260033482,546.080561161913,578.5511316342812,602.3105358692479,394.67705673260247,531.4831168263815
1525132800,455.30000533165804,702.0202475818171,561.7915863506819,456.8951127269155,743.0100433385408,584.6539623126871,445.4510279390929,473.71832588809275,596.1164142191724,667.8267053154237,588.8118140859295,606.316526288041,626.3804781196975,400.642141135099,561.8446398812276
1527811200,446.6666152907061,652.7460960448459,533.7152861091116,450.16951752185236,730.551171365619,587.8689607098956,430.64225248182413,473.93356003564935,540.6624881960653,648.1632017441408,570.6728496295171,600.8542910394485,615.287388606593,399.57454249920124,555.3496481109433
1530403200,464.5636274737366,696.9010918432884,552.0270972383198,453.7151435916247,740.3147130986781,553.8953656801259,443.8496247358432,481.55593396370847,600.2472066094314,652.7185436870868,574.6430307705882,602.4383486261197,623.2517758335482,396.70596243975666,557.9306329031608
1533081600,470.11712828063224,706.6534881858461,573.7533807188366,465.6042181855891,758.4392938586149,600.3483754036273,465.2810855553815,476.5421032787702,596.0039089635361,677.4843866652201,594.3409253581132,638.7954295534839,616.9864706309899,406.8440958645059,574.997979509114
1535760000,432.2923634685908,651.4696635828667,517.4052900940741,428.5992406297156,714.4955545338026,560.5592168201803,408.5134585225117,459.6619361584417,556.8095720395789,631.8427059871301,579.66153873053,565.1626476040132,607.5781786164091,378.2063194460132,530.5479908153529
1538352000,483.0218677997933,704.0418292419015,560.6655209901766,492.19198356038925,785.1021921178117,597.3905595209038,478.9882838759244,514.1345319985945,595.764598714934,666.5569067070729,630.5414763950855,646.4468252449888,665.2584189642895,429.41733112992154,567.565307714075
1541030400,479.5663388862334,699.8218371363771,569.5533921185279,462.6760318484311,778.9126451922264,583.7015211547101,461.3807913914522,492.3772479904442,611.6882058071711,675.5055068431853,606.1855219744047,625.2435197365066,627.9102501817139,402.27710455516353,570.5093147473091
1543622400,477.9425261157505,705.4931981530499,576.0722367646331,463.0029340070028,778.1375614865556,604.5646613834463,454.73091134806236,485.49564780334015,578.8620719615211,669.105299608004,639.5652361085375,614.0364107300189,631.440847152772,394.54445157525663,569.9432299128191
1546300800,475.26340537101845,715.6346166753057,568.4331868732002,477.3469525135607,798.7908516539331,605.0451166057418,471.29570592077334,493.0757751961584,625.6845053197516,679.683914438647,626.1125022457779,645.5611085214251,658.5399002083303,427.48132248832655,577.4544856120252
