month,ratio_quantity.02Y,ratio_quantity.03F,ratio_quantity.03H,ratio_quantity.03K,ratio_quantity.03L,ratio_quantity.03N,ratio_quantity.03Q,ratio_quantity.03R,ratio_quantity.03W,ratio_quantity.04C,ratio_quantity.04V,ratio_quantity.04Y,ratio_quantity.05D,ratio_quantity.05G,ratio_quantity.05Q
1485907200,346.31296736559875,341.82322900608875,298.9547399127815,397.98536779795137,397.5154402073099,360.95643484472515,343.77777398286975,440.00062490474,266.6750665389886,203.8901853298524,283.66808533975274,343.4115123159882,275.25004091217477,347.51814696756685,387.5887138335648
1488326400,391.35849135849134,398.19016644058786,351.7964390743252,459.286045899165,471.1417166638327,409.92943899676817,398.26019280662547,517.69326322207,298.85849163664136,242.69326151161667,333.9195786988329,419.8731074904202,342.2484933992377,419.55106730182973,445.55071650002594
1491004800,342.40872169135463,361.9384500103425,325.3139236195348,403.6468844388674,403.35622324531573,366.9332148176085,358.7205037261688,459.4368770452124,272.6350848791317,209.1803639108746,304.433471289792,391.4251682674128,293.71702364315655,375.7976995857538,402.08175058944903
1493596800,381.68711197064937,395.28479114115686,340.8836593112178,434.7160043106573,448.457884334845,397.10558630608745,385.6981377756455,490.20504788602284,290.7237431217744,229.72914118233948,333.531346695206,413.64877180162347,333.7448456996937,412.24862384055416,431.106559612053
1496275200,397.48640967188004,407.85377784675984,348.2591598621227,437.89117701583865,451.5382073460179,415.4761603827058,397.8794721692449,510.77560970898855,294.9777719089749,239.63010541690744,342.12489130572123,401.6306788374775,318.10083207477265,411.8049300104375,443.70328613988625
1498867200,365.7744653034844,389.2237218602405,348.77744496237614,433.31338146122016,434.564025795151,392.69052757618476,381.1381127187853,489.9608529678569,297.5192470013099,240.9463120817502,336.6573684855677,396.1677956605034,308.64745607024645,397.73196081676673,434.05397927356853
1501545600,391.86346331270136,396.14872883148956,360.155607094545,434.0042609339135,456.7663230764926,407.64288859087003,407.4176774954896,506.50396054428415,289.7819270142503,235.2025720974055,340.6062218044628,424.38129341423775,333.435073475927,428.6597958707712,436.3098362527884
1504224000,382.2540528438885,403.331439544922,356.32979295121856,429.33286600244395,446.5179871775163,409.30448815120087,393.16136842546166,502.59605581994657,289.1449814378717,233.51381286867897,342.01685837588764,410.616312443416,329.97750803144163,415.298361061619,462.67848265540516
1506816000,382.3462929558413,401.5973598322025,360.0124754817124,464.2780802639136,464.66344270328403,402.2802082328269,386.7331519100018,514.1137400852426,297.7820088564246,242.41279144919187,350.1224338179409,436.5326670219435,315.00778106643884,426.25440681821976,450.30786190015135
1509494400,392.07644329596775,401.7829280359249,363.29276231044395,438.47345937972915,457.19462821406387,399.95404828764504,394.0207657320808,510.206050307175,303.83669212164006,256.6191859749342,347.6578752131685,425.17938092547234,336.3131670638573,425.08203698103915,447.71770893754535
1512086400,388.4913983770357,410.9716527860187,380.4474709446799,454.1264471680751,474.00717416387096,409.45236702764066,403.5932072582919,508.63750055270543,308.0534375581157,236.12368530705876,352.3668920295542,460.6284102952754,328.6672794117647,427.0066972168033,478.147966580352
1514764800,396.69020109610324,392.8687347263362,369.7615745522147,445.53742741087757,473.9799779601039,419.89612487201396,396.9606929104602,528.9847570413714,308.12664691469377,258.05824236373655,363.51048675787507,465.3461629471322,351.94561020911544,426.7051903040191,475.37637416314
1517443200,359.39996131424795,362.7582068318434,341.21559416458155,419.2027114390747,423.18029453786136,366.9545878254284,360.7485786904303,464.2513924783653,280.831194435145,231.37803139850783,327.7719269614117,410.6367447764549,311.2520772408124,395.92940517559595,424.01291575701435
1519862400,387.2386027910398,407.1718992656413,386.1326989110047,463.97864983226776,462.4735437660493,415.21778447960713,402.26700436089845,536.8599599986176,309.66345859772963,249.8949585260952,354.71601145001443,455.5308708803534,329.62870206413356,440.9989264823759,485.8229000456487
1522540800,372.0909843099246,400.2194380187881,384.9808973806898,424.8248018790506,458.4284465059694,401.000763050024,389.45059380545257,511.0247655825325,303.14654684774575,248.3785591989616,353.77362389034363,451.6088414939422,325.6200349641864,410.627281643675,454.719529033335
1525132800,379.34535724968543,394.8447662171356,381.9570029799914,478.7244426561753,477.4353121689503,429.25942087398516,404.44362651798446,531.7484278525118,319.0209474393207,253.8314424820505,370.3834969872859,462.2593412826512,344.7809244600802,435.83954421598173,473.2172057054442
1527811200,379.9277896236234,400.48302159336066,381.88234062118545,451.17965609647155,479.3979538659865,412.8838331942749,385.94346020042906,515.9404576298867,314.2353047779389,258.3948718659222,376.0274084827817,481.53333933456344,357.77303704953306,438.0928578089005,479.85763365963857
1530403200,381.97325025878746,404.0429459918805,387.34347299905124,477.2204842620115,472.78179142290566,422.2850814076462,388.3807178568763,508.19840350337046,306.9557775241186,262.6477498001013,354.8036951762002,473.5111074458372,337.1232083822823,436.1208766663912,477.87875508546074
1533081600,400.0341972838939,404.9635540123972,385.8703449755129,479.1892204723873,501.1629548441634,435.7989436699336,405.3555221622449,551.9054029438291,326.9911516318326,263.01694906036454,394.8442818676013,495.53189205650295,369.73087411582435,465.17859880188115,501.0242726488369
1535760000,374.2542521231046,383.6150869345475,388.0983573549014,435.3332344140268,460.7328896297981,390.75690767680504,381.98276001427536,506.23171887311526,308.55133134590415,254.08100480578426,360.26987096659553,486.40624883096285,337.76859137707334,415.2399294247051,461.5365901535274
1538352000,400.8003109530141,412.7870363586173,408.188592995667,478.31514692871406,497.55950478409136,443.38189613062616,408.40747169832366,553.7571915930876,332.7062552178245,274.2435770841927,391.48084273289777,500.51316193026685,361.8632129379553,455.0098378120665,507.8815607870046
1541030400,401.5007327039286,408.1589572426165,393.5526379513678,477.741493015956,474.8038997758611,425.8139830463661,391.18634334713903,530.9935240903367,322.4645051342179,264.66115985976114,376.12583881023573,497.0071279829419,358.60632421436316,444.292191481866,477.00900409789836
1543622400,394.1853008531788,413.3316022512187,404.4434432194161,469.5815044766459,495.8428249128037,423.97490885344007,393.92227925344537,533.4177752993972,328.2087086951232,257.60968056216274,369.0098897780462,480.828703599758,367.1169745024732,454.98387737345365,508.46710666827505
1546300800,395.2027011303676,427.12232135541564,412.27478427901195,489.05628810067776,507.5960882658908,433.76331165384636,397.273308799457,549.9112025181156,335.35582698448076,280.0724858753434,381.97527571676864,518.161331104291,363.05260954507395,454.7492668136856,493.1769945964454
1548979200,361.58199142618435,367.78209370354375,369.84526209545635,444.90832695302225,450.584436928814,389.2528040870435,349.77480719509697,477.895870181992,288.06830242428686,245.31730427535146,340.21507601571915,412.2622128478611,317.04280128522356,393.92613327754185,418.79990381119455
1551398400,387.7382521578411,404.0988988842676,389.5180398439395,473.4453148018705,490.23065404877315,409.2781594943742,383.0181673269562,515.0844732739093,309.7437604015582,264.96902646247315,365.8086442075983,478.11280514907776,343.289200596175,421.6659565077284,471.18198305873125
1554076800,380.6538859798981,385.60109452934574,382.0961594495467,471.4143693861883,469.4341148516216,398.67364359566716,364.1249922435472,497.2033501712004,306.7056429449663,240.66642820504802,352.16796829802024,493.2524623202336,318.6879642182595,442.45683356905965,478.216056935661
